taxon_id	input	rank	suggested
753152	Tachyptilia populella	species	Anacampsis populella
104459	Hydriomena coerulata	species	Hydriomena impluviata
420590	Dendrolimus jezoensis	species	Dendrolimus superans
988021	Epicnaptera ilicifolia	species	Phyllodesma ilicifolia
624169	Philudoria potatoria	species	Euthrix potatoria
91738	Aricia allous	species	Aricia artaxerxes
685360	Everes amyntula	species	Cupido amyntula
203779	Glaucopsyche arion	species	Phengaris arion
203781	Glaucopsyche cyllarus	species	Glaucopsyche alexis
2810221	Holochila helenita	species	Eirmocides helenita
203779	Lycaena arion	species	Phengaris arion
265384	Lysandra argester	species	Polyommatus dorylas
282043	Lysandra escheri	species	Polyommatus escheri
265388	Lysandra thersites	species	Polyommatus thersites
876066	Meleageria meleager	species	Polyommatus daphnis
301169	Philotes baton	species	Pseudophilotes baton
282392	Philotes vicrama	species	Pseudophilotes vicrama
689499	Plebeius loewii	species	Albulina loewii
282031	Plebejus eumedon	species	Aricia eumedon
242267	Polyommatus argus	species	Plebejus argus
282031	Polyommatus eumedon	species	Aricia eumedon
876066	Polyommatus meleager	species	Polyommatus daphnis
282318	Syntarucus telicanus	species	Leptotes pirithous
116135	Thecla quercus	species	Hypaurotis quercus
254365	Abrostola trigemina	species	Abrostola triplasia
753202	Agrotis fimbria	species	Noctua fimbriata
988048	Agrotis triangulum	species	Xestia triangulum
988044	Amathes baja	species	Xestia baja
987439	Amathes rhomboidea	species	Xestia rhomboidea
988048	Amathes triangulum	species	Xestia triangulum
988049	Amathes xanthographa	species	Xestia xanthographa
689058	Amphipyra tragopogonis	species	Amphipyra tragopoginis
987860	Apatele alni	species	Acronicta alni
987865	Apatele psi	species	Acronicta psi
987903	Calocasia coryli	species	Colocasia coryli
29058	Chloridea armigera	species	Helicoverpa armigera
988162	Cirrhia aurago	species	Tiliacea aurago
997529	Eremodrina gilva	species	Caradrina gilva
987984	Leucania conigera	species	Mythimna conigera
1870099	Leucania favicolor	species	Mythimna favicolor
987985	Leucania impura	species	Mythimna impura
987986	Leucania pallens	species	Mythimna pallens
79499	Mamestra oleracea	species	Lacanobia oleracea
987979	Mamestra persicariae	species	Melanchra persicariae
988087	Mamestra pisi	species	Ceramica pisi
987967	Mamestra thalassina	species	Lacanobia thalassina
987866	Orthosia circellaris	species	Agrochola circellaris
753146	Pharetra rumicis	species	Acronicta rumicis
179674	Plusia chrysitis	species	Diachrysia chrysitis
215162	Scotia exclamationis	species	Agrotis exclamationis
56364	Scotia ipsilon	species	Agrotis ipsilon
1857961	Scotia puta	species	Agrotis puta
47767	Scotia segetum	species	Agrotis segetum
997535	Xylomyges conspicillaris	species	Egira conspicillaris
1869563	Dicranura delavoiei	species	Cerura delavoiei
987899	Dicranura erminea	species	Cerura erminea
1869566	Dicranura iberica	species	Cerura iberica
987900	Dicranura vinula	species	Cerura vinula
987941	Harpyia bicuspis	species	Furcula bicuspis
987942	Harpyia bifida	species	Furcula bifida
987943	Harpyia furcula	species	Furcula furcula
987449	Lophopteryx camelina	species	Ptilodon capucinus
405023	Argynnis euphrosyne	species	Boloria euphrosyne
596533	Argynnis freija	species	Boloria freija
405034	Argynnis ino	species	Brenthis ino
191398	Argynnis selene	species	Boloria selene
191421	Limenitis anonyma	species	Limenitis reducta
104510	Melitaea iduna	species	Euphydryas iduna
1248153	Melitaea maturna	species	Mellicta ambigua
405010	Mesoacidalia charlotta	species	Argynnis aglaja
405018	Pandoriana maja	species	Argynnis pandora
1108669	Pierella rubecula	species	Pierella luna
270463	Pyrameis atalanta	species	Vanessa indica
171605	Pyrameis cardui	species	Vanessa cardui
171594	Vanessa polychloros	species	Nymphalis polychloros
1666440	Depressaria nervosa	species	Agonopterix nervosa
76193	Papilio machaon emihippocrates	species	Papilio machaon
320286	Ascia monuste suasa	species	Ascia monuste
1229496	Cepora nadina eunama	species	Cepora nadina
152616	Delias aglaia curasena	species	Delias pasithoe
227532	Euchloe cardamines	species	Anthocharis cardamines
320238	Synchloe callidice	species	Pontia callidice
687059	Fumea casta	species	Psyche casta
262198	Solenobia fumosella	species	Dahlica lazuri
262201	Solenobia generosensis	species	Dahlica generosensis
873146	Solenobia pineti	species	Siederia listerella
262188	Solenobia rupicolella	species	Siederia rupicolella
1870257	Solenobia thomanni	species	Postsolenobia thomanni
1374057	Psara stultalis	species	Herpetogramma stultalis
2795499	Stalachtis phlegia susanna	species	Stalachtis susanna
63977	Attacus edwardsii	species	Archaeoattacus edwardsii
7120	Telea polyphemus	species	Antheraea polyphemus
111923	Agapetes galathea	species	Melanargia galathea
111925	Agapetes russiae	species	Melanargia russiae
366054	Elymniopsis bammakoo	species	Elymnias bammakoo
242257	Erebia epiphron cassiope	species	Erebia epiphron
1660632	Erebia glacialis	species	Erebia pluto
1678387	Hipparchia aelia	species	Hipparchia hermione
111916	Pararge hiera	species	Lasiommata maera
596609	Pararge maera	species	Lasiommata menava
1678387	Satyrus hermione	species	Hipparchia hermione
283855	Celerio euphorbiae	species	Hyles euphorbiae
283843	Celerio galii	species	Hyles gallii
283849	Celerio hippophaes	species	Hyles hippophaes
103890	Celerio lineata	species	Hyles lineata
283844	Celerio livornica	species	Hyles livornica
522810	Deilephila nerii	species	Daphnis nerii
191707	Archips fuscocupreanus	species	Archips fuscocupreana
287383	Zygaena achilleae	species	Zygaena loti
