family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Amathusiidae	Faunis	eumeus	Faunis eumeus	29	29	Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.	3	Faunis eumeus	NA	NA
Arctiidae	Apantesis	phalerata	Apantesis phalerata	29	29	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Apantesis phalerata	NA	500498
Arctiidae	Arctia	caja	Arctia caja	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Arctia caja	NA	289281
Arctiidae	Diaphora	mendica	Diaphora mendica	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Diaphora mendica	NA	987922
Arctiidae	Hyphantria	cunea	Hyphantria cunea	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Hyphantria cunea	NA	39466
Arctiidae	Miltochrista	miniata	Miltochrista miniata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Miltochrista miniata	NA	987980
Arctiidae	Phragmatobia	fuliginosa	Phragmatobia fuliginosa	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Phragmatobia fuliginosa	NA	214311
Arctiidae	Spilosoma	punctaria	Spilosoma punctaria	34	34	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Spilosoma punctaria	NA	2249631
Arctiidae	Stigmatophora	flava	Stigmatophora flava	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Stigmatophora flava	NA	1481758
Arctiidae	Tyria	jacobaeae	Tyria jacobaeae	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	1	Tyria jacobaeae	NA	179666
Arctiidae	Utetheisa	ornatrix	Utetheisa ornatrix	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Utetheisa ornatrix	NA	290051
Arctiidae	Utetheisa	pulchella	Utetheisa pulchella	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Utetheisa pulchella	NA	1628836
Bombycidae	Bombyx	mandarina	Bombyx mandarina	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Bombyx mandarina	NA	7092
Bombycidae	Bombyx	mori	Bombyx mori	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Bombyx mori	NA	7091
Cymatophoridae	Thyatira	batis	Thyatira batis	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Thyatira batis	NA	721163
Danaidae	Euploea	core	Euploea core	30	30	Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158.	1	Euploea core	NA	127258
Danaidae	Euploea	mulciber	Euploea mulciber	29	29	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	1	Euploea mulciber	NA	76235
Danaidae	Euploea	tulliolus	Euploea tulliolus	29	29	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	1	Euploea tulliolus	NA	1401960
Danaidae	Parantica	aglea	Parantica aglea	33	33	Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158.	1	Parantica aglea	NA	396710
Danaidae	Tirumala	hamata	Tirumala hamata	31-36	31	Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158.	1	Tirumala hamata	NA	127260
Danaidae	Tirumala	limniace	Tirumala limniace	33	33	Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158.	1	Tirumala limniace	NA	551222
Gelechiidae	Anacampsis	innocuella	Anacampsis innocuella	29	29	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	1	Anacampsis innocuella	NA	989736
Geometridae	Agathia	carissima	Agathia carissima	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Agathia carissima	NA	1857527
Geometridae	Caripeta	angustiorata	Caripeta angustiorata	29	29	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	1	Caripeta angustiorata	NA	689068
Geometridae	Caripeta	divisata	Caripeta divisata	29	29	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	1	Caripeta divisata	NA	214075
Geometridae	Colostygia	aptata	Colostygia aptata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Colostygia aptata	NA	934929
