taxon_id	input	rank
9391	Amblysomus hottentotus	species
745240	Amblysomus robustus	species
745243	Calcochloris obtusirostris	species
745247	Chlorotalpa duthieae	species
745249	Chlorotalpa sclateri	species
185453	Chrysochloris asiatica	species
176108	Chrysospalax trevelyani	species
1662290	Cryptochloris zyli	species
481707	Eremitalpa granti	species
745255	Neamblysomus julianae	species
9371	Echinops telfairi	species
1432851	Hemicentetes nigriceps	species
329863	Microgale cowani	species
2583311	Nesogale dobsoni	species
1833853	Microgale fotsifotsy	species
229052	Microgale longicaudata	species
469768	Microgale majori	species
1548216	Microgale parvula	species
229053	Microgale principula	species
1548217	Microgale soricoides	species
364246	Microgale taiva	species
1548219	Microgale thomasi	species
319817	Oryzorictes hova	species
9891	Antilocapra americana	species
9767	Balaenoptera acutorostrata	species
9768	Balaenoptera borealis	species
9771	Balaenoptera musculus	species
9770	Balaenoptera physalus	species
9773	Megaptera novaeangliae	species
59515	Addax nasomaculatus	species
9897	Aepyceros melampus	species
9899	Ammotragus lervia	species
59523	Antidorcas marsupialis	species
59525	Antilope cervicapra	species
9901	Bison bison	species
9902	Bison bonasus	species
30521	Bos grunniens	species
9915	Bos indicus	species
9906	Bos javanicus	species
9913	Bos taurus	species
9917	Boselaphus tragocamelus	species
89462	Bubalus bubalis	species
27596	Bubalus depressicornis	species
37181	Budorcas taxicolor	species
72541	Capra cylindricornis	species
9925	Capra hircus	species
9923	Capra aegagrus	species
72542	Capra ibex	species
80419	Capra pyrenaica	species
9966	Capricornis crispus	species
34865	Capricornis sumatraensis	species
97360	Cephalophus dorsalis	species
907742	Philantomba monticola	species
129226	Cephalophorus niger	species
129230	Cephalophorus rufilatus	species
50347	Cephalophus silvicultor	species
59528	Connochaetes gnou	species
9927	Connochaetes taurinus	species
59527	Beatragus hunteri	species
69300	Gazella bennettii	species
69301	Gazella cuvieri	species
37751	Gazella dorcas	species
69302	Gazella gazella	species
27591	Nanger granti	species
69303	Gazella leptoceros	species
69305	Gazella saudiya	species
