Order	Family	Genus	Binomial	Female2n	Male2n	B_chromosomes	Sex_chromosome_system	Notes_sex_chrom	Notes_diploid_num	Source
Afrosoricida	Chrysochloridae	Amblysomus	Amblysomus hottentotus	30	30		XY			Bronner 1995a
Afrosoricida	Chrysochloridae	Amblysomus	Amblysomus robustus	36	36		XY			Gilbert et al 2008
Afrosoricida	Chrysochloridae	Calcochloris	Calcochloris obtusirostris	28	28		XY			Gilbert et al 2008
Afrosoricida	Chrysochloridae	Chlorotalpa	Chlorotalpa duthieae	30	30		XY			Bronner 1995a
Afrosoricida	Chrysochloridae	Chlorotalpa	Chlorotalpa sclateri	30	30		XY			Bronner 1995a
Afrosoricida	Chrysochloridae	Chrysochloris	Chrysochloris asiatica	30	30		XY			Robinson et al. 2004
Afrosoricida	Chrysochloridae	Chrysospalax	Chrysospalax trevelyani	30	30		XY			Gilbert et al. 2006
Afrosoricida	Chrysochloridae	Cryptochloris	Cryptochloris zyli	30	30		XY			Gilbert et al. 2006
Afrosoricida	Chrysochloridae	Eremitalpa	Eremitalpa granti	26	26		XY			Gilbert et al. 2006
Afrosoricida	Chrysochloridae	Neamblysomus	Neamblysomus julianae	30	30		XY			Gilbert et al 2008
Afrosoricida	Tenrecidae	Echinops	Echinops telfairi	40	40		XY			Benirschke 1969
Afrosoricida	Tenrecidae	Hemicentetes	Hemicentetes nigriceps	38	38		XY			Benirschke 1969
Afrosoricida	Tenrecidae	Microgale	Microgale cowani	38	38		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale dobsoni	30	30		XY			Blackmon 2019
Afrosoricida	Tenrecidae	Microgale	Microgale fotsifotsy	32	32		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale longicaudata	30	30		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale majori	30	30		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale parvula	32	32		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale principula	30	30		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale soricoides	32	32		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale taiva	32	32		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Microgale	Microgale thomasi	56	56		XY			Gilbert et al. 2007
Afrosoricida	Tenrecidae	Oryzorictes	Oryzorictes hova	32	32		XY			Gilbert et al. 2007
Artiodactyla	Antilocapridae	Antilocapra	Antilocapra americana	58	58		XY			Kulemzina et al. 2009
Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera acutorostrata	44	44		XY			Arnason 1981a
Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera borealis	44	44		XY			Nash (Unpublished)
Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera musculus	44	44		XY			Arnason and Widegren 1989
