taxon_id	input	rank	suggested
155721	Reticulitermes lucifugus grassei	species	Reticulitermes grassei
2136315	Ronderosia dubius	species	Ronderosia dubia
516504	Apterygida albipennis	species	Apterygida media
441509	Perla baetica	species	Dinocras cephalotes
441509	Perla cephalotes	species	Dinocras cephalotes
910959	Perla immarginata	species	Paragnetina immarginata
227363	Perla maxima	species	Perla marginata
1071615	Isogenus imhoffi	species	Besdolus imhoffi
2604002	Perlodes jurassica	species	Perlodes jurassicus
213229	Apacris rubrithorax	species	Apacris rubritorax
2136315	Dichroplus dubius	species	Ronderosia dubia
2136319	Dichroplus paraguayensis	species	Ronderosia paraguayensis
2136320	Dichroplus piceomaculatus	species	Ronderosia piceomaculata
338460	Dichroplus pseudopunctulatus	species	Baeacris pseudopunctulatus
338462	Dichroplus punctulatus	species	Baeacris punctulatus
687576	Eurotettix lilloanus	species	Dichromatos lilloanus
687577	Eurotettix schrottkyi	species	Dichromatos schrottkyi
58570	Osmilia flavolineata	species	Abracris flavolineata
1632002	Pedies andeanus	species	Orotettix andeanus
1634125	Diponthus communis	species	Diponthus argentinus
2027830	Elaeochlora viridicata	species	Staleochlora viridicata
1634175	Elysiacris angusticollis	species	Tropidostethus angusticollis
1634175	Tropidostethus bicarinatus	species	Tropidostethus angusticollis
326040	Acanthoxyla speciosa	species	Acanthoxyla prasina
2755526	Cubitermes sankurensis	species	Nitiditermes sankurensis
2755539	Cubitermes weissi	species	Ternicubitermes weissi
256709	Kalotermes Flavicollis	species	Kalotermes flavicollis
910292	Isophya modesta longicaudata	species	Isophya longicaudata
910296	Isophya rammei	species	Isophya pavelii
50449	Labidura bengalensis	species	Labidura riparia
406573	Gromphadorhina chopardi	species	Elliptorhina chopardi
36963	Leucophaea maderae	species	Rhyparobia maderae
109983	Gislenia australica	species	Neotemnopteryx fulva
1902165	Lupparia notulata	species	Balta notulata
37813	Parcoblatta pennsylvanica	species	Parcoblatta pensylvanica
103000	Shawella couloniana	species	Paratemnopteryx couloniana
36974	Symploce capitata	species	Symploce pallens
2992524	Xestoblatta immaculata	species	Antroxestoblatta immaculata
1323537	Empusa egena	species	Empusa pennata
1323537	Empusa pauperata	species	Empusa pennata
1727195	Euantissa ornata	species	Odontomantis ornata
627774	Sphodropoda tristis	species	Sphodropoda moesta
1390046	Baculum artemis	species	Ramulus artemis
614211	Clitumnus extradentatus	species	Medauroidea extradentata
614098	Ctenomorpha chronus	species	Ctenomorpha marginipennis
58609	Phyllium bioculatum	species	Pulchriphyllium bioculatum
