Order	Family	Genus	Species	femalediploidnumber	malediploidnumber	Chromosome_number	haploidnumber	reproductivemode	sexchromosome	notes	citation	femalediploidnumber/malediploidnumber
Isoptera	Termitidae	Mastotermes	Mastotermes darwiniensis	98	98		49	gonochorous	XY	 multivalent absent	Bedo DG (1987) undifferentiated sex chromosomes in Mastotermes darwiniensis Froggatt (Isoptera; Mastotermitidae) and the evolution of eusociality in termites. Genome 29: 76-79.	98/98
Isoptera	Kalotermitidae	Cryptotermes	Cryptotermes domesticus	30	29		15	gonochorous	XXY	X1X1X2X2/X1X2Y1	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	30/29
Isoptera	Kalotermitidae	Cryptotermes	Cryptotermes domesticus	30	29		15	gonochorous	XXY	X1X1X2X2/X1X2Y1	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	30/29
Isoptera	Kalotermitidae	Kalotermes	Kalotermes flavicollis	68	67		34	gonochorous	XXY	X1X1X2X2/X1X2Y1	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	68/67
Isoptera	Rhinotermitidae	Coptotermes	Coptotermes acinaciformis	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Rhinotermitidae	Reticulitermes	Reticulitermes lucifugus grassei	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Rhinotermitidae	Reticulitermes	Reticulitermes urbis	42	42		21	gonochorous	homomorphic		Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Amitermes	Amitermes darwini	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Amitermes	Amitermes germanus	42	NA		21				Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/NA
Isoptera	Termitidae	Amitermes	Amitermes parvus	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
