taxon_id	input	rank	suggested
245562	Acidomyces richmondensis	species	Acidomyces sp. 'richmondensis'
85929	Davidiella populorum	species	Sphaerulina musiva
1873960	Mycosphaerella fijiensis	species	Pseudocercospora fijiensis
1047171	Mycosphaerella graminicola	species	Zymoseptoria tritici
64363	Mycosphaerella pini	species	Dothistroma septosporum
215467	Mycosphaerella populicola	species	Sphaerulina populicola
1849801	Lecythophora sp.	species	Coniochaeta sp.
223192	Phaeoacremonium aleophilum	species	Phaeoacremonium minimum
495188	Plagiostoma alneum	species	Gnomonia alnea
1069201	Aspergillus kawachii	species	Aspergillus luchuensis
41063	Aspergillus zonatus	species	Penicilliopsis zonata
36630	Neosartorya fischeri	species	Aspergillus fischeri
36649	Penicillium aculeatum	species	Talaromyces aculeatus
37727	Penicillium marneffei	species	Talaromyces marneffei
28574	Penicillium minioluteum	species	Talaromyces minioluteus
1266744	Penicillium purpurogenum	species	Talaromyces purpureogenus
47816	Belonidium sulphureum	species	Trichopeziza sulphurea
1033672	Calycina discreta	species	Pezizella discreta
262103	Ciboria batschiana	species	Sclerotinia pseudotuberosa
1490147	Ciboria bulgarioides	species	Rutstroemia bulgarioides
353542	Cistella hymeniophila	species	Hyphodiscus hymeniophilus
2883050	Conchatium fraxinophilum	species	Cyathicula fraxinophila
574163	Crocicreas amenti	species	Cyathicula amenti
112134	Crocicreas coronatum	species	Cyathicula coronata
574168	Crocicreas cyathoideum	species	Cyathicula cyathoidea
602037	Dasyscyphus pudibundus	species	Lachnum pudibundum
1888955	Diplocarpa bloxamii	species	Diplocarpa bloxami
1889039	Encoelia fimbriata	species	[Encoelia] fimbriata
1071707	Hyalopeziza pygmaea	species	Hyphopeziza pygmaea
47748	Hyaloscypha aureliella	species	Eupezizella aureliella
1490151	Hymenoscyphus epiphyllus	species	Phaeohelotium epiphyllum
1825919	Hymenoscyphus rhodoleucus	species	Roseodiscus rhodoleucus
2340723	Lachnum capitatum	species	Incrucipulum capitatum
47805	Lachnum cerinum	species	Neodasyscypha cerina
2020883	Lachnum palearum	species	Brunnipila palearum
1436321	Lanzia luteovirescens	species	Rutstroemia luteovirescens
47807	Lasiobelonium nidulum	species	Dasyscyphus nidulus
698440	Marssonina brunnea	species	Drepanopeziza brunnea
2482752	Meliniomyces bicolor	species	Hyaloscypha bicolor
2482757	Meliniomyces variabilis	species	Hyaloscypha variabilis
2610818	Microscypha ellisii	species	Calycina ellisii
87231	Olla ulmariae	species	Dumontinia ulmariae
1206376	Ombrophila lilacina	species	Neobulgaria lilacina
1968694	Parorbiliopsis minuta	species	Hyaloscypha minuta
1206380	Pezoloma ciliifera	species	Pezoloma ciliiferum
2082293	Pezoloma ericae	species	Hyaloscypha hepaticicola
149040	Phialocephala scopiformis	species	Mollisia scopiformis
1490168	Poculum firmum	species	Rutstroemia firma
1033655	Psilachnum chrysostigmum	species	Pezizella chrysostigma
186294	Tapesia fusca	species	Mollisia fusca
2075156	Tapesia lividofusca	species	Mollisia lividofusca
2075157	Tapesia rosae	species	Mollisia rosae
1071721	Unguicularia carestiana	species	Urceolella carestiana
2230933	Unguicularia raripila	species	Hyalopeziza raripila
163804	Velutarina rufo-olivacea	species	Velutarina rufoolivacea
398408	Acremonium alcalophilum	species	Sodiomyces alcalophilus
1053256	Cosmospora purtonii	species	Stylonectria purtonii
71617	Elaphocordyceps ophioglossoides	species	Tolypocladium ophioglossoides
47801	Epichloë baconii	species	Epichloe baconii
35717	Epichloë festucae	species	Epichloe festucae
5518	Gibberella zeae	species	Fusarium graminearum
29875	Gliocladium virens	species	Trichoderma virens
29862	Hypocrea pallida	species	Protocrea pallida
1491004	Hypocrea pulvinata	species	Trichoderma pulvinatum
115235	Nectria cosmariospora	species	Cosmospora coccinea
1053090	Nectria episphaeria	species	Dialonectria episphaeria
5047	Neotyphodium coenophialum	species	Epichloe coenophiala
112416	Letharia californica	species	Letharia columbiana
5499	Mycovellosiella fulva	species	Fulvia fulva
63400	Arthroderma benhamiae	species	Trichophyton benhamiae
1892477	Ophiostoma epigloeum	species	Sporothrix epigloea
1892486	Ophiostoma polyporicola	species	Sporothrix polyporicola
80260	Byssonectria tetraspora	species	Octospora tetraspora
352980	Coprobia granulata	species	Cheilymenia granulata
2053741	Geopora semi-immersa	species	Sepultariella semi-immersa
1616745	Kotlabaea deformis	species	Byssonectria deformis
353002	Melastiza chateri	species	Melastiza flavorubens
62758	Mitrophora semilibera	species	Morchella semilibera
2929621	Neottiella hetieri	species	Octospora hetieri
1906151	Pachyella babingtonii	species	Adelphella babingtonii
2952469	Peziza badia	species	Legaliana badia
90806	Peziza cerea	species	Peziza varia
90806	Peziza micropus	species	Peziza varia
353000	Peziza nivea	species	Leucoscypha leucotricha
2973951	Peziza repanda	species	Discina repanda
2806344	Peziza succosa	species	Paragalactinia succosa
44609	Ptychoverpa bohemica	species	Verpa bohemica
51141	Sarcoscypha jurana	species	Sarcoscypha emarginata
353049	Trichophaea gregaria	species	Wilcoxina gregaria
2508941	Underwoodia fuegiana	species	Geomorium fuegianum
5016	Cochliobolus heterostrophus	species	Bipolaris maydis
45130	Cochliobolus sativus	species	Bipolaris sorokiniana
13684	Phaeosphaeria nodorum	species	Parastagonospora nodorum
93612	Setosphaeria turcica	species	Exserohilum turcicum
13684	Stagonospora nodorum	species	Parastagonospora nodorum
85948	Verruculina enalia	species	Didymosphaeria enalia
33169	Ashbya gossypii	species	Eremothecium gossypii
51930	Candida caseinolytica	species	Tortispora caseinolytica
36911	Candida lusitaniae	species	Clavispora lusitaniae
2315449	Candida tenuis	species	Yamadazyma tenuis
45286	Holleya sinecauda	species	Eremothecium sinecaudum
4914	Kluyveromyces waltii	species	Lachancea waltii
4920	Pichia sorbitophila	species	Millerozyma farinosa
27292	Saccharomyces carlsbergensis	species	Saccharomyces pastorianus
2587404	Cladorrhinum bulbillosum	species	Podospora bulbillosa
260661	Lasiosphaeria spermoides	species	Ruzenia spermoides
1450529	Thielavia antarctica	species	Trichocladium antarcticum
2587402	Thielavia appendiculata	species	Parathielavia appendiculata
2609790	Thielavia arenaria	species	Canariomyces arenarius
113614	Thielavia hyrcaniae	species	Parathielavia hyrcaniae
2587410	Thielavia terrestris	species	Thermothielavioides terrestris
1157709	Endoxyla avocetta	species	Anthostoma avocetta
326618	Hypoxylon cohaerens	species	Annulohypoxylon cohaerens
110526	Kretzschmaria deusta	species	Ustulina deusta
153609	Crinipellis perniciosa	species	Moniliophthora perniciosa
511153	Cystoderma adnatifolium	species	Cystodermella adnatifolia
2773346	Gymnopus luxurians	species	Collybiopsis luxurians
72119	Lampteromyces japonicus	species	Omphalotus japonicus
933333	Saproamanita inopinata	species	Amanita inopinata
2028077	Boletellus betula	species	Heimioporus betula
1661727	Boletellus projectellus	species	Aureoboletus projectellus
1354919	Boletus armeniacus	species	Xerocomellus armeniacus
1354920	Boletus chrysenteron	species	Xerocomellus chrysenteron
178454	Boletus fechtneri	species	Butyriboletus fechtneri
537024	Boletus frostii	species	Exsudoporus frostii
121041	Boletus luridus	species	Suillellus luridus
1282276	Boletus ornatipes	species	Retiboletus ornatipes
60109	Boletus pallidus	species	Imleria pallida
2100785	Boletus queletii	species	Suillellus queletii
178457	Boletus rhodoxanthus	species	Rubroboletus rhodoxanthus
5370	Boletus satanas	species	Rubroboletus satanas
2074862	Gomphidius maculatus	species	Rhodocollybia maculata
80646	Gyrodon merulioides	species	Boletinellus merulioides
1325514	Leccinum chromapes	species	Harrya chromipes
1355219	Leccinum crocipodium	species	Leccinellum crocipodium
121042	Leccinum rubropunctum	species	Hemileccinum rubropunctum
85981	Leucogyrophana romellii	species	Penttilamyces romellii
217304	Rhizopogon pumilionum	species	Rhizopogon pumilionus
5383	Suillus pictus	species	Suillus spraguei
388887	Xerocomus castanellus	species	Bothia castanella
37769	Cryptococcus gattii	species	Cryptococcus gattii VGI
89929	Cryptococcus vishniacii	species	Naganishia vishniacii
2282107	Phellinus noxius	species	Pyrrhoderma noxium
42742	Ceriporiopsis subvermispora	species	Gelatoporia subvermispora
2108230	Leiotrametes sp.	species	Cubamyces sp.
526244	Lenzites elegans	species	Trametes elegans
483020	Lignosus rhinocerus	species	Lignosus rhinocerotis
2822231	Phanerochaete chrysosporium	species	Phanerodontia chrysosporium
98765	Phlebia centrifuga	species	Hermanssonia centrifuga
158605	Pycnoporus coccineus	species	Trametes coccinea
158605	Pycnoporus sanguineus	species	Trametes coccinea
2735509	Trametes ljubarskyi	species	Pilatotrama ljubarskyi
55588	Uromyces fabae	species	Uromyces viciae-fabae
65672	Piriformospora indica	species	Serendipita indica
109899	Sebacina vermifera	species	Serendipita vermifera
5286	Rhodosporidium toruloides	species	Rhodotorula toruloides
879819	Trichosporon oleaginosus	species	Cutaneotrichosporon oleaginosum
84753	Pseudozyma antarctica	species	Moesziomyces antarcticus
64509	Phlyctochytrium lagenaria	species	Chytridium lagenaria
40302	Nosema ceranae	species	Vairimorpha ceranae
