PHYLUM	ORDER	GENUS	SPECIES	METHOD	1C in pg	1C in Mbp	x	FGSDID	SPECIMEN ID
Ascomycota	Ascosphaerales	Ascosphaera	apis	CS	0.025	24.00		4448	
Ascomycota	Ascosphaerales	Ascosphaera	apis	CS	0.025	24.00		4904	USDA-ARSEF 7405
Ascomycota	Ascosphaerales	Ascosphaera	apis	CS	0.029	28.00		4905	NAm1 NAm I
Ascomycota	Botryosphaeriales	Botryosphaeria	dothidea	CS	0.044	43.50		4999	
Ascomycota	Botryosphaeriales	Macrophomina	phaseolina	CS	0.049	48.00		5206	
Ascomycota	Botryosphaeriales	Neofusicoccum	parvum	CS	0.043	42.00		5207	Isolate UCR-NP2
Ascomycota	Botryosphaeriales	Phyllosticta	capitalensis	CS	0.033	32.46		5204	CBS 128856 v1.0
Ascomycota	Botryosphaeriales	Phyllosticta	citribraziliensis	CS	0.032	31.67		5981	CBS 100098 v1.0
Ascomycota	Botryosphaeriales	Saccharata	proteae	CS	0.032	31.43		5208	CBS 121410 v1.0
Ascomycota	Capnodiales	Aulographum	hederae	CS	0.033	31.98		5209	CBS 113979 v1.0
Ascomycota	Capnodiales	Baudoinia	compniacensis	CS	0.022	21.88		4998	
Ascomycota	Capnodiales	Baudoinia	compniacensis	CS	0.022	21.88		5210	
Ascomycota	Capnodiales	Cercospora	zeae-maydis	CS	0.048	46.61		5211	
Ascomycota	Capnodiales	Dissoconium	aciculare	CS	0.027	26.54		5213	
Ascomycota	Capnodiales	Hortaea	werneckii	CS	0.053	51.62	2	5192	EXF-2000
Ascomycota	Capnodiales	Piedraia	hortae	CS	0.017	16.95		5218	
Ascomycota	Capnodiales	Polychaeton	citri	CS	0.028	27.21		5219	CBS 116435 v1.0
Ascomycota	Capnodiales	Pseudovirgaria	hyperparasitica	CS	0.036	35.44		5412	CBS 121739 v1.0
Ascomycota	Capnodiales	Sphaerulina	musiva	CS	0.030	29.35		5212	SO2202 v1.0
Ascomycota	Capnodiales	Teratosphaeria	nubilosa	CS	0.029	28.44		5385	CBS 116005 v1.0
Ascomycota	Capnodiales	Zasmidium	cellare	CS	0.039	38.25		5220	ATCC 36951 v1.0
Ascomycota	Capnodiales	Cladosporium	sphaerospermum	CS	0.027	26.13		5189	UM843
Ascomycota	Chaetosphaeriales	Thozetella	sp.	CS	0.074	72.86		5399	PMI_491 v2.0
Ascomycota	Chaetothyriales	Coniosporium	apollinis	CS	0.029	28.05		5190	CBS100218
Ascomycota	Chaetothyriales	Exophiala	alcalophila	CS	0.030	29.70		5972	J33 v1.0
Ascomycota	Chaetothyriales	Exophiala	alcalophila	CS	0.030	29.81		5977	ATCC 48519 v1.0
Ascomycota	Chaetothyriales	Exophiala	dermatitidis		0.019	19.00		3972	
Ascomycota	Chaetothyriales	Exophiala	dermatitidis	CS	0.027	26.37		5191	NIH/UT8656
Ascomycota	Coniochaetales	Coniochaeta	ligniaria	CS	0.043	42.38		5272	NRRL 30616 v1.0
Ascomycota	Coniochaetales	Coniochaeta	ligniaria	CS	0.045	43.70		5271	CBS 111746
Ascomycota	Coniochaetales	Coniochaeta	sp.	CS	0.034	33.51		5273	
Ascomycota	Diaporthales	Coniella	lustricola	CS	0.037	36.56		5987	B22-T-1 v1.0
Ascomycota	Diaporthales	Sydowiella	fenestrans	Fl-PC	0.017	17.10	1	2030	REG
Ascomycota	Dothideales	Aureobasidium	melanogenum	CS	0.027	26.20		5221	CBS 110374 v1.0
Ascomycota	Dothideales	Aureobasidium	namibiae	CS	0.026	25.43		5222	CBS 147.97
Ascomycota	Dothideales	Aureobasidium	pullulans	CS	0.030	29.62		5223	EXF-150 v1.0
Ascomycota	Dothideales	Aureobasidium	subglaciale	CS	0.026	25.80		5224	EXF-2481 v1.0
Ascomycota	Dothideomycetes	Aeminium	ludgeri	CS	0.023	22.59		6013	DSM 106916 strain E14
Ascomycota	Dothideomycetes	Cryomyces	antarcticus	CS	0.025	24.00		5188	strain No. MA 5682, Austrian Center of Biological Resources and Applied Mycology
Ascomycota	Elaphomycetales	Elaphomyces	muricatus	DAPI-PC	0.059	57.60		4403	REG 384
Ascomycota	Erysiphales	Blumeria	graminis	CS	0.049	47.47		5606	Strain A6 SAMN01888387
Ascomycota	Erysiphales	Blumeria	graminis	CS	0.055	53.79		5605	Strain K1 SAMN02981504
Ascomycota	Erysiphales	Blumeria	graminis	CS	0.067	65.24		4971	Strain JIW2; SAMN02981533
Ascomycota	Erysiphales	Blumeria	graminis	CS	0.073	71.28		5602	Strain 94202 SAMN02981532
Ascomycota	Erysiphales	Blumeria	graminis	CS	0.078	76.52		5604	Strain Bgt#70 SAMN02981534
Ascomycota	Erysiphales	Blumeria	graminis	CS	0.121	118.73		5258	DH14 v1.0
Ascomycota	Erysiphales	Blumeria	graminis	CS	0.163	158.95		5603	Strain 96224 SAMN02981491
Ascomycota	Eurotiales	Aspergillus	aculeatus	CS	0.036	35.40		4838	ATCC16872 v1.1
Ascomycota	Eurotiales	Aspergillus	aculeatus	CS	0.036	35.40		5238	ATCC16872 v1.1
Ascomycota	Eurotiales	Aspergillus	brasiliensis	CS	0.037	35.81		5239	CBS 101740 v1.0
Ascomycota	Eurotiales	Aspergillus	carbonarius	CS	0.037	36.30		4839	ITEM 5010 v3
Ascomycota	Eurotiales	Aspergillus	clavatus	CS	0.028	27.86		4826	Taxonomy ID: 344612; strain NRRL 1
Ascomycota	Eurotiales	Aspergillus	clavatus	CS	0.036	35.00		4921	Taxonomy ID: 344612; strain NRRL 1
