"Order","Family","Species","Diploid.number","Fundamental.number","Sex.chromosome","Ploidy","Max.Bs","Microchromosomes","Notes","Original.listing","Citation"
"Anura","Alsodidae","Alsodes aff vittatus","26","52","","NA","NA","NA","","","Cuevas, C.C. and Formas, J.R., 2003. Cytogenetic analysis of four species of the genus Alsodes (Anura: Leptodactylidae) with comments about the karyological evolution of the genus. Hereditas, 138(2), pp.138-147."
"Anura","Alsodidae","Alsodes vittatus","28","NA","","NA","NA","NA","","Eupsophus vittatus","Bogart, J. P. 1970. Systematic problems in the amphibian family Leptodactlidae (Anura) as indicated by karyotypic analysis. Cytogenetics 9: 369-383."
"Anura","Alytidae","Discoglossus galganoi galganoi","28","56","","NA","NA","NA","","","Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
"Anura","Alytidae","Discoglossus pictus auritus","28","NA","","NA","NA","NA","","","Amor, N., Aprea, G., Chatti, N., Farjallah, S., Odierna, G. and Said, K., 2007. Karyological analysis of four Tunisian species of Anura (Amphibia). African Zoology, 42(2), pp.268-278."
"Anura","Alytidae","Discoglossus pictus pictus","28","56","","NA","NA","NA","","","Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
"Anura","Aromobatidae","Aromobates leopardalis","24","48","","NA","NA","NA","","Colostethus leopardalis","Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
"Anura","Aromobatidae","Mannophryne neblina","24","48","","NA","NA","NA","","","Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
"Anura","Arthroleptidae","Arthroleptis sp","14","28","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Batrachylidae","Atelognathus praebasalticus","26","NA","","NA","NA","NA","","Telmatobius praebasalticus","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Bufonidae","Altiphrynoides osgoodi","22","NA","","NA","NA","NA","","Nectophrynoides osgoodi","Grandison, A. G. C. 1978. The occurrence of Nectophrynoides (Anura Bufonidae) in Ethiopia. A new concept of the genus with a description of a new species. Monit. Zool. Ital., N. S. Suppl. 11, No. 6: 119-172."
