"Order","Suborder","Family","species","Reproductive mode","Meioformula","Fundamental.number","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation"
"Coleoptera","Adephaga","Carabidae","Abacetus salzamanni     ","Sexual diplodiploidy","2n=41M 20+XO","41","XO","NA","","  ","Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)"
"Coleoptera","Adephaga","Carabidae","Agonum margitum     ","Sexual diplodiploidy","2n=37M 18+XO","37","XO","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Anisodactylus sigtus     ","Sexual diplodiploidy","2n=37M 18+XO","37","XO","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion atrocoeruleum     ","Sexual diplodiploidy","2n=24M 11+XY","24","XY","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion bowditchi     ","Sexual diplodiploidy","2n=24M 11+XY","24","XY","NA","","  ","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion coeruleum     ","Sexual diplodiploidy","2n=24M 11+XY","24","XY","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion littorale","","2n=36M ","36","","NA","","  ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion platum ","Sexual diplodiploidy","2n=24M 11+XY","24","XY","NA","","  ","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion roosvelti ","Sexual diplodiploidy","2n=24M 11+XY","24","XY","NA","","  ","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion stephensi     ","Sexual diplodiploidy","2n=24M 11+XY","24","XY","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion thetys","","2n=24M ","24","","NA","","  ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion yukonoum     ","Sexual diplodiploidy","2n=24M 11+XY","24","XY","NA","","  ","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Blethsia multipunctata","","2n=32M ","32","","NA","","  ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Calachroa sexpunctata ","Sexual diplodiploidy","2n=23M 10+XXY","23","XXY","NA","","","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Calathus gratensis ","Sexual diplodiploidy","2n=37M 18+XO","37","XO","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Calathus luctosus","","2n=38F ","38","","NA","","  ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Carabus olympia","","2n=28M ","28","","NA","","  ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Carabus pyreeus ","Sexual diplodiploidy","2n=28M 13+XY","28","XY","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Chlaenius laetiusculus ","Sexual diplodiploidy","2n=37M 18+XO","37","XO","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Cicindela angulata","Sexual diplodiploidy","2n=21M 9+XXY","21","XXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela chloris","Sexual diplodiploidy","2n=23M 10+XXY","23","XXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela chloropleura","Sexual diplodiploidy","2n=23M 10+XXY","23","XXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela hispanica","Sexual diplodiploidy","2n=21M/2n=22F 9+XXY","21","XXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela littoralis","Sexual diplodiploidy","2n=22M/2n=24F 9+XXXY","22","XXXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela maura","Sexual diplodiploidy","2n=22M/2n=24F 9+XXXY","22","XXXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela minuta","Sexual diplodiploidy","2n=23M 10+XXY","23","XXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela silvicola ","Sexual diplodiploidy","2n=22M/2n=24F 9+XXY","22","XXY","NA","","sic: 9+XXY/6X; likely the male is XXXY this would fit the diploid numbers given","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Cicindela sumatrensis","Sexual diplodiploidy","2n=23M 10+XXY","23","XXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Cicindela trisigta","Sexual diplodiploidy","2n=23M 9+XXXXY","23","XXXXY","NA","","","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Colfax stevensi ","Sexual diplodiploidy","2n=34M 16+XY","34","XY","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Colliuris pennsylvanica ","Sexual diplodiploidy","2n=18M 8+NeoXY","18","NeoXY","NA","","","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Cylindera trisigta ","Sexual diplodiploidy","2n=23M/2n=26F 9+XXXXY","23","XXXXY","NA","","","Collares-Pereira and Serrano (1990)"
"Coleoptera","Adephaga","Carabidae","Cylindra germanica ","Sexual diplodiploidy","2n=16M 7+XY","16","XY","NA","","  ","Galian, Hogan, and Vogler (2002)"
"Coleoptera","Adephaga","Carabidae","Cylindra germanica ","Sexual diplodiploidy","2n=18M ","18","","NA","","  ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Dromius meridiolis","Sexual diplodiploidy","2n=25M 12+XO","25","XO","NA","","  ","Serrano and Galian (1998)"
