"Order","Family","Genus","Species","femalediploidnumber","malediploidnumber","haploidnumber","reproductivemode","sexchromosome","notes","citation"
"Isoptera","Rhinotermitidae","Reticulitermes","Reticulitermes lucifugus grassei","42","42","21","gonochorous","XXYY","X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males","Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753."
"Isoptera","Termitidae","Amitermes","Amitermes eucalipti","42","NA","21","","","","Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753."
"Plecoptera","Perlidae","Perla","Perla immarginata","10","10","5","gonochorous","XY","","Matthey, R., and J. Aubert, 1947 les chromosomes des plecopteres. Bulletin biologique de la France et de la Belgique: 202-246."
"Plecoptera","Perlodidae","Perlodes","Perlodes jurassica","NA","31","16","","","","Matthey, R., and J. Aubert, 1947 les chromosomes des plecopteres. Bulletin biologique de la France et de la Belgique: 202-246."
"Plecoptera","Perlodidae","Perlodes","Perlodes microcephala","28","27","14","gonochorous","XXXO","","Matthey, R., and J. Aubert, 1947 les chromosomes des plecopteres. Bulletin biologique de la France et de la Belgique: 202-246."
"Orthoptera","Acrididae","Aleuas","Aleuas gracilis","20","20","10","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Apacris","Apacris rubrithorax","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus bergi","22","22","11","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus obsurus","18","18","9","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus pseudopunctulatus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus vittigerum","18","18","9","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
