taxon_id,input,rank,suggested
1586935,Abacetus salzamanni     ,species,Abacetus salzmanni
795040,Agonum margitum     ,species,Agonum marginatum
1587011,Anisodactylus sigtus     ,species,Anisodactylus signatus
1042819,Bembidion atrocoeruleum     ,species,Bembidion atrocaeruleum
450215,Bembidion bowditchi     ,species,Bembidion bowditchii
icBemCaer,Bembidion coeruleum     ,species,Bembidion caeruleum
795071,Bembidion littorale,species,Bembidion litorale
1087459,Bembidion platum ,species,Bembidion planum
1166891,Bembidion roosvelti ,species,Bembidion roosevelti
1166858,Bembidion stephensi     ,species,Bembidion stephensii
2493403,Bembidion thetys,species,Bembidion tethys
1944111,Bembidion yukonoum     ,species,Bembidion yukonum
60828,Blethsia multipunctata,species,Blethisa multipunctata
1343429,Calachroa sexpunctata ,species,Cicindela sexpunctata
127477,Calathus gratensis ,species,Calathus granatensis
1236466,Calathus luctosus,species,Calathus luctuosus
102646,Carabus olympia,species,Carabus olympiae
1149313,Carabus pyreeus ,species,Carabus pyrenaeus
,Carabus pyreeus pyreeus ,subspecies,carabus pyrenaeus pyrenaeus
2611518,Chlaenius laetiusculus ,species,Chlaenius laeviusculus
1587494,Cicindela silvicola ,species,Cicindela sylvicola
1343317,Cicindela trisigta,species,Cylindera trisignata
1163509,Colfax stevensi ,species,Colias sieversi
170253,Colliuris pennsylvanica ,species,Cosnania pensylvanica
1343317,Cylindera trisigta ,species,Cylindera trisignata
1343309,Cylindra germanica ,species,Cylindera germanica
1587257,Dromius meridiolis,species,Dromius meridionalis
304361,Dyschirus globosus,species,Dyschirius globosus
247379,Egadroma margitum ,species,Egadroma marginatum
93363,Ellipsoptera margita ,species,Cicindela marginata
157606,Galerita bicolor ,species,Galerina unicolor
247282,Harpalus aesculans ,species,Harpalus aesculanus
1587334,Harpalus honestus ,species,Harpalus modestus
331376,Harpalus pennsylvanicus ,species,Harpalus pensylvanicus
247295,Harpalus pygmaeus,species,Harpalus pigmaeus
247300,Harpalus wagnerii ,species,Harpalus wagneri
585990,Laemostenus complatus,species,Laemostenus complanatus
175617,Mantichora amigdaloides ,species,Manticora amygdaloides
1217135,Myriochile fastidiosa ,species,Myriochila fastidiosa
1343349,Myriochile melancholica ,species,Myriochila melancholica
1343350,Myriochile undulata ,species,Myriochila undulata
247409,Nesarpalus fortutus,species,Nesarpalus fortunatus
155395,Notagonum submetalicum ,species,Notagonum submetallicum
2611737,Notonomus philippi,species,Notonomus philippe
2109442,Omus dejeani ,species,Omus dejeanii
1553614,Oodes helopiodes,species,Oodes helopioides
207750,Pamborus alterns ,species,Pamborus alternans
239177,Percus quiraoi ,species,Percus guiraoi
795062,Platynus assimile,species,Limodromus assimilis
2528281,Platynus obscurus ,species,Platisus obscurus
1470290,Pogonus meridiolis,species,Pogonus meridionalis
2060222,Pterostichus ghiliani ,species,Pterostichus ghilianii
1588620,Pterostichus gracile ,species,Pterostichus gracilis
878440,Pterostichus verlis ,species,Pterostichus vernalis
1588474,Stenolophus skrimshireanus,species,Stenolophus skrimshiranus
586002,Synchus vivalis,species,Synuchus vivalis
528232,Syrdenus grayi,species,Sirdenus grayii
931389,Thalassotrechus barabarae,species,Thalassotrechus barbarae
479612,Trichus maculata,species,Trochus maculatus
272045,Zabrus urbionensis,species,Zabrus urbionesis
207462,Agabus sturmi ,species,Agabus sturmii
156939,Deronectes wewalai,species,Deronectes wewalkai
156950,Ilybius chalcotus ,species,Ilybius chalconatus
207480,Ilybius wasastjere ,species,Ilybius wasastjernae
1309509,Nebrioporus caliculatus,species,Nebrioporus canaliculatus
224508,Stictotarsus bertandi,species,Stictotarsus bertrandi
,Dineutes americanus ,species,dineutus americanus
1564125,Dineutes horni ,species,Dineutus hornii
98928,Gyrinus caspius ,species,Leuciscus aspius
1563984,Gyrinus uritor,species,Gyrinus urinator
107854,Haliplus mucrotus ,species,Haliplus mucronatus
1553471,Haliplus sibricus ,species,Haliplus sibiricus
292448,Micromalthus deblis ,species,Micromalthus debilis
2763553,Notoxus constrictus ,species,Elampus constrictus
1544439,Deporaus margitus ,species,Deporaus marginatus
92692,Rhizopertha dominica ,species,Rhyzopertha dominica
202047,nophyes marmoratus ,species,Nanophyes marmoratus
365789,Castiari adelaidae ,species,Castiarina adelaidae
365791,Castiari rufipennis ,species,Castiarina rufipennis
1580626,Castiari simulata ,species,Castiarina simulata
219353,Dicera divaricata ,species,Dicerca divaricata
1943812,Dicera tenebrosa ,species,Dicerca tenebrica
1483931,Melanophila acumita ,species,Melanophila acuminata
1845032,Cytilus altertus ,species,Cytilus alternatus
194362,Chauliogthus expansus ,species,Chauliognathus expansus
194356,Chauliogthus fallax ,species,Chauliognathus fallax
194358,Chauliogthus flavipes ,species,Chauliognathus flavipes
194360,Chauliogthus lineatus ,species,Chauliognathus lineatus
194359,Chauliogthus octomaculatus ,species,Chauliognathus octamaculatus
194357,Chauliogthus riograndensis ,species,Chauliognathus riograndensis
194361,Chauliogthus tetrapunctatus ,species,Chauliognathus tetrapunctatus
1916668,Aeloesthes holosericea ,species,Aeolesthes holosericea
1586448,Aesthetis testacea ,species,Anaesthetis testacea
557795,Eutrapha ocelota ,species,Eutetrapha ocelota
2610055,Lagochirus araeiformis ,species,Lagocheirus araneiformis
295678,Liopus nebulosus ,species,Leiopus nebulosus
192382,Monochamus altertus,species,Monochamus alternatus
,Monochamus galloprovinciallis galloprovinciallis ,subspecies,monochamus galloprovincialis galloprovincialis
2737487,Morimus orientalis,species,Hormius orientalis
1850319,Olenocamptus bilobus ,species,Olenecamptus bilobus
1588378,Phytoecia coerulescens ,species,Phytoecia caerulescens
223894,Plectura metallica ,species,Plectrura metallica
1553712,Rhagium syncophanta,species,Rhagium sycophanta
1554471,Solenoptera caliculata,species,Solenoptera canaliculata
1206596,Tetraopes tetropthamus ,species,Tetraopes tetrophthalmus
879044,Tetrops praeusta ,species,Tetrops praeustus
2611896,Vesperus xatari,species,Vesperus xatarti
2769931,Xylosteus spinolai ,species,Xylosteus spinolae
245134,Alagoasa decemguttata ,species,Alagoasa decemgutatta
404222,Altica coerulescens ,species,Altica caerulescens
404226,Altica oleeracea ,species,Altica oleracea
273147,Amphelsasma cavum ,species,Amphelasma cavum
371886,Aphtho cyparissiae ,species,Aphthona cyparissiae
1425532,Aphtho depressa ,species,Aphthona depressa
1587043,Aphtho herbigrada ,species,Aphthona herbigrada
346707,Aphtho lutescens ,species,Aphthona lutescens
877787,Aphtho nigriceps ,species,Aphthona nigriceps
504833,Aphtho venustula ,species,Aphthona venustula
200150,Asphaera abdomilis ,species,Asphaera abdominalis
2653412,Aspidimorpha difformis ,species,Aspidomorpha difformis
294721,Aspidimorpha miliaris ,species,Aspidomorpha miliaris
1476883,Aulacophora fovecollis ,species,Aulacophora foveicollis
1885603,Basilepta fuvipes ,species,Basilepta fulvipes
,Calligrapha californica corepsivora ,subspecies,calligrapha californica coreopsivora
,Calligrapha multipunctata bigsbya ,subspecies,calligrapha multipunctata bigsbyana
2320938,Cassida inquita ,species,Cassida inquinata
52254,Cassida prasi ,species,[Candida] fragi
877894,Cassida virdis ,species,Cassida viridis
346760,Chaetocnema concin ,species,Chaetocnema concinna
2611513,Chalcopha cincta ,species,Chalcophana cincta
2293937,Charidotella quadrisigta ,species,Charidotella quadrisignata
131611,Chelymorpha cassidea ,species,Chelymorpha cassida
2578496,Chrysochus asclepiadeus ,species,Chrysochus asclepiadaeus
75504,Chrysoli affinis ,species,Chrysolina affinis
111535,Chrysoli aurichalcea,species,Chrysolina aurichalcea
75508,Chrysoli bicolor ,species,Chrysolina bicolor
75509,Chrysoli carnifex ,species,Chrysolina carnifex
75510,Chrysoli cerealis ,species,Chrysolina cerealis
111537,Chrysoli coerulans ,species,Chrysolina coerulans
75511,Chrysoli colasi,species,Chrysolina colasi
75511,Chrysoli colasi ,species,Chrysolina colasi
75512,Chrysoli curvilinea ,species,Chrysolina curvilinea
75513,Chrysoli diluta ,species,Chrysolina diluta
380051,Chrysoli exanthematica ,species,Chrysolina exanthematica
