taxon_id,input,rank,suggested
448099,Amitermes eucalipti,species,Amitermes eucalypti
227363,Perla immarginata,species,Perla marginata
2604002,Perlodes jurassica,species,Perlodes jurassicus
1071617,Perlodes microcephala,species,Perlodes microcephalus
332233,Aleuas gracilis,species,Agelas gracilis
213227,Dichroplus bergi,species,Dichroplus bergii
338431,Dichroplus obsurus,species,Dichroplus obscurus
338437,Dichroplus vittigerum,species,Dichroplus vittiger
1034442,Paraorphula graminea,species,Parorphula graminea
1603020,Eutropidacris collares,species,Tropidacris collaris
1934507,Microcerotermes fuscotibiatis,species,Microcerotermes fuscotibialis
127387,Reticutitermes santonensis,species,Reticulitermes santonensis
1882553,Isophya hospodat,species,Isophya hospodar
1678041,Isophya krausii,species,Isophya kraussii
910298,Isophya plevnensis,species,Isophya pienensis
36959,Phortioica phoraspoides,species,Phortioeca phoraspoides
50660,Oligotoma saundersi,species,Oligotoma saundersii
202358,Grylloblatta campodeioformis,species,Grylloblatta campodeiformis
267100,Gongylus gongyloides,species,Gongylus gongylodes
1194555,Apterornantis bolivari,species,Apteromantis bolivari
444652,Iris aratoria,species,Iris oratoria
122275,Kongobatha diadernata,species,Kongobatha diademata
267111,Sphodrornantis viridis,species,Sphodromantis viridis
267113,Vates pectinicornis,species,Vates pectinacornis
202390,Orxines macklotti,species,Orxines macklottii
202447,Tropiderus childrenii,species,Tropidoderus childrenii
taxon_id,input,rank,suggested
155721,Reticulitermes lucifugus grassei,species,Reticulitermes grassei
213229,Apacris rubrithorax,species,Apacris rubritorax
338460,Dichroplus pseudopunctulatus,species,Baeacris pseudopunctulatus
687576,Eurotettix lilloanus,species,Dichromatos lilloanus
687577,Eurotettix schrottkyi,species,Dichromatos schrottkyi
2755526,Cubitermes sankurensis,species,Nitiditermes sankurensis
2755539,Cubitermes weissi,species,Ternicubitermes weissi
256709,Kalotermes Flavicollis,species,Kalotermes flavicollis
910292,Isophya modesta longicaudata,species,Isophya longicaudata
36963,Leucophaea maderae,species,Rhyparobia maderae
37813,Parcoblatta pennsylvanica,species,Parcoblatta pensylvanica
1727195,Euantissa ornata,species,Odontomantis ornata
