common_name	scientific_name	comment	phylum	waca_1981
Anemone, Startlet Sea	Nematosella vectensis		Cnidaria	WACA-Sch5
Butterfly, Heath Fritillary	Melitaea athalia		Arthropoda	WACA-Sch5
Butterfly, High Brown Fritillary	Argynnis adippe		Arthropoda	WACA-Sch5
Butterfly, Marsh Fritillary	Eurodryas aurinia		Arthropoda	WACA-Sch5
Butterfly, Black Hairstreak	Strymonidia pruni		Arthropoda	WACA-Sch5
Butterfly, White Letter Hairstreak	Stymonida w-album		Arthropoda	WACA-Sch5
Butterfly, Large Blue	Maculinea arion	in respect of section 9(4)(b) and (c) and (5) only	Arthropoda	WACA-Sch5
Cat, Wild	Felis silverstris	in respect of section 9(4)(b) and (c) and (5) only	Chordata	WACA-Sch5
Dragonfly, Norfolk Aeshna	Aeshna isosceles		Arthropoda	WACA-Sch5
Goby, Couch’s	Gobius couchii		Chordata	WACA-Sch5
Hydroid, Marine	Clavopsella navis		Cnidaria	WACA-Sch5
Lizard, Viviparous	Lacerta vivipara	in respect of section 9(5) only	Chordata	WACA-Sch5
Mat. Trembling Sea	Victorella pavida		Bryozoa	WACA-Sch5
Moth, Black-veined	Siona lineata (otherwise known as Idaea lineata)		Arthropoda	WACA-Sch5
Moth, Fiery Clearwing	Bembecia chrysidiformis		Arthropoda	WACA-Sch5
Moth, Slender Scotch Burnet	Zygaena loti subspecies scotica	in respect of section 9(5) only	Arthropoda	WACA-Sch5
Moth, Talisker Burnet	Zygaena lonicerae subspecies jocelynae	in respect of section 9(5) only	Arthropoda	WACA-Sch5
Newt, Palmate	Triturus helveticus	in respect of section 9(5) only	Chordata	WACA-Sch5
Newt, Smooth	Triturus vulgaris	in respect of section 9(5) only	Chordata	WACA-Sch5
Shrimp, Lagoon Sand	Gammarus insensiblis	in respect of section 9(4)(a) only	Arthropoda	WACA-Sch5
Snail, Sandbowl	Catinella arenaria		Mollusca	WACA-Sch5
Spider, Ladybird	Eresus niger		Arthropoda	WACA-Sch5
Vole, Water	Arvicola terrestris		Chordata	WACA-Sch5
Bottlenose dolphin	Tursiops truncates		Chordata	WACA-Sch5
