scientific_name	common_name	class	isb_wildlife_act_1976
Thalassarche melanophris	Black-browed Albatross	Aves	IWA-nSch3
Pterodrom feae	Fea's Petrel	Aves	IWA-nSch3
Fregata sp.	Frigatebird sp.	Aves	IWA-nSch3
Sylvia curruca	Lesser Whitethroat	Aves	IWA-nSch3
Sylvia cantillans	Subalpine Warbler	Aves	IWA-nSch3
Sylvia melanocephala	Sardinian Warbler	Aves	IWA-nSch3
Serinus tristis	American Goldfinch	Aves	IWA-nSch3
Porphyrio martinicus	American Purple Gallinule	Aves	IWA-nSch3
Sylvia curruca halimodendri	Central Asian Lesser Whitethroat	Aves	IWA-nSch3
acanthis hornemanni 	Coue's Arctic Redpoll	Aves	IWA-nSch3
Somateria mollissima dresseri	Dresser's Eider	Aves	IWA-nSch3
Sylvia cantillans albistriata	Eastern Subalpine Warbler	Aves	IWA-nSch3
Motacilla feldegg	Black-headed Wagtail	Aves	IWA-nSch3
Lanius senator badius	Balearic Woodchat Shrike	Aves	IWA-nSch3
Falco columbarius columbarius	Taiga Merlin	Aves	IWA-nSch3
