taxon_id	input	rank	suggested
140394	Hygrohypnum montanum	species	Campylophyllum montanum
1630287	Alyssum pyrenaicum	species	Hormathophylla pyrenaica
254039	Apium repens	species	Helosciadium repens
468249	Asplenium adulterinum	species	Asplenium x adulterinum
127601	Boleum asperum	species	Vella aspera
197134	Borderea chouardii	species	Dioscorea chouardii
481184	Caralluma burchardii	species	Apteranthes burchardii
400013	Coincya monensis subsp. cheiranthos	subspecies	Coincya monensis subsp. recurvata
267571	Convolvulus argyrothamnus	species	Convolvulus argyrothamnos
537156	Coronopus navasii	species	Lepidium navasii
71346	Crambe tataria	species	Crambe tatarica
880708	Cremnophyton lanfrancoi	species	Atriplex lanfrancoi
2769829	Isoplexis chalcantha	species	Digitalis chalcantha
2769830	Isoplexis isabelliana	species	Digitalis isabelliana
104256	Jonopsidium acaule	species	Ionopsidium acaule
463661	Kunkeliella subsucculenta	species	Thesium subsucculentum
379627	Leontodon microcephalus	species	Scorzoneroides microcephala
197680	Leucojum nicaeense	species	Acis nicaeensis
475894	Lithodora nitida	species	Glandora nitida
92057	Melanoselinum decipiens	species	Daucus decipiens
211946	Micropyropsis tuberosa	species	Lolium tuberosum
92059	Monizia edulis	species	Daucus edulis
317955	Omphalodes kuzinskyanae	species	Iberodes kuzinskyana
317961	Omphalodes littoralis	species	Iberodes littoralis
52490	Petagnia saniculifolia	species	Petagnaea gussonei
387931	Pulsatilla patens	species	Anemone patens
445231	Pulsatilla slavica	species	Anemone slavica
571641	Rouya polygama	species	Daucus rouyi
203594	Sisymbrium supinum	species	Erucastrum supinum
50217	Sventenia bupleuroides	species	Sonchus bupleuroides
373872	Thamnobryum fernandesii	species	Crassiphyllum fernandesii
2497526	Thlaspi jankae	species	Noccaea jankae
85337	Trichomanes speciosum	species	Vandenboschia speciosa
1082186	Jonopsidium savianum	species	Ionopsidium savianum
