taxon_id	input	rank
422676	Aconoidasida	class
7898	Actinopterygii	superclass
5338	Agaricales	order
155619	Agaricomycetes	class
33630	Alveolata	clade
5794	Apicomplexa	phylum
6854	Arachnida	class
6656	Arthropoda	phylum
4890	Ascomycota	phylum
8782	Aves	class
5204	Basidiomycota	phylum
68889	Boletales	order
3699	Brassicales	order
134362	Capnodiales	order
33554	Carnivora	order
91561	Artiodactyla	order
34395	Chaetothyriales	order
3041	Chlorophyta	phylum
5796	Coccidia	subclass
28738	Cyprinodontiformes	order
7147	Diptera	order
147541	Dothideomycetes	class
3193	Embryophyta	clade
33392	Endopterygota	cohort
314146	Euarchontoglires	superorder
71240	eudicotyledons	clade
33682	Euglenozoa	phylum
2759	Eukaryota	superkingdom
5042	Eurotiales	order
147545	Eurotiomycetes	class
9347	Eutheria	clade
72025	Fabales	order
4751	Fungi	kingdom
314147	Glires	clade
1028384	Glomerellales	order
5178	Helotiales	order
7524	Hemiptera	order
7399	Hymenoptera	order
5125	Hypocreales	order
50557	Insecta	class
314145	Laurasiatheria	superorder
147548	Leotiomycetes	class
7088	Lepidoptera	order
4447	Liliopsida	clade
40674	Mammalia	class
33208	Metazoa	kingdom
6029	Microsporidia	phylum
6447	Mollusca	phylum
4827	Mucorales	order
1913637	Mucoromycota	phylum
6231	Nematoda	phylum
33183	Onygenales	order
9126	Passeriformes	order
5820	Plasmodium	genus
92860	Pleosporales	order
38820	Poales	order
5303	Polyporales	order
9443	Primates	order
4891	Saccharomycetes	class
8457	Sauropsida	clade
4069	Solanales	order
147550	Sordariomycetes	class
33634	Stramenopiles	clade
32523	Tetrapoda	clade
155616	Tremellomycetes	class
7742	Vertebrata	clade
33090	Viridiplantae	kingdom
