scientific_name	category	common_name	class	IRBC
Thalassarche melanophris	A	Black-browed Albatross	Aves	IE
Pterodrom feae	A	Fea's Petrel	Aves	IE
Fregata sp.	A	Frigatebird sp.	Aves	IE
Sylvia curruca	A	Lesser Whitethroat	Aves	IE
Sylvia cantillans	A	Subalpine Warbler	Aves	IE
Sylvia melanocephala	A	Sardinian Warbler	Aves	IE
Serinus tristis	D1	American Goldfinch	Aves	IE
Porphyrio martinicus	Since 2000	American Purple Gallinule	Aves	IE
Sylvia curruca halimodendri	Since 2000	Central Asian Lesser Whitethroat	Aves	IE
acanthis hornemanni 	Since 2000	Coue's Arctic Redpoll	Aves	IE
Somateria mollissima dresseri	Since 2000	Dresser's Eider	Aves	IE
Sylvia cantillans albistriata	Since 2000	Eastern Subalpine Warbler	Aves	IE
Motacilla feldegg	Since 2000	Black-headed Wagtail	Aves	IE
Lanius senator badius	Since 2000	Balearic Woodchat Shrike	Aves	IE
Falco columbarius columbarius	Since 2000	Taiga Merlin	Aves	IE
