taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2275570	Ophiolepis ailsae Hendler & Turner, 1987	2275570	Ophiolepis ailsae Hendler & Turner, 1987	1	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Ophiuroidea	350	Amphilepidida	9661062	Ophiolepididae	3219	Ophiolepis	2275564	Ophiolepis ailsae	2275570	NE
2293443	Emarginula phrixodes Dall, 1927	2293443	Emarginula phrixodes Dall, 1927	6	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Lepetellida	9799313	Fissurellidae	6810	Emarginula	2293442	Emarginula phrixodes	2293443	NE
2301261	Erosaria acicularis (Gmelin, 1791)	9772124	Naria acicularis (Gmelin, 1791)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Cypraeidae	2675	Naria	4628849	Naria acicularis	9772124	NE
2303612	Pleurotomella tincta A.E.Verrill, 1885	2303850	Gymnobela emertoni (A.E.Verrill & S.Smith, 1884)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Raphitomidae	5857134	Gymnobela	2303844	Gymnobela emertoni	2303850	NE
2357064	Myripristis jacobus Cuvier, 1829	2357064	Myripristis jacobus Cuvier, 1829	41	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Beryciformes	499	Holocentridae	7195	Myripristis	2356983	Myripristis jacobus	2357064	LC
2386771	Callionymus bairdi Jordan, 1888	2386771	Callionymus bairdi Jordan, 1888	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Callionymidae	8511	Callionymus	2333601	Callionymus bairdi	2386771	LC
2388866	Cephalopholis cruentata (Lacepède, 1802)	2388866	Cephalopholis cruentata (Lacepède, 1802)	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Serranidae	8597	Cephalopholis	2388808	Cephalopholis cruentata	2388866	LC
2874569	Cucumis sativus L.	2874569	Cucumis sativus L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cucurbitales	7224005	Cucurbitaceae	6634	Cucumis	2874568	Cucumis sativus	2874569	NE
2925349	Clerodendrum indicum (L.) Kuntze	2925349	Clerodendrum indicum (L.) Kuntze	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Clerodendrum	2925347	Clerodendrum indicum	2925349	NE
3190638	Mangifera indica L.	3190638	Mangifera indica L.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Mangifera	3075453	Mangifera indica	3190638	DD
3197852	Rosenvingea sanctae-crucis Børgesen	3197854	Rosenvingea orientalis (J.Agardh) Borgesen	2	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Scytosiphonales	1309	Scytosiphonaceae	8501	Rosenvingea	3197848	Rosenvingea orientalis	3197854	NE
5178448	Gennadas capensis Calman, 1925	5178448	Gennadas capensis Calman, 1925	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Benthesicymidae	8028	Gennadas	2223153	Gennadas capensis	5178448	NE
5189188	Astarte smithii Dall, 1886	5189188	Astarte smithii Dall, 1886	6	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Carditida	9280416	Astartidae	6859	Astarte	2287271	Astarte smithii	5189188	NE
5289825	Eustachys petraea (Sw.) Desv.	5289825	Eustachys petraea (Sw.) Desv.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Eustachys	2703568	Eustachys petraea	5289825	NE
5416690	Eugenia chrysobalanoides DC.	5416690	Eugenia chrysobalanoides DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Eugenia	3177662	Eugenia chrysobalanoides	5416690	NE
7385748	Lyngbya confervoides C.Agardh ex Gomont	7385748	Lyngbya confervoides C.Agardh ex Gomont	4	SPECIES	ACCEPTED	Bacteria	3	Cyanobacteria	68	Cyanobacteriia	10774316	Cyanobacteriales	10793096	Microcoleaceae	7941427	Lyngbya	3218593	Lyngbya confervoides	7385748	NE
8292425	Calidris subruficollis (Vieillot, 1819)	2481773	Tryngites subruficollis (Vieillot, 1819)	26	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tryngites	2481772	Tryngites subruficollis	2481773	NT
8399964	Gobioclinus kalisherae (Jordan, 1904)	8399964	Gobioclinus kalisherae (Jordan, 1904)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Labrisomidae	4280	Gobioclinus	4576287	Gobioclinus kalisherae	8399964	LC
9803471	Anous minutus F.Boie, 1844	9803471	Anous minutus F.Boie, 1844	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Anous	9630699	Anous minutus	9803471	LC
1876941	Corcyra cephalonica (Stainton, 1866)	1876941	Corcyra cephalonica (Stainton, 1866)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pyralidae	5336	Corcyra	1876935	Corcyra cephalonica	1876941	NE
2256998	Stoichactis anemone (Ellis)	2256994	Stichodactyla helianthus (Ellis, 1768)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Actiniaria	705	Stichodactylidae	9220	Stichodactyla	2256991	Stichodactyla helianthus	2256994	NE
2260356	Mussa angulosa (Pallas, 1766)	2260356	Mussa angulosa (Pallas, 1766)	2	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Faviidae	11994823	Mussa	2260355	Mussa angulosa	2260356	LC
2313651	Evarnella trimaculata Treadwell, 1924	2313650	Harmothoe trimaculata (Treadwell, 1924)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Polynoidae	7078	Harmothoe	2315129	Harmothoe trimaculata	2313650	NE
2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	5	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Halimedaceae	8778	Halimeda	2643252	Halimeda tuna	2643307	NE
2706150	Pennisetum clandestinum Hochst. ex Chiov.	5828201	Cenchrus clandestinus (Hochst. ex Chiov.) Morrone	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Cenchrus	2703201	Cenchrus clandestinus	5828201	LC
3060876	Manihot janiphoides Müll.Arg.	3060876	Manihot janiphoides Müll.Arg.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Manihot	3060685	Manihot janiphoides	3060876	NE
4375745	Gracilariopsis carolinensis L.M.Liao & Hommers., 2003	4375745	Gracilariopsis carolinensis L.M.Liao & Hommers., 2003	8	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Gracilariales	1401	Gracilariaceae	4944	Gracilariopsis	2665851	Gracilariopsis carolinensis	4375745	NE
