scientific_name	category	common_name	class	IRBC
Pterodrom feae	A	Fea's Petrel	Aves	IE
Fregata sp.	A	Frigatebird sp.	Aves	IE
Serinus tristis	D1	American Goldfinch	Aves	IE
Sylvia curruca halimodendri	Since 2000	Central Asian Lesser Whitethroat	Aves	IE
acanthis hornemanni 	Since 2000	Coue's Arctic Redpoll	Aves	IE
Somateria mollissima dresseri	Since 2000	Dresser's Eider	Aves	IE
Sylvia cantillans albistriata	Since 2000	Eastern Subalpine Warbler	Aves	IE
Motacilla feldegg	Since 2000	Black-headed Wagtail	Aves	IE
Lanius senator badius	Since 2000	Balearic Woodchat Shrike	Aves	IE
Falco columbarius columbarius	Since 2000	Taiga Merlin	Aves	IE
