taxon_id	input	rank
217806	Naria acicularis	species
#xgGymEmer	Gymnobela emertoni	species
371672	Myripristis jacobus	species
700789	Callionymus bairdi	species
160704	Cephalopholis cruentata	species
3659	Cucumis sativus	species
680190	Clerodendrum indicum	species
29780	Mangifera indica	species
1311772	Rosenvingea orientalis	species
2060676	Gennadas capensis	species
38698	Eustachys petraea	species
1940537	Calidris subruficollis	species
298326	Anous minutus	species
139036	Corcyra cephalonica	species
6123	Stichodactyla helianthus	species
214982	Mussa angulosa	species
170433	Halimeda tuna	species
173850	Cenchrus clandestinus	species
2761736	Manihot janiphoides	species
1042180	Gracilariopsis carolinensis	species
13037	Danaus plexippus	species
76235	Euploea mulciber	species
690715	Leucophaeus pipixcan	species
231567	Setophaga palmarum	species
257321	Conasprella centurio	species
459056	Stenophysa marmorata	species
2976597	Orthalicus pulchellus	species
261677	Aiolochroia crassa	species
#xbYolJeff	Yoldiella jeffreysi	species
722564	Gymnothorax vicinus	species
722565	Holocentrus rufus	species
181185	Cordia myxa	species
387458	Aliger gallus	species
2795841	Teredothyra matocotana	species
1332194	Cissus campestris	species
262591	Porites rus	species
#uoCosCurv	Coscinodiscus curvatulus	species
1155696	Cerithideopsis costata	species
197005	Tectarius antonii	species
435273	Eucinostomus gula	species
203291	Elacatinus evelynae	species
160705	Cephalopholis fulva	species
1212470	Setophaga striata	species
95747	Exserohilum monoceras	species
284064	Trichogloea lubrica	species
264476	Lejeunea flava	species
3034455	Sticherus furcatus	species
204384	Gorgonia ventalina	species
316177	Diphyes dispar	species
145870	Cerithium eburneum	species
75015	Caranx latus	species
584627	Gymnothorax miliaris	species
876626	Enchelycore carychroa	species
94928	Melichthys niger	species
7810	Carcharhinus porosus	species
4058	Catharanthus roseus	species
1368319	Sargassum cymosum	species
87248	Hydroclathrus clathratus	species
1186208	Sacoglottis guianensis	species
221821	Dictyosphaeria cavernosa	species
318792	Oenone fulgida	species
2007244	Wyeomyia pertinans	species
576826	Frevillea barbata	species
7632	Eucidaris tribuloides	species
173069	Noetia ponderosa	species
380168	Globivenus rugatina	species
1977381	Chiroteuthis picteti	species
2783450	Crassiphycus corneus	species
86757	Magnolia champaca	species
9417	Artibeus jamaicensis	species
145464	Chione cancellata	species
381241	Didymoglossum hymenoides	species
308512	Conus pulcher	species
2036708	Dromia erythropus	species
48271	Amphipholis squamata	species
1311809	Scaphander watsoni	species
75126	Marisa cornuarietis	species
177087	Caulerpella ambigua	species
130378	Piper amalago	species
986232	Mesosphaerum pectinatum	species
94921	Bothus lunatus	species
404953	Petrolisthes politus	species
318180	Bulimulus guadalupensis	species
80348	Tegula excavata	species
185825	Pantala flavescens	species
325927	Cocytius antaeus	species
2039444	Amphithrax aculeatus	species
467005	Sclerasterias contorta	species
926814	Isognomon radiatus	species
#xbCorCora	Coralliophaga coralliophaga	species
154765	Cenchrus purpureus	species
925354	Lantana trifolia	species
61105	Lupinus crotalarioides	species
190804	Corynandra viscosa	species
104758	Porites astreoides	species
51625	Plicopurpura patula	species
2739157	Eulalia myriacyclum	species
203307	Gobiosoma hildebrandi	species
228354	Tephrosia purpurea	species
73871	Dolichandra unguis-cati	species
126871	Oceanodroma castro	species
2974293	Premocyathus cornuformis	species
316389	Halichoeres poeyi	species
195084	Scartella cristata	species
4611	Cyperus alternifolius	species
39510	Agave americana	species
146473	Zephyranthes citrina	species
197414	Distimake dissectus	species
296035	Phyllanthus urinaria	species
1301078	Helioseris cucullata	species
1192867	Chroicocephalus ridibundus	species
2483486	Distorsio constricta	species
185481	Brasiliscincus agilis	species
273041	Maldane sarsi	species
998190	Trichogloea requienii	species
1527826	Actinoptychus splendens	species
40254	Brachidontes exustus	species
443847	Strumigenys rogeri	species
1262409	Protopulvinaria pyriformis	species
1400849	Elasmopus rapax	species
331090	Ophiomyxa flaccida	species
2100604	Uncisudis advena	species
1500691	Arcos nudus	species
76317	Caulerpa racemosa	species
381692	Padina boergesenii	species
220426	Rugoloa hylaeica	species
700792	Doratonotus megalepis	species
172960	Gracilaria cervicornis	species
576828	Garthiope barbadensis	species
37045	Phaethon aethereus	species
4726	Pandanus tectorius	species
206227	Hoya carnosa	species
219809	Pseudomyrmex gracilis	species
3014137	Limopsis cristata	species
51765	Sparisoma radians	species
1181892	Conger triporiceps	species
1183373	Cantherhines macrocerus	species
110473	Murrayella periclados	species
34175	Tradescantia zebrina	species
867473	Pilosocereus royenii	species
326744	Alternanthera ficoidea	species
2799317	Trivirostra oryza	species
2880857	Solariella tubula	species
1182149	Decodon puellaris	species
630732	Hymenocephalus italicus	species
372312	Patagioenas squamosa	species
3018933	Valonia ventricosa	species
2726348	Coccoloba longifolia	species
297892	Franklinothrips vespiformis	species
1837140	Chondrocladia verticillata	species
#jaSchFiss	Schizocyathus fissilis	species
145438	Rumina decollata	species
160690	Musa ornata	species
330163	Dysphania ambrosioides	species
2974961	Triceratium robertsianum	species
1334922	Triceratium pentacrinus	species
2059263	Pyrgophorus coronatus	species
2871657	Lithopoma tectum	species
