common_name	scientific_name	taxid	project
Nguni cattle	Bos Taurus africanis	9913	AFRICABP
Nguni Sheep	Ovis aries	9940	AFRICABP
Nguni Goat	Capra aegagrus hircus	9925	AFRICABP
bitterball / thorn apple / bitter apple / bitter tomato	Solanum incanum	329779	AFRICABP
bitter aloe	Aloe ferox	117798	AFRICABP
woolly bottlebrush	Greyia radlkoferi	23282	AFRICABP
Golden Everlasting	Helichrysum aureonitens	1244806	AFRICABP
Guinea grass and green panic grass	Megathyrsus maximus	59788	AFRICABP
Mexican prickly poppy	Argemone mexicana	54796	AFRICABP
papyrus sedge, Paper reed, Papyrus	Cyperus papyrus	76434	AFRICABP
spear-leaved orache, hastate orache	Atriplex prostrata	190330	AFRICABP
Potato	Solanum tuberosum	4113	AFRICABP
