ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	publication_id	long_list	other_priority	family_representative	translated_status	in_progress	insdc_open	published	sample_acquired	sample_collected
2768365	Acalolepta aesthetica		Cerambycidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
133117	Acalymma vittatum		Chrysomelidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
6997	Acheta domesticus		Gryllidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
688607	Achroia grisella		Pyralidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1397682	Aedes bromeliae		Culicidae	long_list			AG100PEST								
1769045	Aedes lilii		Culicidae	long_list			AG100PEST								
116153	Aethina tumida		Nitidulidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
224129	Agrilus planipennis		Buprestidae	long_list			AG100PEST								
6943	Amblyomma americanum		Ixodidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
34609	Amblyomma maculatum		Ixodidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
34610	Amblyomma variegatum		Ixodidae	long_list			AG100PEST								
680683	Amyelois transitella		Pyralidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
316456	Anabrus simplex		Tettigoniidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1101080	Anarsia lineatella		Gelechiidae	long_list			AG100PEST								
236421	Anasa tristis		Coreidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
95504	Anastrepha fraterculus		Tephritidae	long_list			AG100PEST								
28586	Anastrepha ludens		Tephritidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
95512	Anastrepha obliqua		Tephritidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
28587	Anastrepha suspensa		Tephritidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
217632	Anoplophora chinensis		Cerambycidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7044	Anthonomus grandis	grandis	Curculionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
7044	Anthonomus grandis	thurberiae	Curculionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
30082	Aonidiella aurantii		Diaspididae	long_list			AG100PEST								
191316	Aphis fabae		Aphididae	long_list			AG100PEST								
80765	Aphis gossypii		Aphididae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
224527	Aphis spiraecola		Aphididae	long_list			AG100PEST								
371891	Aphthona nigriscutis		Chrysomelidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
32398	Aphytis melinus		Aphelinidae	long_list			AG100PEST								
1579206	Bactericera maculipennis		Triozidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
164677	Bactrocera albistrigata		Tephritidae	long_list			AG100PEST								
47773	Bactrocera correcta		Tephritidae	long_list			AG100PEST								
27457	Bactrocera dorsalis		Tephritidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
137042	Bactrocera zonata		Tephritidae	long_list			AG100PEST								
1690043	Bagrada hilaris		Pentatomidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
191317	Cacopsylla pyricola		Psyllidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
12985	Cadra cautella		Pyralidae	long_list			AG100PEST								
1371672	Cadra figulilella		Pyralidae	long_list			AG100PEST								
64391	Callosobruchus maculatus		Curculionidae	long_list			AG100PEST								
913120	Carpophilus hemipterus		Nitidulidae	long_list			AG100PEST								
7213	Ceratitis capitata		Tephritidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1690317	Chaetopsis massyla		Ulidiidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
131620	Chrysomela scripta		Chrysomelidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
13025	Curculio caryae		Curculionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
82600	Cydia pomonella		Tortricidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
197179	Cylas formicarius		Brentidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1553252	Cynaeus angustus		Tenebrionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
60249	Dermacentor albipictus		Ixodidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
34620	Dermacentor andersoni		Ixodidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
34621	Dermacentor variabilis		Ixodidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
473951	Dermestes maculatus		Dermestidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
50386	Diabrotica barberi		Chrysomelidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
133122	Diabrotica cristata		Chrysomelidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
50387	Diabrotica undecimpunctata		Chrysomelidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
50390	Diabrotica virgifera	virgifera	Chrysomelidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
13040	Diaprepes abbreviatus		Curculionidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
61289	Diatraea grandiosella		Crambidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
111238	Dicladispa armigera		Chrysomelidae	long_list			AG100PEST								
1163344	Diorhabda carinata		Chrysomelidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
