bioplatforms_initiative	genus	species	subspecies	taxonomic_family_example_hominidae	ncbi_taxon_id	sequencing_status	in_progress	sample_acquired	sample_collected	target_status	long_list	other_priority	sequencing_status_omg	sequencing_status_arg	sequencing_status_tsi	sequencing_status_gap	sequencing_status_gbr	sequencing_status_agi
ARG	Platyplectrum	ornatum	NA	Limnodynastidae	2741728	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Platyplectrum	ornatum	moonsonal	Limnodynastidae	NA					other_priority	ARG	ARG						
ARG	Platyplectrum	spenceri	NA	Limnodynastidae	104073					other_priority	ARG	ARG						
ARG	Lechriodus	fletcheri	NA	Limnodynastidae	356215					other_priority	ARG	ARG						
ARG	Ranoidea (Litoria)	serrata	southern lineage	Hylidae	143878	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Tiliqua	rugosa	NA	Scincidae	8527	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Physignathus	lesueurii	NA	Agamidae	103694	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Bassiana	duperreyi	NA	Scincidae	316450	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Gehyra	lapistola	australis	Gekkonidae	2856563	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Gehyra	paranana	nana	Gekkonidae	NA	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Gehyra	moritzi	variegata	Gekkonidae	1955237	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Gehyra	purpurascens	NA	Gekkonidae	747217	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Lampropholis	delicata	eugongylus	Scincidae	316451	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Pogona	vitticeps	NA	Agamidae	103695	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Pseudemoia	entrecasteauxii	NA	Scincidae	223249	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Saiphos	equalis	NA	Scincidae	172942	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Phyllurus	nephtys	NA	Pygopoidae	NA					other_priority	ARG	ARG						
ARG	Hydrophis	major	NA	Hydrophiidae	355693	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Carettochelys	insculpta	NA	Carettochelyidae	44489	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Chelodina	expansa	NA	Chelidae	665104	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Cophixalus	australis	NA	Microhylidae	NA					other_priority	ARG	ARG						
ARG	Rheobatrachus	silus	NA	Rheobatrachidae	326985	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Rheobatrachus	vitellinus	NA	Rheobatrachidae	NA	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Pseudophryne	occidentalis	NA	Myobatrachidae	1338023	in_progress	ARG	ARG	ARG	other_priority	ARG	ARG		in_progress				
ARG	Heteronotia	binoei	NA	Gekkonidae	13085					other_priority	ARG	ARG						
AGI	Themeda	triandra	NA	Poaceae	106636	in_progress	AGI	AGI	AGI	other_priority	AGI	AGI						in_progress
GAP	Acacia	pycnantha	NA	Fabaceae	880440	in_progress	GAP	GAP	GAP	other_priority	GAP	GAP				in_progress		
GAP	Telopea	speciosissima	NA	Proteaceae	54955	in_progress	GAP	GAP	GAP	other_priority	GAP	GAP				in_progress		
GAP	Eremophila	drummondii	NA	Scrophulariaceae	2652523					other_priority	GAP	GAP						
GAP	Leucochrysum	albicans	NA	Asteraceae	1436930					other_priority	GAP	GAP						
GAP	Phebalium	stellatum	NA	Rutaceae	77003 (Phebalium)					other_priority	GAP	GAP						
GAP	Wahlenbergia	ceracea	NA	Campanulaceae	1005581					other_priority	GAP	GAP						
GAP	Xanthorrhoea	johnsonii	NA	Asphodelaceae	1592185	in_progress	GAP	GAP	GAP	other_priority	GAP	GAP				in_progress		
GAP	Hibbertia	scandens	NA	Dilleniaceae	149347					other_priority	GAP	GAP						
GAP	Tasmannia	lanceolata	NA	Winteraceae	3420					other_priority	GAP	GAP						
GBR	Symbiodinium	goreaui	C1	Synbiodiniaceae	154548	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Symbiodinium	kawagutii	F	Synbiodiniaceae	104179	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Porites	lutea	holobiont	Poritidae	51062	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Galaxea	fascicularis	NA	Euphylliidae	46745	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Fungia	spp.	NA	Fungiidae	46712	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Goniastrea	aspera	NA	Merulinidae	1540031	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Acropora	tenuis	NA	Acroporidae	70783	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Pachyseris	speciosa	NA	Agariciidae	497657	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Acropora	hyacinthus	NA	Acroporidae	55974	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Favia	favus	NA	Merulinidae	1869259	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Montipora	spumosa	NA	Acroporidae	2052915	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
GBR	Acropora	millepora	NA	Acroporidae	45264	in_progress	GBR	GBR	GBR	other_priority	GBR	GBR					in_progress	
OMG	Macroderma	gigas	NA	Megadermatidae	9411	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Bettongia	gaimardi	NA	Potoroidae	223568	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Burramys	parvus	NA	Burramyidae	38600	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Gymnobelideus	leadbeateri	NA	Petauridae	38618	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Macrotis	lagotis	NA	Thylacomyidae	92651	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Myrmecobius	fasciatus	NA	Myrmecobiidae	55782	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Notoryctes	typhlops	NA	Notoryctidae	37699	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Perameles	gunnii	NA	Peramelidae	37737	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Petrogale	pencillata	NA	Macropodidae	54088	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Sminthopsis	crassicaudata	NA	Dasyuridae	9301	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Dasyurus	hallucatus	NA	Dasyuridae	9280	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Vombatus	ursinus	NA	Vombatidae	29139	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Mastacomys	fuscus	NA	Muridae	337222	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Pseudomys	desertor	NA	Muridae	221914	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
OMG	Pseudomys	novaehollandiae	NA	Muridae	442614	in_progress	OMG	OMG	OMG	other_priority	OMG	OMG	in_progress					
TSI	Macroderma	gigas	NA	Megadermatidae	9411	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Dasyornis	brachypterus	NA	Dasyornithideae	722651	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Neophema	chrysogaster	NA	Psittaculidae	678581	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Anthochaera	phrygia	NA	Passeriformes	2020318	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Galaxias	fontanus	NA	Galaxiidae	89556	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Pseudomys	oralis	NA	Muridae	442616	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Perameles	bougainville	NA	Peramelidae	120735	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Perameles	gunnii	NA	Peramelidae	37737	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Rhodomyrtus	psidioides	NA	Myrtaceae	375277	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Galaxias	johnstoni	NA	Galaxiidae	89557					other_priority	TSI	TSI						
TSI	Acanthocladium	dockeri	NA	Asteraceae	152194					other_priority	TSI	TSI						
TSI	Acacia	araneosa	NA	Fabaceae	1174718					other_priority	TSI	TSI						
TSI	Acacia	rivalis	NA	Fabaceae	1174883					other_priority	TSI	TSI						
TSI	Eulamprus	tympanum	marnieae	Scincidae	204908	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Grevillea	scapigera	NA	Proteaceae	1569684					other_priority	TSI	TSI						
TSI	Litoria	aurea	NA	Hylidae	8371	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Pristis	zijsron	NA	Pristidae	495877	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Lenwebbia	sp.	NA	Myrtaceae	271783					other_priority	TSI	TSI						
TSI	Eidothea	hardeniana	NA	Proteaceae	298684	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Pseudophryne	pengilleyi	NA	Myobatrachidae	495145	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Acanthornis	magna	greeniana	Acanthizidae	720576					other_priority	TSI	TSI						
TSI	Pseudomys	gracilicaudatus	NA	Muridae	442610					other_priority	TSI	TSI						
TSI	Euastacus	armatus	NA	Parastacidae	72420	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Cryptoblepharus	egeriae	NA	Scincidae	2509230					other_priority	TSI	TSI						
TSI	Lepidodactylus	listeri	NA	Gekkonidae	747221					other_priority	TSI	TSI						
TSI	Pardalotus	quadragintus	NA	Pardalotidae	1931069					other_priority	TSI	TSI						
TSI	Lathamus	discolor	NA	Psittacidae	678569					other_priority	TSI	TSI						
TSI	Dasyurus	geoffroii	NA	Dasyuridae	63143					other_priority	TSI	TSI						
TSI	NA	NA	NA	NA	NA	in_progress	TSI	TSI	TSI	other_priority	TSI	TSI			in_progress			
TSI	Pezoporus	wallicus	wallicus	Psittacidae	35540					other_priority	TSI	TSI						
TSI	Pezoporus	wallicus	flaviventris	Psittacidae	889875					other_priority	TSI	TSI						
TSI	Banksia	cuneata	NA	Proteaceae	83699					other_priority	TSI	TSI						
GAP	Triticum	aestivum	NA	Poaceae	4565	in_progress	GAP	GAP	GAP	other_priority	GAP	GAP				in_progress		
GAP	vitis	vinifera	subs vinifera cv chardonnay	Vitaceae	29760	in_progress	GAP	GAP	GAP	other_priority	GAP	GAP				in_progress		
TSI	NA	NA	NA	NA	NA					other_priority	TSI	TSI						
