species	family	phylum	ncbi_taxon_id	source	target_list_status	sequencing_status	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Wirenia argentea	Gymnomeniidae	Mollusca	669229	Norway	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Hydrurus foetidus	Hydruraceae	Ochrophyta	2996	Norway	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Marifugia cavatica	Serpulidae	Annelida	488418	Croatia	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Proasellus anophtalmus dalmatinus	Asellidae	Arthropoda	1366552	Croatia	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Alexandrium minutum	Pyrocystaceae	Miozoa	39455	France	other_priority		BGE	BGE		BGE									
Tritomurus scutellatus	Tomoceridae	Arthropoda	2725171	Slovenia	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Herpes porcellus	Curculionidae	Arthropoda	3065877	Hungary	other_priority		BGE	BGE		BGE									
Hydroglyphus hamulatus	Dytiscidae	Arthropoda	3078427	Sweden	other_priority		BGE	BGE		BGE									
Omalisus fontisbellaquei	Elateridae	Arthropoda	350094	Czechia	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Protonethes ocellatus	Trichoniscidae	Arthropoda	3071065	Montenegro	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Phorcus turbinatus	Trochidae	Mollusca	43341	Spain	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Alpioniscus balthasari	Trichoniscidae	Arthropoda	1233057	Croatia	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Gammarus setosus	Gammaridae	Arthropoda	732111	Poland	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Gluvia dorsalis	Daesiidae	Arthropoda	62148	Spain	other_priority	sample_acquired	BGE	BGE		BGE	BGE	BGE							
Phyllidia flava	Phyllidiidae	Mollusca	2934182	Spain	other_priority	sample_acquired	BGE	BGE		BGE	BGE	BGE							
Xylophaga dorsalis	Xylophagaidae	Mollusca	1526741	Spain	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Eunicella cavolini	Eunicellidae	Cnidaria	317547	France	other_priority	sample_acquired	BGE	BGE		BGE	BGE	BGE							
Triaenophorus nodulosus	Triaenophoridae	Platyhelminthes	56557	Finland	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Distaplia bermudensis	Holozoidae	Chordata	1917237	Italy	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Cistus crispus	Cistaceae	Spermatophyta	335185	France	other_priority		BGE	BGE		BGE									
Mytilopsis leucophaeata	Dreissenidae	Mollusca	45971	France	other_priority		BGE	BGE		BGE									
Pyrrhula murina	Fringillidae	Chordata	928672	Portugal	other_priority		BGE	BGE		BGE									
Androsace saussurei	Primulaceae	Spermatophyta	2890055	France	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Arnica montana	Asteraceae	Spermatophyta	436207	Germany	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Graellsia isabellae	Saturniidae	Arthropoda	63975	Spain	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Ailoscolex lacteospumosus	Hormogastridae	Annelida	1046305	Spain	other_priority		BGE	BGE		BGE									
Botrylloides israeliense	Styelidae	Chordata	2057147	Italy	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Erebia palarica	Nymphalidae	Arthropoda	191414	Spain	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Anodonta cygnea	Unionidae	Mollusca	47528	Switzerland	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Cedrorum azoricus	Carabidae	Arthropoda		Portugal	other_priority		BGE	BGE		BGE									
Dysdera unguimmanis	Dysderidae	Arthropoda	119148	Spain	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Trachusa byssina	Megachilidae	Arthropoda	549142	Germany	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Alyssoides utriculata	Brassicaceae	Spermatophyta	457762	Switzerland	other_priority	sample_collected	BGE	BGE		BGE	BGE								
Anisus vorticulus	Planorbidae	Mollusca	3071549	Germany	other_priority		BGE	BGE		BGE									
Rupicapra pyrenaica ornata	Bovidae	Chordata	130900	Italy	other_priority		BGE	BGE		BGE									
Platypeza hirticeps	Platypezidae	Arthropoda	1445830	Finland	other_priority		BGE	BGE		BGE									
Ulmus laevis	Ulmaceae	Spermatophyta	233204	Italy	other_priority		BGE	BGE		BGE									
