ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	in_progress	sample_collected	published	insdc_open	sample_acquired
1889476	Agapostemon texanus		Halictidae	long_list			CANBP							
115084	Agapostemon virescens		Halictidae	long_list			CANBP							
205183	Andrena carlini		Andrenidae	long_list			CANBP							
586956	Andrena carolina		Andrenidae	long_list			CANBP							
446231	Andrena hirticincta		Andrenidae	long_list			CANBP							
586963	Andrena milwaukeensis		Andrenidae	long_list			CANBP							
205186	Andrena vicina		Andrenidae	long_list			CANBP							
156279	Anthidiellum notatum		Megachilidae	long_list			CANBP							
1667468	Anthidium clypeodentatum		Megachilidae	long_list			CANBP							
537447	Anthidium florentinum		Megachilidae	long_list			CANBP							
473950	Anthidium manicatum		Megachilidae	long_list			CANBP							
156282	Anthidium oblongatum		Megachilidae	long_list			CANBP							
597899	Anthophora terminalis		Apidae	long_list			CANBP							
549032	Ashmeadiella		Megachilidae	long_list			CANBP							
115077	Augochlora pura		Halictidae	long_list			CANBP							
586896	Augochlorella aurata		Halictidae	long_list			CANBP							
309941	Bombus affinis		Apidae	long_list			CANBP							
309941	Bombus affinis		Apidae	long_list			CANBP							
207620	Bombus ashtoni		Apidae	long_list			CANBP							
30198	Bombus bohemicus		Apidae	long_list			CANBP							
30198	Bombus bohemicus		Apidae	long_list			CANBP							
130687	Bombus cryptarum		Apidae	long_list			CANBP							
217885	Bombus occidentalis		Apidae	long_list			CANBP							
28643	Bombus pensylvanicus		Apidae	long_list			CANBP							
207647	Bombus rufocinctus		Apidae	long_list			CANBP							
207648	Bombus terricola		Apidae	long_list			CANBP							
156286	Calliopsis		Andrenidae	long_list			CANBP							
156304	Ceratina calcarata		Apidae	long_list			CANBP							
549059	Chelostoma rapunculi		Megachilidae	long_list			CANBP							
586899	Coelioxys rufitarsis		Megachilidae	long_list			CANBP							
253571	Colletes inaequalis		Colletidae	long_list			CANBP							
2605962	Colletes latitarsis		Colletidae	long_list			CANBP							
395738	Colletes simulans		Colletidae	long_list			CANBP							
395738	Colletes simulans armatus	armatus		long_list			CANBP							
354156	Dianthidium		Megachilidae	long_list			CANBP							
586972	Epeoloides		Apidae	long_list			CANBP							
586974	Epeoloides pilosula		Apidae	other_priority			CANBP		CANBP					
