number_ncbi_taxon_id	genus	species	family	target_list_status	sequencing_status	synonym
7726	Styela	plicata	Styelidae	cbp	in_assembly	NA
7740	Branchiostoma	lanceolatum	Branchiostomidae	cbp	in_assembly	NA
8959	Aegypius	monachus	Accipitridae	cbp_other_priority	sample_acquired	NA
27890	Dugesia	subtentaculata	Dugesiidae	cbp	sample_acquired	NA
28930	Fagus	sylvatica	Fagaceae	cbp	in_assembly	NA
33608	Neophron	percnopterus	Accipitridae	cbp_other_priority	sample_acquired	NA
33610	Gypaetus	barbatus	Accipitridae	cbp_other_priority	in_assembly	NA
34765	Oikopleura	dioica	Oikopleuridae	cbp	in_assembly	NA
48681	Puffinus	mauretanicus	Procellariidae	cbp_other_priority	insdc_submitted	NA
48815	Ramonda	myconi	Gesneriaceae	cbp_other_priority	NA	NA
48915	Diplodus	puntazzo	Sparidae	cbp	in_assembly	NA
61904	Belisarius	xambeui	Chactidae	cbp	in_assembly	NA
64176	Podarcis	muralis	Lacertidae	cbp	sample_acquired	NA
74358	Podarcis	lilfordi	Lacertidae	cbp_other_priority	in_assembly	NA
89891	Derocheilocaris	remanei	Derocheilocarididae	cbp_family_representative	sample_acquired	NA
133233	Achillea	ptarmica subsp.pyrenaica	Asteraceae	cbp	Sample located	NA
142104	Corallium	rubrum	Coralliidae	cbp_other_priority	sample_acquired	NA
172826	Amastigomonas	sp.	Apusomonadidae	cbp	data_generation	NA
242261	Coenonympha	glycerion Borkhausen	Nymphalidae	cbp	sample_acquired	NA
246179	Vipera	latastei	Viperidae	cbp	in_assembly	NA
317549	Paramuricea	clavata	Plexauridae	cbp_other_priority	insdc_submitted	NA
342570	Calotriton	arnoldi	Salamandridae	cbp_other_priority	data_generation	NA
390489	Dugastella	valentina	Atyidae	cbp_other_priority	data_generation	NA
595358	Cyclops	abyssorum	Cyclopidae	cbp	data_generation	NA
627345	Emberiza	schoeniclus witherbyi	Emberizidae	cbp_other_priority	data_generation	NA
1504802	Cyperus	esculentus var. sativus	Cyperaceae	cbp	sample_acquired	NA
2766786	Mediocremonas	mediterraneus	Developayellaceae	cbp_other_priority	sample_acquired	NA
2795559	Lycaena	helle	Lycaenidae	cbp	sample_acquired	NA
398063	Capra	pyrenaica	Bovidae	cbp	sample_acquired	NA
NA	Xatardia	scabra	Apiaceae	cbp	NA	NA
NA	Sensonator	valentiensis	Sensonatoridae	cbp_family_representative	in_assembly	NA
NA	Dysdera	catalonica	Dysderidae	cbp	assembly	NA
NA	Eukoenenia	zariquieyi	Eukoeneniidae	cbp_family_representative	sample_acquired	NA
NA	Dendrodoris	n. sp.	Dendrodorididae	cbp	in_assembly	NA
NA	Norana	najaformis	Hormogastridae	cbp	data_generation	NA
NA	Heterotanais	oerstedii	Leptocheliidae	cbp_family_representative	data_generation	NA
593788	Cystoseira	mediterranea	Sargassaceae	cbp_other_priority	sample_acquired	Ericaria mediterranea
