	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	project	family_representative	long_list	in_progress	other_priority	sample_collected	sample_acquired	insdc_submitted	insdc_open	published
0	134990	Chimaera	phantasma	Chimaeridae	family_representative	in_progress	CFGP	CFGP	CFGP	CFGP		CFGP	CFGP			
1	1213687	Heterodontus	zebra	Heterodontidae	family_representative	in_progress	CFGP	CFGP	CFGP	CFGP		CFGP	CFGP			
2	1443567	Cirrhoscyllium	formosanum	Parascylliidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
3	263686	Carcharhinus	melanopterus	Carcharhinidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
4	496413	Triaenodon	obesus	Carcharhinidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
5	34770	Rhizoprionodon	acutus	Carcharhinidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
6	376633	Hemitriakis	japanica	Triakidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
7	89020	Mustelus	griseus	Triakidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
8	1214693	Halaelurus	buergeri	Scyliorhinidae	family_representative	in_progress	CFGP	CFGP	CFGP	CFGP		CFGP	CFGP			
9	496090	Hemipristis	elongata	Hemigaleidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
10	1155091	Centrophorus	acus	Centrophoridae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
11	55142	Squatina	nebulosa	Squatinidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
12	263718	Squatina	squatina	Squatinidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
13	55135	Pristiophorus	japonicus	Pristiophoridae	family_representative	in_progress	CFGP	CFGP	CFGP	CFGP		CFGP	CFGP			
14	432798	Okamejei	kenojei	Rajidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
15	62965	Narke	japonica	Narkidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
16	27590	Tetronarce	nobiliana	Torpedinidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
17	195328	Rhina	ancylostoma	Rhinidae	long_list	in_progress	CFGP		CFGP	CFGP		CFGP	CFGP			
18	195319	Platyrhina	sinensis	Platyrhinidae	family_representative	in_progress	CFGP	CFGP	CFGP	CFGP		CFGP	CFGP			
