Family	Genus	Species	Common English Name
Balaenidae	Balaena	mysticetus	Bowhead Whale
Balaenidae	Eubalaena	australis	Southern Right Whale
Balaenidae	Eubalaena	glacialis	North Atlantic Right Whale
Balaenidae	Eubalaena	japonica	North Pacific Right Whale
Balaenopteridae	Balaenoptera	acutorostrata	Common Minke Whale
Balaenopteridae	Balaenoptera	bonaerensis	Antarctic Minke Whale
Balaenopteridae	Balaenoptera	borealis	Sei Whale
Balaenopteridae	Balaenoptera	edeni	Bryde's Whale
Balaenopteridae	Balaenoptera	musculus	Blue Whale
Balaenopteridae	Balaenoptera	omurai	Omura's Whale
Balaenopteridae	Balaenoptera	physalus	Fin Whale
Balaenopteridae	Balaenoptera	Ricei	Rice's whale
Balaenopteridae	Megaptera	novaeangliae	Humpback Whale
Delphinidae	Cephalorhynchus	commersonii	Commerson's Dolphin
Delphinidae	Cephalorhynchus	eutropia	Chilean Dolphin
Delphinidae	Cephalorhynchus	heavisidii	Heaviside's Dolphin
Delphinidae	Cephalorhynchus	hectori	Hector's Dolphin
Delphinidae	Delphinus	capensis	Long-Beaked Common Dolphin
Delphinidae	Delphinus	delphis	Short-Beaked (saddle-backed) Common Dolphin
Delphinidae	Feresa	attenuata	Pygmy Killer Whale
Delphinidae	Globicephala	macrorhynchus	Short-Finned Pilot Whale
Delphinidae	Globicephala	melas	Long-Finned Pilot Whale
Delphinidae	Grampus	griseus	Risso's Dolphin
Delphinidae	Lagenodelphis	hosei	Fraser's Dolphin
Delphinidae	Lagenorhynchus	acutus	Atlantic White-Sided Dolphin
Delphinidae	Lagenorhynchus	albirostris	White-Beaked Dolphin
Delphinidae	Lagenorhynchus	australis	Peale's Dolphin
Delphinidae	Lagenorhynchus	cruciger	Hourglass Dolphin
Delphinidae	Lagenorhynchus	obliquidens	Pacific White-Sided Dolphin
Delphinidae	Lagenorhynchus	obscurus	Dusky Dolphin
Delphinidae	Lissodelphis	borealis	Northern Right Whale Dolphin
Delphinidae	Lissodelphis	peronii	Southern Right Whale Dolphin
Delphinidae	Orcaella	brevirostris	Irrawaddy Dolphin
Delphinidae	Orcaella	heinsohni	Australian Snubfin Dolphin
Delphinidae	Orcinus	orca	Killer Whale
Delphinidae	Peponocephala	electra	Melon-Headed Whale
Delphinidae	Pseudorca	crassidens	False Killer Whale
Delphinidae	Sotalia	fluviatilis	Tucuxi
Delphinidae	Sotalia	guianensis	Guiana Dolphin
Delphinidae	Sousa	chinensis	Indo-Pacific Humpbacked Dolphin
Delphinidae	Sousa	plumbea	Indian Ocean humpback dolphin
Delphinidae	Sousa	sahulensis	Australian humpback dolphin
Delphinidae	Sousa	teuszii	Atlantic Humpbacked Dolphin
Delphinidae	Stenella	attenuata	Pantropical Spotted Dolphin
Delphinidae	Stenella	clymene	Clymene Dolphin
Delphinidae	Stenella	coeruleoalba	Striped Dolphin
Delphinidae	Stenella	frontalis	Atlantic Spotted Dolphin
Delphinidae	Stenella	longirostris	Spinner Dolphin
Delphinidae	Steno	bredanensis	Rough-Toothed Dolphin
Delphinidae	Tursiops	aduncus	Indo-Pacific Bottlenose Dolphin
Delphinidae	Tursiops	erebennus	Tamanend's bottlenose dolphin
Delphinidae	Tursiops	truncatus	Common Bottlenose Dolphin
Eschrichtiidae	Eschrichtius	robustus	Gray Whale
Iniidae	Inia	geoffrensis	Boto, Amazon River dolphin
Kogiidae	Kogia	breviceps	Pygmy Sperm Whale
Kogiidae	Kogia	sima	Dwarf Sperm Whale
Lipotidae	Lipotes	vexillifer	Baiji
Monodontidae	Delphinapterus	leucas	Beluga
Monodontidae	Monodon	monoceros	Narwhal
Neobalaenidae	Caperea	marginata	Pygmy Right Whale
Phocoenidae	Neophocaena	asiaeorientalis	Finless Porpoise
Phocoenidae	Neophocaena	phocaenoides	Indo-Pacific Finless Porpoise
Phocoenidae	Phocoena	dioptrica	Spectacled Porpoise
Phocoenidae	Phocoena	phocoena	Harbour Porpoise
Phocoenidae	Phocoena	sinus	Vaquita
Phocoenidae	Phocoena	spinipinnis	Burmeister's Porpoise
Phocoenidae	Phocoenoides	dalli	Dall's Porpoise
Physeteridae	Physeter	macrocephalus	Sperm Whale
Platanistidae	Platanista	gangetica	Ganges River Dolphin
Platanistidae	Platanista	minor	Indus River dolphin
Pontoporiidae	Pontoporia	blainvillei	Franciscana
Ziphiidae	Berardius	arnuxii	Arnoux's Beaked Whale
Ziphiidae	Berardius	bairdii	Baird's Beaked Whale
Ziphiidae	Berardius	minimus	Black beaked whale
Ziphiidae	Hyperoodon	ampullatus	North Atlantic Bottlenose Whale
Ziphiidae	Hyperoodon	planifrons	Southern Bottlenose Whale
Ziphiidae	Indopacetus	pacificus	Indo-Pacific Beaked Whale
Ziphiidae	Mesoplodon	bidens	Sowerby's Beaked Whale
Ziphiidae	Mesoplodon	bowdoini	Andrew's Beaked Whale
Ziphiidae	Mesoplodon	carlhubbsi	Hubbs' Beaked Whale
Ziphiidae	Mesoplodon	densirostris	Blainville's Beaked Whale
Ziphiidae	Mesoplodon	eueu	Ramari's beaked whale
Ziphiidae	Mesoplodon	europaeus	Gervais' Beaked Whale
Ziphiidae	Mesoplodon	ginkgodens	Ginkgo-Toothed Beaked Whale
Ziphiidae	Mesoplodon	grayi	Gray's Beaked Whale
Ziphiidae	Mesoplodon	hectori	Hector's Beaked Whale
Ziphiidae	Mesoplodon	hotaula	Deraniyagala’s beaked whale
Ziphiidae	Mesoplodon	layardii	Strap-Toothed Whale
Ziphiidae	Mesoplodon	mirus	True's Beaked Whale
Ziphiidae	Mesoplodon	perrini	Perrin's Beaked Whale
Ziphiidae	Mesoplodon	peruvianus	Pygmy Beaked Whale
Ziphiidae	Mesoplodon	stejnegeri	Stejneger's Beaked Whale
Ziphiidae	Mesoplodon	traversii	Spade-Toothed Whale
Ziphiidae	Tasmacetus	shepherdi	Shepherd's Beaked Whale
Ziphiidae	Ziphius	cavirostris	Cuvier's Beaked Whale
