NCBI_taxon_id	Genus	species	family	long_list	other_priority	family_representative
134990	Chimaera	phantasma	Chimaeridae	CFGP	CFGP	CFGP
1213687	Heterodontus	zebra	Heterodontidae	CFGP	CFGP	CFGP
1443567	Cirrhoscyllium	formosanum	Parascylliidae	CFGP		
263686	Carcharhinus	melanopterus	Carcharhinidae	CFGP		
496413	Triaenodon	obesus	Carcharhinidae	CFGP		
34770	Rhizoprionodon	acutus	Carcharhinidae	CFGP		
376633	Hemitriakis	japanica	Triakidae	CFGP		
89020	Mustelus	griseus	Triakidae	CFGP		
1214693	Halaelurus	buergeri	Scyliorhinidae	CFGP	CFGP	CFGP
496090	Hemipristis	elongata	Hemigaleidae	CFGP		
1155091	Centrophorus	acus	Centrophoridae	CFGP		
55142	Squatina	nebulosa	Squatinidae	CFGP		
263718	Squatina	squatina	Squatinidae	CFGP		
55135	Pristiophorus	japonicus	Pristiophoridae	CFGP	CFGP	CFGP
432798	Okamejei	kenojei	Rajidae	CFGP		
62965	Narke	japonica	Narkidae	CFGP		
27590	Tetronarce	nobiliana	Torpedinidae	CFGP		
195328	Rhina	ancylostoma	Rhinidae	CFGP		
195319	Platyrhina	sinensis	Platyrhinidae	CFGP	CFGP	CFGP
