Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Anthocerotaceae	Anthoceros	agrestis	dtol_other_priority						DTOL		DTOL
Anthocerotaceae	Anthoceros	punctatus	dtol_family_representative				yes	DTOL		DTOL	DTOL
Notothyladaceae	Phaeoceros	carolinianus	dtol_other_priority						DTOL		DTOL
Notothyladaceae	Phaeoceros	laevis	dtol_family_representative				yes	DTOL		DTOL	DTOL
Acrobolbaceae	Acrobolbus	wilsonii	dtol_family_representative							DTOL	DTOL
Adelanthaceae	Adelanthus	lindenbergianus	dtol_other_priority						DTOL		DTOL
Adelanthaceae	Pseudomarsupidium	decipiens	dtol								DTOL
Adelanthaceae	Syzygiella	autumnalis	dtol_family_representative							DTOL	DTOL
Anastrophyllaceae	Anastrepta	orcadensis	dtol			yes		DTOL			DTOL
Anastrophyllaceae	Anastrophyllum	alpinum	dtol_other_priority						DTOL		DTOL
Anastrophyllaceae	Anastrophyllum	donnianum	dtol_family_representative			yes		DTOL		DTOL	DTOL
Anastrophyllaceae	Anastrophyllum	hellerianum	dtol								DTOL
Anastrophyllaceae	Anastrophyllum	joergensenii	dtol								DTOL
Anastrophyllaceae	Barbilophozia	barbata	dtol			yes		DTOL			DTOL
Anastrophyllaceae	Barbilophozia	hatcheri	dtol				yes	DTOL			DTOL
Anastrophyllaceae	Barbilophozia	kunzeana	dtol								DTOL
Anastrophyllaceae	Barbilophozia	lycopodioides	dtol								DTOL
Anastrophyllaceae	Barbilophozia	quadriloba	dtol								DTOL
Anastrophyllaceae	Barbilophozia	sudetica	dtol								DTOL
Anastrophyllaceae	Biantheridion	undulifolium	dtol								DTOL
Anastrophyllaceae	Gymnocolea	inflata	dtol								DTOL
Anastrophyllaceae	Isopaches	bicrenatus	dtol								DTOL
Anastrophyllaceae	Orthocaulis	atlanticus	dtol								DTOL
Anastrophyllaceae	Orthocaulis	attenuatus	dtol			yes		DTOL			DTOL
Anastrophyllaceae	Orthocaulis	floerkei	dtol			yes		DTOL			DTOL
Anastrophyllaceae	Sphenolobopsis	pearsonii	dtol								DTOL
Anastrophyllaceae	Sphenolobus	minutus	dtol								DTOL
Anastrophyllaceae	Sphenolobus	saxicola	dtol								DTOL
