Prefix_TOLID	SPECIES	STRAIN_ID	STATUS	TAX_ID	PHYLUM	FAMILY	GENUS	TAXONOMIC NOTES	other_priority	goat_status
ucTetChui	Tetraselmis chui	8-6	RESUBMITTED	63592	Chlorophyta	Chlorodendraceae	Tetraselmis		DTOL	sample_collected
uoPsePung	Pseudo-nitzschia pungens	1061-45	RESUBMITTED	37318	Bacillariophyta	Bacillariaceae	Pseudo-nitzschia		DTOL	sample_collected
ucDunPrim	Dunaliella primolecta	11-34	RESUBMITTED	257627	Chlorophyta	Dunaliellaceae	Dunaliella 		DTOL	sample_collected
paTetJugo	Tetramitus jugosus	1588-3C	SUBMITTED	166959	Discoba	Vahlkampfiidae	Tetramitus		DTOL	sample_collected
piColStei	Colpoda steinii	1615-3	RESUBMITTED	63136	Ciliophora	Colpodidae	Colpoda		DTOL	sample_collected
ucPycProv	Pycnococcus provasolii	190-2	RESUBMITTED	41880	Chlorophyta	Pycnococcaceae	Pycnococcus		DTOL	sample_collected
ucCloSacc	Chloroidium saccharophilum	211-27	RESUBMITTED	3082	Chlorophyta	Chlorellaceae	Chloroidium		DTOL	sample_collected
ucHydReti	Hydrodictyon reticulatum	236-1A	RESUBMITTED	3107	Chlorophyta	Hydrodictyaceae	Hydrodictyon		DTOL	sample_collected
uhDiaLuth	Diacronema lutheri	931-1	RESUBMITTED	2081491	Haptophyta	Pavlovaceae	Diacronema		DTOL	sample_collected
uhChrCart	Chrysotila carterae	944-6	RESUBMITTED	13221	Haptophyta	Isochrysidaceae	Chrysotila		DTOL	sample_collected
urRhoViol	Rhodella violacea	1388-2	RESUBMITTED	2801	Rhodophyta	Rhodellaceae	Rhodella		DTOL	sample_collected
uoThaRotu	Thalassiosira rotula	1085-20	RESUBMITTED	49265	Bacillariophyta	Thalassiosiraceae	Thalassiosira		DTOL	sample_collected
uoChaCurv	Chaetoceros curvisetus	1010-12	SUBMITTED	230516	Bacillariophyta	Chaetocerotaceae	Chaetoceros		DTOL	sample_collected
uoCosRadi	Coscinodiscus radiatus	1013-11	SUBMITTED	33642	Bacillariophyta	Coscinodiscacaeae	Coscinodiscus		DTOL	sample_collected
ucMicRedc	Microglena redcarensis	11-88	SUBMITTED	1941195	Chlorophyta	Chlamydomonadaceae	Microglena		DTOL	sample_collected
pyAleTamu	Alexandrium tamutum	1119-12	SUBMITTED	227983	Dinophyta	Gonyaulacaceae	Alexandrium		DTOL	sample_collected
pyProLima	Prorocentrum lima	1136-12	SUBMITTED	39448	Dinophyta	Prorocentraceae	Prorocentrum		DTOL	sample_collected
peEugAnab	Euglenaria anabaena 	1224-15D	SUBMITTED	38273	Euglenozoa	Euglenaceae	Euglenaria		DTOL	sample_collected
ucPseBory	Pseudopediastrum boryanum	291-2	SUBMITTED	55410	Chlorophyta	Hydrodictyaceae	Pseudopediastrum		DTOL	sample_collected
puTheOxon	Thecamonas oxoniensis	1901-2	SUBMITTED		Apusozoa	Apusomonadidae	Thecamonas	Thecamoeba/ Thecamonas (in sts) oxoniensis	DTOL	sample_collected
uhDiaLuth	Diacronema lutheri	931-6	SUBMITTED	2081491	Haptophyta	Pavlovaceae	Diacronema		DTOL	sample_collected
uyRhoBalt	Rhodomonas baltica	979-9	SUBMITTED	295837	Cryptophyta	Pyrenomonadacae	Rhodomonas		DTOL	sample_collected
pyAmpCart	Amphidinium carterae	1102-1	SUBMITTED	2961	Dinophyta	Gymnodiniaceae	Amphidinium		DTOL	sample_collected
pyGymCcap	Gymnodinium sp.	1117-9	SUBMITTED		Dinophyta	Gymnodiniaceae	Gymnodinium	Gymnodinium/Levanderina	DTOL	sample_collected
pyProMica	Prorocentrum micans	1136-27	SUBMITTED	2945	Dinophyta	Prorocentraceae	Prorocentrum		DTOL	sample_collected
uoSynSpea	Synura sp.	960-5	COLLECTED	2911192	Ochrophyta	Mallomonadaceae	Synura		DTOL	sample_collected
uyCryMars	Cryptomonas marssonii	979-64	SUBMITTED	233187	Cryptophyta	Cryptomonadaceae	Cryptomonas		DTOL	sample_collected
uoDinCcap	Dinobryon sp.	917-5	SUBMITTED		Ochrophyta	Dinobryaceae	Dinobryon		DTOL	sample_collected
uoNavCcap	Navicula sp.	1050-13	SUBMITTED		Bacillariophyta	Naviculaceae	Navicula		DTOL	sample_collected
ucTreAure	Trentepohlia aurea	483-1	SUBMITTED	173376	Chlorophyta	Trentepohliaceae	Trentepohlia		DTOL	sample_collected
puPleSpec	Pleurochrysis sp.	944-4	SUBMITTED		Haptophyta	Pleurochrysidaceae	Pleurochrysis		DTOL	sample_collected
uoNitSpei	Nitzschia sp.	1052-23	SUBMITTED		Bacillariophyta	Bacillariaceae	Nitzschia		DTOL	sample_collected
ucMarCocc	Marvania coccoides	251-1B	SUBMITTED	133487	Chlorophyta	Chlorellaceae	Marvania		DTOL	sample_collected
ucCoeMicr	Coelastrum microporum	217-1A	SUBMITTED	55409	Chlorophyta	Scenedesmaceae	Coelastrum		DTOL	sample_collected
pyAleCate	Alexandrium catenella	1119-17	SUBMITTED	2925	Myzozoa	Gonyaulacaceae	Alexandrium		DTOL	sample_collected
uoGraStri	Grammonema striatula	1029-18	SUBMITTED	33645	Bacillariophyta	Fragilariaceae	Grammonema		DTOL	sample_collected
	Ectocarpoides piscinalis nom. prov.	1307-1	COLLECTED			Ectocarpaceae	Ectocarpoides		DTOL	sample_collected
ucSphSchr	Sphaerocystis schroeteri	76-7	SUBMITTED	1461601	Chlorophyta	Palmellaceae	Sphaerocystis		DTOL	sample_collected
pyScrTroc	Scrippsiella trochoidea	1134-1	SUBMITTED	71861	Myzozoa	Thoracosphaeraceae	Scrippsiella		DTOL	sample_collected
pcOvuParv	Ovulinata parva	1554-1	SUBMITTED	985831	Cercozoa	Pseudodifflugiidae	Ovulinata		DTOL	sample_collected
ucHeyDict	Heynigia dictyosphaerioides	222-2D	SUBMITTED	797674	Chlorophyta	Chlorellaceae	Heynigia		DTOL	sample_collected
ucChlLemn	Chlorochytrium lemnae	409-1	SUBMITTED	1199099	Chlorophyta	Chlorochytriaceae	Chlorochytrium		DTOL	sample_collected
ucNepSubs	Nephrochlamys subsolitaria	243-2A	SUBMITTED	876697	Chlorophyta	Selenastraceae	Nephrochlamys		DTOL	sample_collected
ucKolSpic	Koliella spiculiformis	470-2B	SUBMITTED	154509	Chlorophyta	Koliellaceae	Koliella		DTOL	sample_collected
ucPleTerr	Pleurastrum terricola	463-2	SUBMITTED	34116	Chlorophyta		Pleurastrum		DTOL	sample_collected
ucBraSubm	Brachiomonas submarina	7-5	SUBMITTED	327064	Chlorophyta	Chlamydomonadaceae	Brachiomonas		DTOL	sample_collected
ucLobSegn	Lobochlamys segnis	1-13	SUBMITTED	52035	Chlorophyta	Chlamydomonadaceae	Lobochlamys		DTOL	sample_collected
uoMedHely	Mediopyxis helysia	1047-1	SUBMITTED	327391	Stramenopiles/ Ochrophyta		Mediopyxis		DTOL	sample_collected
uoParSulc	Paralia sulcata	1059-2	SUBMITTED	216927	Stramenopiles/ Ochrophyta	Paraliaceae	Paralia		DTOL	sample_collected
uoCycPseu	Discostella pseudostelligera	1070-3	SUBMITTED	259834	Stramenopiles/ Ochrophyta	Stephanodiscaceae	Discostella		DTOL	sample_collected
uoStaSimu	Stauroneis simulans	1078-1	SUBMITTED	555749	Stramenopiles/ Ochrophyta	Stauroneidaceae	Stauroneis 		DTOL	sample_collected
uoSteHant	Stephanodiscus hantzschii	1079-4	SUBMITTED	29207	Stramenopiles/ Ochrophyta	Stephanodiscaceae	Stephanodiscus		DTOL	sample_collected
ucCoePlan	Coenococcus planctonicus	112-1	SUBMITTED	2853155	Chlorophyta	Radiococcaceae	Coenococcus 		DTOL	sample_collected
ucGunKasa	Gungnir kasakii	12-8	SUBMITTED	71746	Chlorophyta	Haematococcaceae	Gungnir 		DTOL	sample_collected
ucSchJuda	Ankyra judayi	203-1	SUBMITTED	52688	Chlorophyta	Sphaeropleaceae	Ankyra 		DTOL	sample_collected
	Trebouxia crenulata	219-2	DEAD		Chlorophyta		Trebouxia		DTOL	
ucDicEhre	Dictyosphaerium ehrenbergianum	222-1A	SUBMITTED	745283	Chlorophyta	Chlorellaceae	Dictyosphaerium		DTOL	sample_collected
