ncbi_taxon_id	genus	species	family	target_list_status	sequencing_status	synonym	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
213030	Absidia	cylindrospora	Cunninghamellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
4829	Absidia	glauca	Cunninghamellaceae	ebpn_other_priority			EBPN	EBPN											
9852	Alces	alces	Cervidae	ebpn_other_priority			EBPN	EBPN											
2926	Alexandrium	tamarense	Pyrocystaceae	ebpn_other_priority			EBPN	EBPN											
3516	Alnus	incana	Betulaceae	ebpn_other_priority			EBPN	EBPN											
134639	Amara	alpina	Carabidae	ebpn_other_priority			EBPN	EBPN											
315322	Amblyraja	hyperborea	Rajidae	ebpn_other_priority			EBPN	EBPN											
82379	Amphiura	chiajei	Amphiuridae	ebpn_other_priority			EBPN	EBPN											
29923	Amylomyces	rouxii	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
1425294	Anelasma	squalicola	Pollicipedidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
84120	Anoplodium	stichopi	Umagillidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
473950	Anthidium	manicatum	Megachilidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
	Antho	dichotoma	Microcionidae	ebpn_other_priority			EBPN	EBPN											
45985	Arianta	arbustorum	Helicidae	ebpn_other_priority			EBPN	EBPN											
454130	Aspergillus	calidoustus	Aspergillaceae	ebpn_other_priority			EBPN	EBPN											
147940	Asplenium	viride	Aspleniaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
6715	Astacus	astacus	Astacidae	ebpn_other_priority			EBPN	EBPN											
9770	Balaenoptera	physalus	Balaenopteridae	ebpn_other_priority			EBPN	EBPN											
125796	Benthosema	glaciale	Myctophidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
65597	Bombus	humilis	Apidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
44932	Boreogadus	saida	Gadidae	ebpn_other_priority			EBPN	EBPN											
371907	Bubo	scandiacus	Strigidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
6837	Calanus	finmarchicus	Calanidae	ebpn_other_priority			EBPN	EBPN											
311540	Caligus	curtus	Caligidae	ebpn_other_priority			EBPN	EBPN											
257370	Caligus	elongatus	Caligidae	ebpn_other_priority			EBPN	EBPN											
13385	Calluna	vulgaris	Ericaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
6759	Carcinus	maenas	Carcinidae	ebpn_other_priority			EBPN	EBPN											
109591	Cardamine	bellidifolia	Brassicaceae	ebpn_other_priority			EBPN	EBPN											
48032	Carum	carvi	Apiaceae	ebpn_other_priority			EBPN	EBPN											
37303	Chara	hispida	Characeae	ebpn_other_priority			EBPN	EBPN											
41210	Chionoecetes	opilio	Majidae	ebpn_other_priority			EBPN	EBPN											
37601	Chloris	chloris	Fringillidae	ebpn_other_priority	sample_acquired	chloris	EBPN	EBPN			EBPN	EBPN							
412156	Chrysochromulina	leadbeateri	Chrysochromulinaceae	ebpn_other_priority			EBPN	EBPN											
260543	Chrysopa	perla	Chrysopidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
127875	Cinclus	cinclus	Cinclidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
37609	Coccothraustes	coccothraustes	Fringillidae	ebpn_other_priority	sample_acquired	coccothraustes	EBPN	EBPN			EBPN	EBPN							
669661	Cochlearia	groenlandica	Brassicaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
1187000	Colura	calyptrifolia	Lejeuneaceae	ebpn_other_priority			EBPN	EBPN											
13447	Conium	maculatum	Apiaceae	ebpn_other_priority			EBPN	EBPN											
858854	Cortinarius	alpinus	Cortinariaceae	ebpn_other_priority			EBPN	EBPN											
75324	Cortinarius	caperatus	Cortinariaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
1589806	Cortinarius	inexspectatus	Cortinariaceae	ebpn_other_priority			EBPN	EBPN											
2558181	Cortinarius	mariekristinae	Cortinariaceae	ebpn_other_priority			EBPN	EBPN											
418151	Cortinarius	osloensis	Cortinariaceae	ebpn_other_priority			EBPN	EBPN											
304739	Cortinarius	tiliae	Cortinariaceae	ebpn_other_priority			EBPN	EBPN											
57200	Craterellus	tubaeformis	Cantharellaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
155726	Cunninghamella	blakesleeana	Cunninghamellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
76405	Cunninghamella	echinulata	Cunninghamellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
889777	Cuphophyllus	canescens	Hygrophoraceae	ebpn_other_priority			EBPN	EBPN											
27804	Cyanea	capillata	Cyaneidae	ebpn_other_priority			EBPN	EBPN											
132682	Daphnia	cristata	Daphniidae	ebpn_other_priority			EBPN	EBPN											
	Dasya	adela	Dasyaceae	ebpn_other_priority			EBPN	EBPN											
984904	Diamesa	bohemani	Chironomidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
984905	Diamesa	hyperborea	Chironomidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
	Diamesa	lindrothi	Chironomidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
2578515	Diamesa	serratosioi	Chironomidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
1751538	Diamesa	tonsa	Chironomidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
2681902	Discus	ruderatus	Discidae	ebpn_other_priority			EBPN	EBPN											
192631	Elaphostrongylus	rangiferi	Protostrongylidae	ebpn_other_priority			EBPN	EBPN											
	Enteroxenos	oestergreni	Eulimidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
603589	Ephemerella	aurivillii	Ephemerellidae	ebpn_other_priority			EBPN	EBPN											
201501	Epirrita	autumnata	Geometridae	ebpn_other_priority			EBPN	EBPN											
1400299	Erioderma	pedicellatum	Pannariaceae	ebpn_other_priority			EBPN	EBPN											
648166	Etmopterus	spinax	Etmopteridae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
430040	Eumicrotremus	spinosus	Cyclopteridae	ebpn_other_priority			EBPN	EBPN											
478208	Flustra	foliacea	Flustridae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
40483	Fomitopsis	pinicola	Fomitopsidaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
67435	Fontinalis	antipyretica	Fontinalaceae	ebpn_other_priority			EBPN	EBPN											
37598	Fringilla	coelebs	Fringillidae	ebpn_other_priority	sample_acquired	coelebs	EBPN	EBPN			EBPN	EBPN							
87148	Fucus	serratus	Fucaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
8049	Gadus	morhua	Gadidae	ebpn_other_priority			EBPN	EBPN											
52639	Gammarus	lacustris	Gammaridae	ebpn_other_priority			EBPN	EBPN											
49954	Gentiana	purpurea	Gentianaceae	ebpn_other_priority			EBPN	EBPN											
519541	Geodia	barretti	Geodiidae	ebpn_other_priority			EBPN	EBPN											
314568	Geranium	bohemicum	Geraniaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
1553340	Gyrophaena	boleti	Staphylinidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
2055192	Helvella	alpina	Helvellaceae	ebpn_other_priority			EBPN	EBPN											
78322	Helvella	corium	Helvellaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
44625	Helvella	lacunosa	Helvellaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
2055215	Helvella	nannfeldtii	Helvellaceae	ebpn_other_priority			EBPN	EBPN											
2055219	Helvella	philonotis	Helvellaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
1230159	Hemerobius	perelegans	Chrysopidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
397554	Heteromastus	filiformis	Capitellidae	ebpn_other_priority			EBPN	EBPN											
232323	Hypsibius	dujardini	Hypsibiidae	ebpn_other_priority			EBPN	EBPN											
167356	Inonotus	obliquus	Hymenochaetaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
56723	Labrus	bergylta	Labridae	ebpn_other_priority			EBPN	EBPN											
2044469	Labyrinthulochytrium	arktikum	Thraustochytriaceae	ebpn_other_priority			EBPN	EBPN											
7748	Lampetra	fluviatilis	Petromyzontidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
7750	Lampetra	planeri	Petromyzontidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
1471635	Lanius	collurio	Laniidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
311539	Lepeophtheirus	pectoralis	Caligidae	ebpn_other_priority			EBPN	EBPN											
77708	Lepidurus	arcticus	Triopsidae	ebpn_other_priority			EBPN	EBPN											
478074	Lewinskya	rupestris	Orthotrichaceae	ebpn_other_priority			EBPN	EBPN											
42458	Lichtheimia	corymbifera	Lichtheimiaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
64522	Linnemannia	gamsii	Mortierellaceae	ebpn_other_priority			EBPN	EBPN											
64524	Linnemannia	hyalina	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
174260	Lophelia	pertusa	Caryophylliidae	ebpn_other_priority		Desmophyllum pertusum	EBPN	EBPN											
8074	Lophius	piscatorius	Lophiidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
52792	Luscinia	svecica	Turdidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
13125	Lynx	lynx	Felidae	ebpn_other_priority			EBPN	EBPN											
30960	Mallotus	villosus	Salangidae	ebpn_other_priority			EBPN	EBPN											
3752	Malus	sylvestris	Rosaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
84115	Meara	stichopi	Nemertodermatidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
48144	Meganyctiphanes	norvegica	Euphausiidae	ebpn_other_priority			EBPN	EBPN											
860324	Melica	nutans	Poaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
90606	Micranthes	nivalis	Saxifragaceae	ebpn_other_priority		Saxifraga nivalis	EBPN	EBPN											
64518	Mortierella	alpina	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
589210	Mortierella	globalpina	Mortierellaceae	ebpn_other_priority			EBPN	EBPN											
979702	Mortierella	globulifera	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
