	Species_name	Verified_name	Family	long_list	family_representative	other_priority
0	Astasia curvata 		Clade Aphagea	EIN		
1	Astasia fritschii 		Clade Aphagea	EIN		
2	Astasia hallii 		Clade Aphagea	EIN		
3	Astasia longa	Euglena longa	Euglenaceae	EIN		
4	Astasia solea 		Clade Aphagea	EIN		
5	Colacium vesiculosum		Euglenaceae	EIN		
6	Colacium mucronatum		Euglenaceae	EIN		
7	Cryptoglena pigra 	Cryptoglena pigra 	Euglenaceae	EIN		
8	Decastava edaphica 		Clade Alistosa	EIN		
9	Discoplastis spathirhyncha		Phacaceae	EIN		
10	Distigma proteus		Clade Aphagea	EIN		
11	Distigma proteus		Clade Aphagea	EIN		
12	Entosiphon sp. 		no higher taxon	EIN		
13	Entosiphon sulcatum		no higher taxon	EIN		
14	Entosiphon sulcatum 		no higher taxon	EIN		
15	Euglena adhaerens		Euglenaceae	EIN		
16	Euglena agilis		Euglenaceae	EIN		
17	Euglena ascusformis		Euglenaceae	EIN		
18	Euglena baltica		Euglenaceae	EIN		
19	Euglena bituricensis		Euglenaceae	EIN		
20	Euglena bucharica		Euglenaceae	EIN		
21	Euglena cantabrica		Euglenaceae	EIN		
22	Euglena cantabrica 		Euglenaceae	EIN		
23	Euglean carterae 	Euglena satelles	Euglenaceae	EIN		
24	Euglena chadefaudii		Euglenaceae	EIN		
25	Euglena chlamydophora		Euglenaceae	EIN		
26	Euglena clara		Euglenaceae	EIN		
27	Euglena deses		Euglenaceae	EIN		
28	Euglena ehrenbergii		Euglenaceae	EIN		
29	Euglena geniculata		Euglenaceae	EIN		
30	Euglena gracilis		Euglenaceae	EIN		
31	Euglena granulata		Euglenaceae	EIN		
32	Euglena interrupta		Euglenaceae	EIN		
33	Euglena laciniata		Euglenaceae	EIN		
34	Euglena limosa		Euglenaceae	EIN		
35	Euglena longa		Euglenaceae	EIN		
36	Euglena mainxii		Euglenaceae	EIN		
37	Euglena multiformis		Euglenaceae	EIN		
38	Euglena mutabilis		Euglenaceae	EIN		
39	Euglena oblonga		Euglenaceae	EIN		
40	Euglena obtusa 		Euglenaceae	EIN		
41	Euglena pisciformis 	Euglena agilis	Euglenaceae	EIN		
42	Euglena sabulorum		Euglenaceae	EIN		
43	Euglena sanguinea		Euglenaceae	EIN		
44	Euglena sociabilis		Euglenaceae	EIN		
45	Euglena splendens		Euglenaceae	EIN		
46	Euglena terricola		Euglenaceae	EIN		
47	Euglena tristella		Euglenaceae	EIN		
48	Euglena tuba		Euglenaceae	EIN		
49	Euglena vermiformis		Euglenaceae	EIN		
50	Euglena virdis		Euglenaceae	EIN		
51	Euglena stellata		Euglenaceae	EIN		
52	Euglenaria anabaena		Euglenaceae	EIN		
53	Euglenaria archaeoplastidiata		Euglenaceae	EIN		
54	Euglenaria caudata		Euglenaceae	EIN		
55	Euglenaria clavata		Euglenaceae	EIN		
56	Euglenaformis proxima		Euglenaceae	EIN		
57	Eutreptia viridis 		Eutreptiaceae	EIN		
58	Eutreptia pertyi		Eutreptiaceae	EIN		
59	Eutreptiella gymnastica		Eutreptiaceae	EIN		
60	Eutrepiella sp. CCMP3347		Eutreptiaceae	EIN		
61	Hyalophacus ocellatus 	Phacus ocellatus	Phacaceae	EIN		
62	Keelungia sp. 		Clade Alistosa	EIN		
63	Lepocinclis acus		Phacaceae	EIN		
64	Lepocinclis buetschlii	Lepocinclis steinii	Phacaceae	EIN		
65	Lepocinclis helicoideus	Lepocinclis oxyuris var. helicoidea	Phacaceae	EIN		
66	Lepocinclis ovum		Phacaceae	EIN		
67	Lepocinclis oxyuris		Phacaceae	EIN		
68	Lepocinclis spirogyroides		Phacaceae	EIN		
69	Lepocinclis tripteris	Lepocinclis torta	Phacaceae	EIN		
70	Menoidium bibacillatum 		Clade Aphagea	EIN		
71	Monomorphina aenigmaticus 		Euglenaceae	EIN		
72	Monomorphina ovata		Euglenaceae	EIN		
73	Monomorphina pyrum		Euglenaceae	EIN		
74	Neometanema parovale 		no higher taxa	EIN		
75	Notosolenus urceolatus 		Clade Alistosa	EIN		
76	Peranema trichophorum		Clade Aphagea	EIN		
77	Petalomonas cantuscygni		Clade Alistosa	EIN		
78	Petalomonas cantuscygni 		Clade Alistosa	EIN		
79	Phacus brachykentron	Phacus acuminatus	Phacaceae	EIN		
80	Phacus costata		Phacaceae	EIN		
81	Phacus limnophilus		Phacaceae	EIN		
82	Phacus orbicularis		Phacaceae	EIN		
83	Phacus oscillans		Phacaceae	EIN		
84	Phacus pusillus 		Phacaceae	EIN		
85	Phacus salinus		Phacaceae	EIN		
86	Ploeotia costata		Clade Alistosa	EIN		
87	Rapaza viridis		Rapazidae	EIN		
88	Rhabdomonas costata		Clade Aphagea	EIN		
89	Rhabdomonas gibba		Clade Aphagea	EIN		
90	Scytomonas saepesedens  		Clade Alistosa	EIN		
91	Trachelomonas hispida 		Euglenaceae	EIN		
92	Trachelomonas oblonga var. punctata		Euglenaceae	EIN		
