ncbi_taxon_id	species	family	target_list_status	sequencing_status	synonym	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
647170	Palaemon varians	Palaemonidae	other_priority	data_generation	Palaemonetes varians	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
41365	Scolopendra cingulata	Scolopendridae	other_priority	data_generation		ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
29022	Scutigera coleoptrata	Scutigeridae	other_priority	data_generation		ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
2973175	Archispirostreptus syriacus	Spirostreptidae	other_priority	data_generation		ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
241674	Bothriogaster signata	Himantariidae	other_priority	sample_acquired		ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
2994054	Hogna graeca	Lycosidae	other_priority	sample_acquired		ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
280394	Holocnemus pluchei	Pholcidae	other_priority	sample_acquired	Aranea pluchii	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
6863	Hottentotta judaicus	Buthidae	other_priority	sample_acquired	Hottentotta judaica	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
1662104	Scorpio fuscus	Scorpionidae	other_priority	sample_acquired	Scorpio maurus fuscus	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
986714	Armadillidium maculatum	Armadillidiidae	other_priority	sample_acquired		ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
348718	Lopinga achine	Nymphalidae	other_priority	sample_collected	Pararge achine	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH								
1400418	Rosalia alpina	Cerambycidae	other_priority	sample_collected		ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH								
111411	Oreina speciosa	Chrysomelidae	other_priority			ERGA-CH	ERGA-CH		ERGA-CH									
