NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	in_progress	insdc_open	sample_collected	sample_acquired	published	other_priority	long_list	family_representative
27704	Gobio	gobio	Gobionidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
322563	Proterorhinus	semilunaris	Gobiidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
48668	Rutilus	rutilus	Leuciscidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
69811	Leuciscus	idus	Leuciscidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
38527	Abramis	brama	Leuciscidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
40830	Barbus	barbus	Cyprinidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
8284	Squalius	cephalus	Leuciscidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
155067	Vimba	vimba	Leuciscidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
260767	Romanogobio	albipinnatus	Gobionidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
210855	Zingel	zingel	Percidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
58323	Leucaspius	delineatus	Leuciscidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
36185	Thymallus	thymallus	Salmonidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
98928	Aspius	aspius	Leuciscidae	other_priority	in_progress	Leuciscus aspius	EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
283035	Sander	lucioperca	Percidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
7962	Cyprinus	carpio	Cyprinidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
100952	Cottus	gobio	Cottidae	other_priority	insdc_open		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH	EUROFISH	
57865	Gymnocephalus	cernua	Percidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
58317	Blicca	bjoerkna	Leuciscidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
8168	Perca	fluviatilis	Percidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
58319	Scardinius	erythropthalmus	Leuciscidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
101364	Carassius	gibelio	Cyprinidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
51549	Pseudorasbora	parva	Gobionidae	other_priority	in_progress		EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
98397	Rhodeus	amarus	Acheilognathidae	other_priority	in_progress	Cyprinus amarus,  Rhodeus sericeus amarus	EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
373745	Rhodeus	meridionalis	Acheilognathidae	other_priority	in_progress	Rhodeus amarus meridionalis	EUROFISH	EUROFISH		EUROFISH	EUROFISH		EUROFISH	EUROFISH	
