NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	in_progress	sample_collected	sample_acquired	insdc_open	published	family_representative	long_list	other_priority
613017	Mystrium	camillae	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
621488	Prionopelta	kraepelini	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
	Stigmatomma	rubiginoum	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
610584	Iridomyrmex	anceps	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
611171	Liometopum	microcephalum	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
255795	Ochetellus	glaber	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
219810	Tapinoma	melanocephalum	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
606893	Cerapachys	sulcinodis	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
232121	Dorylus	orientalis	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
	Parasyscia	sp.	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
609939	Gnamptogenys	bicolor	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
237765	Typhlomyrmex	rogenhoferi	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
354296	Anoplolepis	gracilipes	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
	Camponotus	fedtschenkoi	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
213863	Camponotus	fellah	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
84547	Camponotus	japonicus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
606068	Camponotus	singularis	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
359642	Camponotus	nicobarensis	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
606501	Cataglyphis	aenescens	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
	Colobopsis	minus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
609683	Euprenolepis	procera	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
255794	Formica	japonica	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
72779	Formica	fusca	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
208980	Formica	sanguinea	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
219780	Gigantiops	destructor	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
1495095	Iberoformica	subrufa	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
219781	Lasius	alienus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
67765	Lasius	spathepus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
67763	Lasius	flavus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
231986	Lasius	fuliginosus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
111072	Lasius	neglectus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
67767	Lasius	niger	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
610787	Lepisiota	rothneyi	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
271140	Myrmecocystus	mendax	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
612981	Myrmoteras	binghamii	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
613905	Nylanderia	fulva	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
84561	Oecophylla	smaragdina	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
262035	Paratrechina	longicornis	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
72798	Plagiolepis	pygmaea	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
111115	Polyrhachis	illaudata	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
621697	Proformica	mongolica	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
621792	Pseudolasius	similus	Formicidae	long_list	in_progress		GAGA	GAGA	GAGA	GAGA				GAGA	
