species	phylum/class/family	kingdom	source	ncbi_taxon_id	proposed_sequencing_centre	target_list_status	sequencing_status	goat_stimated_genome_size_gb	phase	notes	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Acomys minous	MAMMALS/Muridae	Metazoa	Greece_NHMC	83528	Genoscope	other_priority	sample_acquired	2.580	1A		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP	GREECE-HSP							
Carabus banonii	INSECTS/Coleoptera	Metazoa	Greece_NHMC	3023605	Genoscope	other_priority	sample_acquired	274	1A		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP	GREECE-HSP							
Dendarus foraminosus	INSECTS/Coleoptera	Metazoa	Greece_NHMC	2712997	Genoscope	other_priority	sample_acquired	416	1A		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP	GREECE-HSP							
Scolopendra cretica	CHILOPODA/Scolopendromorpha	Metazoa	Greece_NHMC	1146903	Genoscope	other_priority	sample_acquired	293	1A		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP	GREECE-HSP							
Zelkova abelicea	PLANTS/Ulmaceae	Plantae	Greece_NHMC	160988	Genoscope	other_priority	sample_acquired	1.320	1A		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP	GREECE-HSP							
Arca noae	Mollusca	Metazoa	Greece_HCMR	44597	Genoscope	other_priority	sample_collected	1	1Β		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Pinctada radiata	Mollusca	Metazoa	Greece_HCMR	112209	Genoscope	other_priority	sample_collected	1	1Β		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Diadema setosum	Echinoderma	Metazoa	Greece_HCMR	31175	Genoscope	other_priority	sample_collected	1	1Β		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Cymodocea nodosa	Angiosperma	Plantae	Greece_HCMR	55448	???	other_priority	sample_collected	0.25	TBD		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Axinella cannabina	Porifera	Metazoa	Greece_HCMR	798305	???	other_priority	sample_collected	0.3	TBD		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Portunus segnis	Arthropoda	Metazoa	Greece_HCMR	470445	???	other_priority	sample_collected	1	TBD		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Percnon gibbesi	Arthropoda	Metazoa	Greece_HCMR	84658	???	other_priority	sample_collected	1.3	TBD		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Holothuria tubulosa	Echinoderma	Metazoa	Greece_HCMR	7685	???	other_priority	sample_collected	1.2	TBD		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Holothuria sanctori	Echinoderma	Metazoa	Greece_HCMR	491806	???	other_priority	sample_collected	1.2	TBD		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
Schizoporella errata	Bryozoa	Metazoa	Greece_HCMR	544679	???	other_priority	sample_collected	0.6	TBD		GREECE-HSP	GREECE-HSP		GREECE-HSP	GREECE-HSP								
