species	paper	ncbi_insdc_bioproject	ngdc_cncb_bioproject	sequencing_status	project	order
Pongo pygmaeus	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Nomascus siki	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Symphalangus syndactylus	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Hoolock leuconedys	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Hylobates pileatus	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Macaca assamensis	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Macaca silenus	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Papio hamadryas	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Lophocebus aterrimus	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Mandrillus sphinx	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Cercopithecus albogularis	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Chlorocebus aethiops	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Erythrocebus patas	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Trachypithecus crepusculus	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Pygathrix nigripes	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Rhinopithecus strykeri	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Colobus guereza	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Saguinus midas	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Sapajus apella	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Cebus albifrons	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Ateles geoffroyi	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Pithecia pithecia	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Cephalopachus bancanus	Phylogenomic analyses provide insights into primate evolution	PRJNA911016		insdc_open	PRGP	Primates
Daubentonia madagascariensis	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Loris tardigradus	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Nycticebus bengalensis	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Galago moholi	Phylogenomic analyses provide insights into primate evolution	PRJNA785018		insdc_open	PRGP	Primates
Macaca arctoides	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
Macaca thibetana	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
Macaca fascicularis	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
Macaca fuscata	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
Macaca leonina	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
Macaca nigra	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
Macaca tonkeana	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
Macaca sylvanus	Comparative genomics reveals the hybrid origin of a macaque group		PRJCA007326	open	PRGP	Primates
