superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Afrotheria	Proboscidea	Elephas maximus indicus	open	VGP	Collosal	Chordata	VGP	VGP	VGP	VGP	VGP		
Afrotheria	Proboscidea	Loxodonta africana		Collosal	VGP	Chordata	VGP						
Afrotheria	Hyracoidea	Heterohyrax brucei	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Afrotheria	Sirenia	Dugong dugon	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Afrotheria	Macroscelidea	Rhynchocyon cirnei	in_progress			Chordata	VGP	VGP	VGP	VGP			
Afrotheria	Afrosoricida (Tenrecidae)	Microgale cowani	in_progress			Chordata	VGP	VGP	VGP	VGP			
Afrotheria	Afrosoricida (Chrysochloridae)	Amblysomus hottentotus				Chordata	VGP						
Afrotheria	Tubulidentata	Orycteropus afer				Chordata	VGP						
Xenarthra	Pilosa (Vermilingua)	Tamandua tetradactyla	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Xenarthra	Pilosa (Folivora)	Choloepus didactylus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Xenarthra	Cingulata	Dasypus novemcinctus	open	VGP	BRAIN	Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Homo sapiens	open	VGP	HPRC	Chordata	VGP	VGP	VGP	VGP	VGP		
		Homo sapiens		VGP	HPRC	Chordata	VGP						
		Homo sapiens		T2T		Chordata	VGP						
		Homo sapiens		HPRC		Chordata	VGP						
		Homo sapiens		HPRC		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Pan troglodytes		T2T		Chordata	VGP						
		Pan troglodytes		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Pan paniscus		T2T		Chordata	VGP						
		Pan paniscus		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Gorrila gorrila		T2T		Chordata	VGP						
		Gorrila gorrila		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Pongo abelii 		T2T		Chordata	VGP						
		Pongo abelii 		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Pongo pygmaeus		T2T		Chordata	VGP						
		Pongo pygmaeus		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Symphalangus syndactylus		T2T		Chordata	VGP						
		Symphalangus syndactylus		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Platyrrhines)	Callithrix jacchus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
		Callithrix jacchus		VGP		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Tarsiiformes)	Carlito syrichta				Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Lorisoidea)	Nycticebus coucang	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Primates (Lemuroidea)	Lemur catta	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Dermoptera	Cynocephalus volans	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Erethizontidae Porcupines)	Erethizon dorsatum	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Ctenodactylidae)	Ctenodactylus gundi	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Gliridae)	Muscardinus avellanarius	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Sciuridae)	Sciurus vulgaris	open	Sanger 25G		Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Sciuridae)	Sciurus carolinensis 		Sanger 25G		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Aplodontiidae)	Aplodontia rufa				Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Acomys)	Acomys russatus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Apodemus)	Apodemus sylvaticus		DToL		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Apodemus)	Apodemus flavicollis		DToL		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Arvicanthis)	Arvicanthis niloticus		VGP		Chordata	VGP						
		Arvicanthis niloticus				Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Murinae)	Rattus norvegicus		DToL		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Cricetidae)	Onychomys torridus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Cricetidae)	Arvicola amphibius		Sanger 25G		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Dipodidae)	Jaculus jaculus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
		Jaculus jaculus				Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Anomaluridae)	Anomalurus beecrofti				Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Pedetidae)	Pedetes capensis		AfricaBP	VGP	Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Geomyoidea)	Thomomys bottae	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Castoridae)	Castor canadensis				Chordata	VGP						
Supraprimates (Euarchontoglires)	Lagomorpha (Leporidae)	Oryctolagus cuniculus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Lagomorpha (Ochotonidae)	Ochotona princeps	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Scandentia (Tupaiidae)	Tupaia tana	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Scandentia (Ptilocercidae)	Ptilocercus lowii				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Phocoenidae)	Phocoena sinus	open	VGP	Cetacean GP	Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Cetartiodactyla (Cetacea, Delphinidae)	Tursiops truncatus		VGP	Cetacean GP	Chordata	VGP						
		Tursiops truncatus				Chordata	VGP						
