ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	synonym	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
9622	Lycaon pictus		Canidae	long_list	in_assembly		YGG	YGG			YGG	YGG	YGG		YGG				
161592	Syngnathus typhle		Syngnathidae	other_priority	in_assembly		YGG	YGG		YGG	YGG	YGG	YGG		YGG				
206126	Spinachia spinachia		Gasterosteidae	other_priority	in_assembly		YGG	YGG		YGG	YGG	YGG	YGG		YGG				
321072	Polyboroides typus		Accipitridae	other_priority	in_assembly		YGG	YGG		YGG	YGG	YGG	YGG		YGG				
504327	Emberiza tahapisi		Emberizidae	other_priority	in_assembly	Fringillaria tahapisi	YGG	YGG		YGG	YGG	YGG	YGG		YGG				
30532	Dama dama		Cervidae	other_priority	in_assembly		YGG	YGG		YGG	YGG	YGG	YGG		YGG				
9615	Canis lupus	familiaris	Canidae	other_priority	in_assembly		YGG	YGG		YGG	YGG	YGG	YGG		YGG				
407818	Stegodyphus africanus		Eresidae	other_priority	in_assembly		YGG	YGG		YGG	YGG	YGG	YGG		YGG				
190660	Aechmophorus clarkii		Podicipedidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
345573	Podiceps cristatus		Podicipedidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
304662	Oreotrochilus chimborazo		Trochilidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
689208	Chalcostigma stanleyi		Trochilidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
86267	Cranioleuca antisiensis		Furnariidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
279547	Cinclodes excelsior		Furnariidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
62261	Xenodacnis parina		Thraupidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
66406	Metallura baroni		Trochilidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
311354	Turdus fuscater		Turdidae	other_priority	data_generation		YGG	YGG		YGG	YGG	YGG	YGG	YGG					
