Set	Species	Common Name	Order	Biosample	long_list	family_representative	other_priority	sequencing_status	sample_collected	sample_acquired	in_progress	insdc_open	published	publication_ID
A	Solenodon paradoxus	Hispaniolan solenodon	Eulipotyphla	SAMN07678062	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Crocidura indochinensis	Indochinese shrew	Eulipotyphla	SAMN07678044	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Scalopus aquaticus	Eastern mole	Eulipotyphla	SAMN07678045	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Uropsilus gracilis	Gracile shrew-like mole	Eulipotyphla	SAMN07678046	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Vulpes lagopus	Arctic fox	Carnivora	SAMN07678118	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Canis lupus familiaris	Domestic dog (village dog)	Carnivora	SAMN07678141	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Cryptoprocta ferox	Fossa	Carnivora	SAMN07678074	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Felis nigripes	Black-footed cat	Carnivora	SAMN07678084	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Panthera onca	Jaguar	Carnivora	SAMN07678103	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Helogale parvula	Dwarf mongoose	Carnivora	SAMN07678086	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Suricata suricatta	Meerkat	Carnivora	SAMN07678040	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Mungos mungo	South African banded mongoose	Carnivora	SAMN07678097	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Hyaena hyaena	Striped hyena	Carnivora	SAMN07678047	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Spilogale gracilis	Western spotted skunk	Carnivora	SAMN07678050	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Pteronura brasiliensis	Giant otter	Carnivora	SAMN07678049	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Mellivora capensis	Honey badger	Carnivora	SAMN07678094	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Zalophus californianus	California sea lion	Carnivora	SAMN07678053	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Mirounga angustirostris	Northern elephant seal	Carnivora	SAMN07678016	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
