taxon_id	input	rank	suggested
	Flectonema	species	leptonema	sectonema	nectonema
2508218	Namystinia karyoxenos	species	Namystynia karyoxenos
2917776	Bazinga rieki	species	Bazinga reiki
	Dichotomia	species	dichotoma	dichotomus
	Haplodiscus	species	haploniscus	hyphodiscus	hyalodiscus
	Pyrosoma ovatum	species	lygosoma ornatum
879318	Diacarnus erythraenus	species	Diacarnus erythraeanus
	Dysteria	species	gasteria	drasteria
159163	Stentor polymorphous	species	Stentor polymorphus
2736420	Laminatubus joycebrooksi	species	Laminatubus joycebrooksae
644278	Paralvinella sulfinicola	species	Paralvinella sulfincola
13208	Phragmatopoma california	species	Phragmatopoma californica
243080	Sepidarium kochi	species	Sepiadarium kochi
2518962	Breviolum psygmophilum1	species	Breviolum psygmophilum
1381693	Durusdinium trenchii1	species	Durusdinium trenchii
242721	Mussismilia brasiliensis	species	Mussismilia braziliensis
130080	Oculina patagonia	species	Oculina patagonica
644161	Verrucaria dirmarsica	species	Verrucaria ditmarsica
