scientific_name	tax_id	long_list
Epithemia catena		ASG
Epithemia pelagica		ASG
Flectonema		ASG
Namystinia karyoxenos		ASG
Bazinga rieki		ASG
Dichotomia		ASG
Haplodiscus		ASG
Haplodiscus		ASG
Malo maxima		ASG
Netrostoma setouchianum		ASG
Pyrosoma aherniosum		ASG
Pyrosoma ovatum		ASG
Thysanostoma loriferum		ASG
Asconema foliata		ASG
Cymbaxinella damicornis		ASG
Diacarnus erythraenus		ASG
Haliclona vansoesti.		ASG
Stentor introversus		ASG
Dysteria		ASG
Euplotes uncinatus		ASG
Metopus halophila		ASG
Metopus nivaaensis		ASG
Stentor polymorphous		ASG
Uroleptus willii		ASG
Vorticella chlorellata		ASG
Laminatubus joycebrooksi		ASG
Meganerilla bactericola		ASG
Paralvinella sulfinicola		ASG
Phragmatopoma california		ASG
Phyllidia flava		ASG
Sepidarium kochi		ASG
Breviolum psygmophilum1		ASG
Durusdinium trenchii1		ASG
Mussismilia brasiliensis		ASG
Oculina patagonia		ASG
Orbicella arbuscula		ASG
Verrucaria dirmarsica		ASG
