ncbi_taxon_id	species	family	target_list_status	sequencing_status	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
	Neoechinorhynchus rutili	Neoechinorhynchidae	long_list		ATLASEA	ATLASEA											
	Acanthocephaloides geneticus	Arhythmacanthidae	long_list		ATLASEA	ATLASEA											
	Breizacanthus chabaudi	Arhythmacanthidae	long_list		ATLASEA	ATLASEA											
	Euzetacanthus simplex	Arhythmacanthidae	long_list		ATLASEA	ATLASEA											
	Paracanthocephaloides incrassatus	Arhythmacanthidae	long_list		ATLASEA	ATLASEA											
	Echinorhynchus armoricanus	Echinorhynchidae	long_list		ATLASEA	ATLASEA											
	Echinorhynchus calloti	Echinorhynchidae	long_list		ATLASEA	ATLASEA											
	Echinorhynchus rhenanus	Echinorhynchidae	long_list		ATLASEA	ATLASEA											
	Solearhynchus rhytidotes	Echinorhynchidae	long_list		ATLASEA	ATLASEA											
	Harpagorhynchus golvaneuzeti	Echinorhynchidae	long_list		ATLASEA	ATLASEA											
	Arhythmorhynchus longicollis	Polymorphidae	long_list		ATLASEA	ATLASEA											
	Aeolosoma maritimum	Aeolosomatidae	long_list		ATLASEA	ATLASEA											
	Marionina elongata	Enchytraeidae	long_list		ATLASEA	ATLASEA											
	Marionina mesopsamma	Enchytraeidae	long_list		ATLASEA	ATLASEA											
	Marionina weilli	Enchytraeidae	long_list		ATLASEA	ATLASEA											
	Atlantidrilus biparis	Naididae	long_list		ATLASEA	ATLASEA											
	Atlantidrilus vulnus	Naididae	long_list		ATLASEA	ATLASEA											
	Bathydrilus desbruyeresi	Naididae	long_list		ATLASEA	ATLASEA											
	Gianius cristolatus	Naididae	long_list		ATLASEA	ATLASEA											
	Pirodrilus pinguis	Naididae	long_list		ATLASEA	ATLASEA											
	Heterodrilus maiusculus	Naididae	long_list		ATLASEA	ATLASEA											
	Rhyacodrilus arenivorus	Naididae	long_list		ATLASEA	ATLASEA											
	Trachelobdella alcibiades	Piscicolidae	long_list		ATLASEA	ATLASEA											
	Mysidobdella borealis	Piscicolidae	long_list		ATLASEA	ATLASEA											
	Diurodrilus benazzii	Diurodrilidae	long_list		ATLASEA	ATLASEA											
	Diurodrilus dohrni	Diurodrilidae	long_list		ATLASEA	ATLASEA											
	Myzostoma pluvinar	Myzostomatidae	long_list		ATLASEA	ATLASEA											
	Aberranta banyulensis	Aberrantidae	long_list		ATLASEA	ATLASEA											
	Chloeia venusta	Amphinomidae	long_list		ATLASEA	ATLASEA											
	Notopygos megalops	Amphinomidae	long_list		ATLASEA	ATLASEA											
	Euphrosine cirrataepropinqua	Euphrosinidae	long_list		ATLASEA	ATLASEA											
	Leiocapitella dollfusi	Capitellidae	long_list		ATLASEA	ATLASEA											
	Leiochrides australis	Capitellidae	long_list		ATLASEA	ATLASEA											
	Notomastus exsertilis	Capitellidae	long_list		ATLASEA	ATLASEA											
	Notomastus lineatus	Capitellidae	long_list		ATLASEA	ATLASEA											
	Notomastus mossambicus	Capitellidae	long_list		ATLASEA	ATLASEA											
	Pseudocapitella incerta	Capitellidae	long_list		ATLASEA	ATLASEA											
	Alomasoma nordpacificum	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Bonellia plumosa	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Bonellia pumicea	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Bonelliopsis minutus	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Bruunellia bandae	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Charcotus charcotus	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Choanostomellia filatovae	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Eubonellia longistomum	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Eubonellia noratlanticum	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Jakobia similaris	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Nellobia eusoma	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Sluiterina vitjazi	Bonelliidae	long_list		ATLASEA	ATLASEA											
	Thalassema elapsum	Echiuridae	long_list		ATLASEA	ATLASEA											
	Thalassema ovatum	Echiuridae	long_list		ATLASEA	ATLASEA											
	Arhynchite arhynchite	Thalassematidae	long_list		ATLASEA	ATLASEA											
	Dorvillea roemeri	Dorvilleidae	long_list		ATLASEA	ATLASEA											
	Pettiboneia sanmartini	Dorvilleidae	long_list		ATLASEA	ATLASEA											
	Eunice heterochaeta	Eunicidae	long_list		ATLASEA	ATLASEA											
	Eunice schizobranchia	Eunicidae	long_list		ATLASEA	ATLASEA											
	Leodice laurillardi	Eunicidae	long_list		ATLASEA	ATLASEA											
	Lysidice torquata	Eunicidae	long_list		ATLASEA	ATLASEA											
	Paucibranchia kinbergi	Eunicidae	long_list		ATLASEA	ATLASEA											
	Augeneria riojai	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Eranno bifrons	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Gallardoneris nonatoi	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Helmutneris flabellicola	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrinerides acuta	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrinerides laubieri	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrinerides neogesae	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrineriopsis gasconiensis	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrineris acutifrons	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrineris humilis	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrineris obscura	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Lumbrineris pectinifera	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Ninoe kinbergi	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Paraninoe brevipes	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Paraninoe fusca	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Paraninoe minuta	Lumbrineridae	long_list		ATLASEA	ATLASEA											
	Aenone lithophaga	Oenonidae	long_list		ATLASEA	ATLASEA											
	Arabella longicirrata	Oenonidae	long_list		ATLASEA	ATLASEA											
	Halla parthenopeia	Oenonidae	long_list		ATLASEA	ATLASEA											
	Hyalinoecia fauveli	Onuphidae	long_list		ATLASEA	ATLASEA											
	Aponuphis willsiei	Onuphidae	long_list		ATLASEA	ATLASEA											
	Longibrachium atlanticum	Onuphidae	long_list		ATLASEA	ATLASEA											
	Paradiopatra calliopae	Onuphidae	long_list		ATLASEA	ATLASEA											
	Paradiopatra hispanica	Onuphidae	long_list		ATLASEA	ATLASEA											
	Paradiopatra lepta	Onuphidae	long_list		ATLASEA	ATLASEA											
	Rhamphobrachium (Spinigerium) brevibrachiatum	Onuphidae	long_list		ATLASEA	ATLASEA											
	Microclymene acirrata	Maldanidae	long_list		ATLASEA	ATLASEA											
	Clymene truncata	Maldanidae	long_list		ATLASEA	ATLASEA											
	Clymene uranthus	Maldanidae	long_list		ATLASEA	ATLASEA											
	Maldane cincta	Maldanidae	long_list		ATLASEA	ATLASEA											
	Metasychis gotoi	Maldanidae	long_list		ATLASEA	ATLASEA											
	Nicomache (Loxochona) trispinata	Maldanidae	long_list		ATLASEA	ATLASEA											
	Ophelia amoureuxi	Opheliidae	long_list		ATLASEA	ATLASEA											
	Ophelia barquii	Opheliidae	long_list		ATLASEA	ATLASEA											
	Ophelia denticulata	Opheliidae	long_list		ATLASEA	ATLASEA											
	Ophelia radiata	Opheliidae	long_list		ATLASEA	ATLASEA											
	Leitoscoloplos kerguelensis	Orbiniidae	long_list		ATLASEA	ATLASEA											
	Aricidea annae	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Acmira) assimilis	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Acmira) catherinae	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Acmira) cerrutii	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Acmira) lopezi	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Acmira) simonae	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Aricidea) capensis	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Aricidea) fragilis	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Aricidea) minuta	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) antennata	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) bifurcata	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) claudiae	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) longisetosa	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) maialenae	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) mirunekoa	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) monicae	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) nekanae	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) sardai	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea (Strelzovia) suecica	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea neosuecica	Paraonidae	long_list		ATLASEA	ATLASEA											
	Aricidea tetrabranchia	Paraonidae	long_list		ATLASEA	ATLASEA											
	Levinsenia uncinata	Paraonidae	long_list		ATLASEA	ATLASEA											
	Paradoneis abranchiata	Paraonidae	long_list		ATLASEA	ATLASEA											
	Paradoneis bathyilvana	Paraonidae	long_list		ATLASEA	ATLASEA											
	Paradoneis drachi	Paraonidae	long_list		ATLASEA	ATLASEA											
	Paradoneis mikeli	Paraonidae	long_list		ATLASEA	ATLASEA											
	Paraonides neapolitana	Paraonidae	long_list		ATLASEA	ATLASEA											
	Paraonides rubriceps	Paraonidae	long_list		ATLASEA	ATLASEA											
	Eupanthalis kinbergi	Acoetidae	long_list		ATLASEA	ATLASEA											
	Plotohelmis tenuis	Alciopidae	long_list		ATLASEA	ATLASEA											
	Pontogenia chrysocoma	Aphroditidae	long_list		ATLASEA	ATLASEA											
	Goniada minuscula	Goniadidae	long_list		ATLASEA	ATLASEA											
	Goniadella galaica	Goniadidae	long_list		ATLASEA	ATLASEA											
	Dalhousia atlantica	Hesionidae	long_list		ATLASEA	ATLASEA											
	Hesione splendida	Hesionidae	long_list		ATLASEA	ATLASEA											
	Hesione steenstrupii	Hesionidae	long_list		ATLASEA	ATLASEA											
	Hesionides gohari	Hesionidae	long_list		ATLASEA	ATLASEA											
	Microphthalmus pseudoaberrans	Hesionidae	long_list		ATLASEA	ATLASEA											
	Podarkeopsis galangaui	Hesionidae	long_list		ATLASEA	ATLASEA											
	Lopadorrhynchus uncinatus	Lopadorrhynchidae	long_list		ATLASEA	ATLASEA											
	Nephtys cuvieri	Nephtyidae	long_list		ATLASEA	ATLASEA											
	Ceratonereis anoculata	Nereididae	long_list		ATLASEA	ATLASEA											
	Ceratonereis fallax	Nereididae	long_list		ATLASEA	ATLASEA											
	Ceratonereis hircinicola	Nereididae	long_list		ATLASEA	ATLASEA											
	Heteronereis venusta	Nereididae	long_list		ATLASEA	ATLASEA											
	Neanthes agulhana	Nereididae	long_list		ATLASEA	ATLASEA											
	Neanthes kerguelenensis	Nereididae	long_list		ATLASEA	ATLASEA											
	Nereis jacksoni	Nereididae	long_list		ATLASEA	ATLASEA											
	Nereis lamellosa	Nereididae	long_list		ATLASEA	ATLASEA											
	Nereis microcera	Nereididae	long_list		ATLASEA	ATLASEA											
	Nereis minima	Nereididae	long_list		ATLASEA	ATLASEA											
	Nereis translucens	Nereididae	long_list		ATLASEA	ATLASEA											
	Nereis ventilabrum	Nereididae	long_list		ATLASEA	ATLASEA											
	Perinereis macropus	Nereididae	long_list		ATLASEA	ATLASEA											
	Eulalia anoculata	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Eulalia fuscescens	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Eulalia parva	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Eulalia rubiginosa	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Hesionura coineaui	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Hesionura mystidoides	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Protomystides bilineata	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Eunomia tympana	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Eunomia viridissima	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Hypocirrus lineatus	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Lugia pterophora	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce bimaculata	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce breviremis	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce bruneoviridis	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce geoffroyi	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce impostii	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce megareme	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce modesta	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce pellucida	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Phyllodoce rathkei	Phyllodocidae	long_list		ATLASEA	ATLASEA											
	Alentiana aurantiaca	Polynoidae	long_list		ATLASEA	ATLASEA											
	Lepidonotus brevicornis	Polynoidae	long_list		ATLASEA	ATLASEA											
	Eunoe hubrechti	Polynoidae	long_list		ATLASEA	ATLASEA											
	Harmothoe johnstoni	Polynoidae	long_list		ATLASEA	ATLASEA											
	Harmothoe picta	Polynoidae	long_list		ATLASEA	ATLASEA											
	Harmothoe synaptae	Polynoidae	long_list		ATLASEA	ATLASEA											
	Malmgrenia arenicolae	Polynoidae	long_list		ATLASEA	ATLASEA											
	Malmgrenia lilianae	Polynoidae	long_list		ATLASEA	ATLASEA											
	Malmgrenia louiseae	Polynoidae	long_list		ATLASEA	ATLASEA											
	Malmgrenia polypapillata	Polynoidae	long_list		ATLASEA	ATLASEA											
	Polynoe laevis	Polynoidae	long_list		ATLASEA	ATLASEA											
	Claparedepelogenia inclusa	Sigalionidae	long_list		ATLASEA	ATLASEA											
	Clavodorum fauchaldi	Sphaerodoridae	long_list		ATLASEA	ATLASEA											
	Ephesiella ramosae	Sphaerodoridae	long_list		ATLASEA	ATLASEA											
	Sphaerodoropsis laureci	Sphaerodoridae	long_list		ATLASEA	ATLASEA											
	Sphaerodoropsis longipapillata	Sphaerodoridae	long_list		ATLASEA	ATLASEA											
	Sphaerodoropsis parva	Sphaerodoridae	long_list		ATLASEA	ATLASEA											
	Sphaerodoropsis stellifer	Sphaerodoridae	long_list		ATLASEA	ATLASEA											
	Streptosyllis arenae	Syllidae	long_list		ATLASEA	ATLASEA											
	Streptosyllis campoyi	Syllidae	long_list		ATLASEA	ATLASEA											
	Neopetitia amphophthalma	Syllidae	long_list		ATLASEA	ATLASEA											
	Odontosyllis dugesiana	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone acerata	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone brevipes	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone canyonincolae	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone furcigera	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone (Exogone) fauveli	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone (Exogone) lopezi	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone martinsi	Syllidae	long_list		ATLASEA	ATLASEA											
	Exogone torulosa	Syllidae	long_list		ATLASEA	ATLASEA											
	Grubea protandrica	Syllidae	long_list		ATLASEA	ATLASEA											
	Parexogone meridionalis	Syllidae	long_list		ATLASEA	ATLASEA											
	Parexogone wolfi	Syllidae	long_list		ATLASEA	ATLASEA											
	Prosphaerosyllis giandoi	Syllidae	long_list		ATLASEA	ATLASEA											
	Prosphaerosyllis laubieri	Syllidae	long_list		ATLASEA	ATLASEA											
	Salvatoria tenuicirrata	Syllidae	long_list		ATLASEA	ATLASEA											
	Sphaerosyllis papillifera	Syllidae	long_list		ATLASEA	ATLASEA											
	Claparedia filigera	Syllidae	long_list		ATLASEA	ATLASEA											
	Heterosyllis brachiata	Syllidae	long_list		ATLASEA	ATLASEA											
	Palposyllis propeweismanni	Syllidae	long_list		ATLASEA	ATLASEA											
	Syllis atlantica	Syllidae	long_list		ATLASEA	ATLASEA											
	Syllis beneliahuae	Syllidae	long_list		ATLASEA	ATLASEA											
	Syllis torquata	Syllidae	long_list		ATLASEA	ATLASEA											
	Trypanosyllis (Trypanosyllis) coeliaca	Syllidae	long_list		ATLASEA	ATLASEA											
	Tomopteris anadyomene	Tomopteridae	long_list		ATLASEA	ATLASEA											
	Tomopteris (Johnstonella) helgolandica	Tomopteridae	long_list		ATLASEA	ATLASEA											
	Tomopteris (Johnstonella) pacifica	Tomopteridae	long_list		ATLASEA	ATLASEA											
	Tomopteris krampi	Tomopteridae	long_list		ATLASEA	ATLASEA											
	Tomopteris mariana	Tomopteridae	long_list		ATLASEA	ATLASEA											
	Tomopteris nationalis	Tomopteridae	long_list		ATLASEA	ATLASEA											
	Fabriciola ghardaqa	Fabriciidae	long_list		ATLASEA	ATLASEA											
	Pseudofabriciola analis	Fabriciidae	long_list		ATLASEA	ATLASEA											
	Phalacrostemma cidariophilum	Sabellariidae	long_list		ATLASEA	ATLASEA											
	Amphicorina armandi	Sabellidae	long_list		ATLASEA	ATLASEA											
	Amphicorina pectinata	Sabellidae	long_list		ATLASEA	ATLASEA											
	Bispira fabricii	Sabellidae	long_list		ATLASEA	ATLASEA											
	Desdemona ornata	Sabellidae	long_list		ATLASEA	ATLASEA											
	Dialychone arenicola	Sabellidae	long_list		ATLASEA	ATLASEA											
	Dialychone dunerificta	Sabellidae	long_list		ATLASEA	ATLASEA											
	Euchone anceps	Sabellidae	long_list		ATLASEA	ATLASEA											
	Euchone limnicola	Sabellidae	long_list		ATLASEA	ATLASEA											
	Euratella salmacidis	Sabellidae	long_list		ATLASEA	ATLASEA											
	Hypsicomus stichophthalmos	Sabellidae	long_list		ATLASEA	ATLASEA											
	Notaulax phaeotaenia	Sabellidae	long_list		ATLASEA	ATLASEA											
	Potamethus malmgreni	Sabellidae	long_list		ATLASEA	ATLASEA											
	Pseudobranchiomma marmarensis	Sabellidae	long_list		ATLASEA	ATLASEA											
