	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
9	Abrornis pulchra		Buff-barred Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
10	Abrornis subviridis		Brooks's Leaf Warbler	Phylloscopidae		nan	nan	nan	nan	nan	B10K		
21	Acanthis yemenensis		Yemen Linnet	Fringillidae		nan	nan	nan	nan	nan	B10K		
83	Accipiter superciliosus	superciliosus	Tiny Hawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
84	Accipiter tachiro	toussenelii	African Goshawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
89	Achaetops pycnopygius	pycnopygius	Rockrunner	Macrosphenidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
107	Acrocephalus astrolabii		Gambier Islands Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
126	Acrocephalus nijoi		Aguijan Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
138	Acrocephalus scirpaceus	baeticatus	Common Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
152	Actenoides lindsayi	lindsayi	Spotted Kingfisher	Alcedinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
157	Actinodura sodangorum		Black-crowned Barwing	Leiothrichidae		nan	nan	nan	nan	nan	B10K		
161	Actophilornis albinucha		Madagascar Jacana	Jacanidae		nan	nan	nan	nan	nan	B10K		
178	Aegolius ridgwayi		Unspotted Saw-whet Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
179	Aegotheles affinis		Allied Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
186	Aegotheles salvadorii		Mountain Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
