taxon_id	input	rank	suggested
105628	Aethopyga magnifica	species	Astropyga magnifica
	Psophodidae	family	psychodidae	psophiidae
	Viduidae	family	sididae	mideidae
8845	Anser cygnoid	species	Anser cygnoides
	Remizidae	family	neminidae	zemiridae
1246550	Aphrastura masafucrae	species	Aphrastura masafuerae
	Promeropidae	family	proteropinae	procerodidae	eomeropidae
	Arremon phaeopleurus	species	buarremon phaeopleurus
65363	Atlapetes flaviceps	species	Atlapetes fulviceps
126189	Buphagidae	family	Euphaeidae
63910	Calyptomenidae	family	Clambidae
	Troglodytidae	family	troglodytinae
	Eupetidae	family	eupodidae	eupelmidae	cupedidae
	Chionidae	family	clionidae	chitonidae	chronidae
	Pipromorphidae	family	copromorphidae	mitromorphidae
9145	Corcorax melanoramphos	species	Corcorax melanorhamphos
2153416	Dicaeum nitidum	species	Puccinia nitida
357742	Dicrurus annectens	species	Dicrurus annectans
	Dulidae	family	julidae	dixidae
	Emberizidae	family	emberizinae
393704	Ficedula hodgsoni	species	Ficedula hodgsonii
	Mohouidae	family	mochokidae	mohoidae	momotidae
279657	Fringillaria affinis	species	Fritillaria affinis
3037775	Scleruridae	family	Scleracidae
2953476	Geotrygon carrikeri	species	Zentrygon carrikeri
39106	Glaucidium palmarum	species	Glaucidium palmatum
	Grallariidae	family	gracillariidae	galleriidae
9118	Grus carunculata	species	Grus carunculatus
	Ifritidae	family	figitidae	neritidae	poritidae
	Tityridae	family	mitridae	sisyridae	mictyridae
721887	Lanius borealis	species	Lanius dorsalis
33589	Leptoptilos crumenifer	species	Leptoptilos crumeniferus
156162	Megalampitta gigantea	species	Melampitta gigantea
177167	Megapodius forsteni	species	Megapodius forstenii
	Polioptilidae	family	polioptilinae
	Strigopidae	family	strigeidae	strigidae	triopidae
189527	Nicatoridae	family	Indicatoridae
	Oenanthe heuglinii	species	oenanthe heuglini
44144	Ophrysia superciliosa	species	Uranoscodon superciliosus
	Oriolidae	family	oripodidae	triozidae	arionidae
	Otus fuliginosus	species	lotus uliginosus
	Panuridae	family	neanuridae	paguridae	panorpidae
	Peucedramidae	family	peucedraminae
1226242	Piezorina cinerea	species	Piezorhina cinerea
	Pipritidae	family	poritidae	pipridae	porpitidae
30850	Pluvianidae	family	Lutjanidae
329508	Pseudocolaptes boissonneauii	species	Pseudocolaptes boissonneautii
583363	Ptiliogonys caudatus	species	Ptilogonys caudatus
254654	Ptiliogonys cinereus	species	Ptilogonys cinereus
207705	Rhaphidura leucopygialis	species	Raphidura leucopygialis
237714	Sapayoidae	family	Sapygidae
186079	Sarothruridae	family	Jacobsoniidae
388994	Scleroptila streptophora	species	Scleroptila streptophorus
274628	Seicercus emeiensis	species	Phylloscopus omeiensis
1226211	Sicalis uropigyalis	species	Sicalis uropygialis
988065	Sporophila funerea	species	Aporophyla nigra
476438	Sylviorthorhynchus desmurii	species	Sylviorthorhynchus desmursii
240730	Tricholaema lacrymosa	species	Tricholaema lachrymosa
316358	Trogon caligatus	species	Jaydia carinatus
352469	Pardilaparus venustulus	species	Pardaliparus venustulus
247537	Granatinia ianthinogaster	species	Granatina ianthinogaster
317158	Cercropis daurica	species	Cecropis daurica
692106	Amalocichla inserta	species	Amalocichla incerta
201343	Malacopteron cinerum	species	Malacopteron cinereum
	Setophaga coronata audoboni	species	setophaga coronata auduboni
3044214	Eurocephalus rueppelli	species	Eurocephalus ruppelli
288048	Phlegopsis erythoptera	species	Phlegopsis erythroptera
247660	Estrilda quartina	species	Coccopygia quartinia
	Ceratopipra erythocephala	species	ceratopipra erythrocephala
1094390	Certhiasomus stictolaema	species	Certhiasomus stictolaemus
	Tickellia	species	brickellia	mickelia
	Rhamphocorys	species	ramphocoris	rhamphocoris
62234	Phaenicophilus palmarun	species	Phaenicophilus palmarum
