	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
7	Abrornis proregulus	proregulus	Pallas's Leaf Warbler	Phylloscopidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
9	Abrornis pulchra		Buff-barred Warbler	Phylloscopidae							B10K		
10	Abrornis subviridis		Brooks's Leaf Warbler	Phylloscopidae							B10K		
21	Acanthis yemenensis		Yemen Linnet	Fringillidae							B10K		
83	Accipiter superciliosus	superciliosus	Tiny Hawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
84	Accipiter tachiro	toussenelii	African Goshawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
89	Achaetops pycnopygius	pycnopygius	Rockrunner	Macrosphenidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
102	Acrocephalus aequinoctialis		Kiritimati Warbler	Acrocephalidae							B10K		
103	Acrocephalus agricola		Paddyfield Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
104	Acrocephalus arundinaceus		Great Reed Warbler	Acrocephalidae	Phase Family	B10K	B10K	B10K		in_progress	B10K		B10K
105	Acrocephalus arundinaceus		Great Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
106	Acrocephalus arundinaceus	zarudnyi	Great Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
107	Acrocephalus astrolabii		Gambier Islands Warbler	Acrocephalidae							B10K		
108	Acrocephalus atyphus		Tuamotu Warbler	Acrocephalidae							B10K		
109	Acrocephalus australis		Australian Reed Warbler	Acrocephalidae							B10K		
110	Acrocephalus bistrigiceps		Black-browed Reed Warbler	Acrocephalidae							B10K		
111	Acrocephalus brevipennis		Cape Verde Warbler	Acrocephalidae							B10K		
112	Acrocephalus caffer		Tahiti Warbler	Acrocephalidae							B10K		
113	Acrocephalus concinens		Blunt-winged Warbler	Acrocephalidae							B10K		
114	Acrocephalus dumetorum		Blyth's Reed Warbler	Acrocephalidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
115	Acrocephalus familiaris		Millerbird	Acrocephalidae							B10K		
116	Acrocephalus gracilirostris		Lesser Swamp Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
117	Acrocephalus griseldis		Basra Reed Warbler	Acrocephalidae							B10K		
118	Acrocephalus hiwae		Hiwai's Warbler	Acrocephalidae							B10K		
119	Acrocephalus kerearako		Cook Islands Warbler	Acrocephalidae							B10K		
120	Acrocephalus longirostris		Mo'orea Warbler	Acrocephalidae							B10K		
121	Acrocephalus luscinius		Guam Warbler	Acrocephalidae							B10K		
122	Acrocephalus melanopogon		Moustached Warbler	Acrocephalidae		B10K				sample_collected	B10K		
123	Acrocephalus mendanae		Southern Marquesan Warbler	Acrocephalidae							B10K		
124	Acrocephalus musae		Forster's Warbler	Acrocephalidae							B10K		
125	Acrocephalus newtoni		Madagascar Swamp Warbler	Acrocephalidae							B10K		
126	Acrocephalus nijoi		Aguijan Warbler	Acrocephalidae							B10K		
127	Acrocephalus orientalis		Oriental Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
128	Acrocephalus orinus		Large-billed Reed Warbler	Acrocephalidae							B10K		
129	Acrocephalus paludicola		Aquatic Warbler	Acrocephalidae							B10K		
130	Acrocephalus palustris		Marsh Warbler	Acrocephalidae		B10K	B10K	B10K		in_progress	B10K		
131	Acrocephalus percernis		Northern Marquesan Warbler	Acrocephalidae							B10K		
132	Acrocephalus rehsei		Nauru Warbler	Acrocephalidae							B10K		
133	Acrocephalus rimitarae		Rimatara Warbler	Acrocephalidae							B10K		
134	Acrocephalus rodericanus		Rodrigues Warbler	Acrocephalidae							B10K		
135	Acrocephalus rufescens		Greater Swamp Warbler	Acrocephalidae							B10K		
136	Acrocephalus schoenobaenus		Sedge Warbler	Acrocephalidae		B10K	B10K	B10K		in_progress	B10K		
137	Acrocephalus scirpaceus	scirpaceus	Common Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
138	Acrocephalus scirpaceus	baeticatus	Common Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
139	Acrocephalus sechellensis		Seychelles Warbler	Acrocephalidae							B10K		
140	Acrocephalus sorghophilus		Streaked Reed Warbler	Acrocephalidae							B10K		
141	Acrocephalus stentoreus		Clamorous Reed Warbler	Acrocephalidae							B10K		
142	Acrocephalus syrinx		Caroline Islands Warbler	Acrocephalidae							B10K		
143	Acrocephalus taiti		Henderson Island Warbler	Acrocephalidae							B10K		
144	Acrocephalus tangorum		Manchurian Reed Warbler	Acrocephalidae							B10K		
145	Acrocephalus vaughani		Pitcairn Island Warbler	Acrocephalidae							B10K		
146	Acrocephalus yamashinae		Pagan Warbler	Acrocephalidae							B10K		
152	Actenoides lindsayi	lindsayi	Spotted Kingfisher	Alcedinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
171	Aegithina lafresnayei		Great Iora	Aegithinidae							B10K		
172	Aegithina nigrolutea		Marshall's Iora	Aegithinidae							B10K		
173	Aegithina tiphia		Common Iora	Aegithinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
174	Aegithina viridissima		Green Iora	Aegithinidae							B10K		
193	Aerodramus amelis		Ameline Swiftlet	Apodidae							B10K		
200	Aerodramus infuscatus		Moluccan Swiftlet	Apodidae							B10K		
201	Aerodramus inquietus		Caroline Swiftlet	Apodidae							B10K		
205	Aerodramus nuditarsus		Bare-legged Swiftlet	Apodidae							B10K		
207	Aerodramus orientalis		Mayr's Swiftlet	Apodidae							B10K		
209	Aerodramus pelewensis		Palau Swiftlet	Apodidae							B10K		
213	Aerodramus unicolor		Indian Swiftlet	Apodidae							B10K		
216	Aeronautes andecolus	andecolus	Andean Swift	Apodidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
217	Aeronautes montivagus		White-tipped Swift	Apodidae							B10K		
218	Aeronautes saxatalis	saxatalis	White-throated Swift	Apodidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
223	Aethopyga bella		Handsome Sunbird	Nectariniidae							B10K		
226	Aethopyga decorosa		McGregor's Sunbird	Nectariniidae							B10K		
228	Aethopyga eximia		White-flanked Sunbird	Nectariniidae							B10K		
231	Aethopyga guimarasensis		Ilongo Sunbird	Nectariniidae							B10K		
232	Aethopyga ignicauda	flavescens	Fire-tailed Sunbird	Nectariniidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
233	Aethopyga jefferyi		Jeffery's Sunbird	Nectariniidae							B10K		
235	Aethopyga magnifica		Magnificent Sunbird	Nectariniidae							B10K		
236	Aethopyga mystacalis		Javan Sunbird	Nectariniidae							B10K		
244	Aethopyga vigorsii		Vigors's Sunbird	Nectariniidae							B10K		
261	Agelaius assimilis		Red-shouldered Blackbird	Icteridae							B10K		
270	Agelasticus thilius	petersii	Yellow-winged Blackbird	Icteridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
282	Agriornis micropterus	andecola	Gray-bellied Shrike Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
283	Agriornis montanus	montanus	Black-billed Shrike Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
295	Akialoa lanaiensis		Lanai Akialoa	Fringillidae							B10K		
301	Alaemon hamertoni		Lesser Hoopoe Lark	Alaudidae							B10K		
312	Alaudala somalica		Somali Short-toed Lark	Alaudidae							B10K		
346	Alethe diademata	castanea	White-tailed Alethe	Muscicapidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
354	Alopecoenas canifrons		Palau Ground Dove	Columbidae							B10K		
357	Alopecoenas xanthonurus		White-throated Ground Dove	Columbidae							B10K		
359	Alopecoenas hoedtii		Wetar Ground Dove	Columbidae							B10K		
360	Alopecoenas jobiensis		White-bibbed Ground Dove	Columbidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
361	Alopecoenas kubaryi		White-fronted Ground Dove	Columbidae							B10K		
362	Alopecoenas sanctaecrucis		Santa Cruz Ground Dove	Columbidae							B10K		
363	Alopecoenas stairi		Friendly Ground Dove	Columbidae							B10K		
381	Amaurolimnas concolor	guatemalensis	Uniform Crake	Rallidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
382	Amaurornis cinerea		White-browed Crake	Rallidae							B10K		
383	Amaurornis isabellina		Isabelline Bush-hen	Rallidae							B10K		
384	Amaurornis magnirostris		Talaud Bush-hen	Rallidae							B10K		
405	Amazilia fimbriata	maculicauda	Glittering-throated Emerald	Trochilidae	Phase Genus	B10K				sample_collected	B10K	B10K	
419	Amazilia viridigaster	cupreicauda	Green-bellied Hummingbird	Trochilidae	Phase Genus	B10K				sample_collected	B10K	B10K	
424	Amazona amazonica	amazonica	Orange-winged Parrot	Psittacidae	Phase Genus	B10K				sample_collected	B10K	B10K	
452	Amazonetta brasiliensis	ipecutiri	Brazilian Teal	Anatidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
461	Ammodramus humeralis	humeralis	Grassland Sparrow	Passerellidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
466	Ammomanopsis grayi	grayi	Gray's Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
468	Ammoperdix griseogularis		See-see Partridge	Phasianidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
491	Amytornis oweni		Sandhill Grasswren	Maluridae							B10K		
518	Anas andium		Andean Teal	Anatidae							B10K		
525	Anas eatoni		Kerguelen Pintail	Anatidae							B10K		
553	Androphobus viridis		Papuan Whipbird	Psophodidae							B10K		
558	Anhinga melanogaster	rufa	Oriental Darter	Anhingidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
570	Anomalospiza imberbis		Parasitic Weaver	Viduidae							B10K		
579	Anser caerulescens	atlanticus	Snow Goose	Anatidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
581	Anser cygnoid		Swan Goose	Anatidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
582	Anser cygnoid		Swan Goose	Anatidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
601	Anthoscopus caroli		Grey Penduline Tit	Remizidae							B10K		
602	Anthoscopus flavifrons		Forest Penduline Tit	Remizidae							B10K		
603	Anthoscopus minutus		Cape Penduline Tit	Remizidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
604	Anthoscopus minutus		Cape Penduline Tit	Remizidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
605	Anthoscopus musculus		Mouse-coloured Penduline Tit	Remizidae							B10K		
606	Anthoscopus parvulus		Yellow Penduline Tit	Remizidae							B10K		
607	Anthoscopus punctifrons		Sennar Penduline Tit	Remizidae							B10K		
615	Anthracothorax nigricollis	nigricollis	Black-throated Mango	Trochilidae	Phase Genus	B10K				sample_collected	B10K	B10K	
620	Anthreptes anchietae		Anchieta's Sunbird	Nectariniidae							B10K		
621	Anthreptes aurantius		Violet-tailed Sunbird	Nectariniidae							B10K		
622	Anthreptes gabonicus		Brown Sunbird	Nectariniidae							B10K		
623	Anthreptes longuemarei		Western Violet-backed Sunbird	Nectariniidae							B10K		
625	Anthreptes neglectus		Uluguru Violet-backed Sunbird	Nectariniidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
628	Anthreptes reichenowi		Plain-backed Sunbird	Nectariniidae							B10K		
630	Anthreptes rubritorques		Banded Green Sunbird	Nectariniidae							B10K		
634	Anthus australis		Australian Pipit	Motacillidae							B10K		
636	Anthus bogotensis	shiptoni	Paramo Pipit	Motacillidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
639	Anthus campestris	campestris	Tawny Pipit	Motacillidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
643	Anthus correndera	correndera	Correndera Pipit	Motacillidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
645	Anthus furcatus	furcatus	Short-billed Pipit	Motacillidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
654	Anthus longicaudatus		Long-tailed Pipit	Motacillidae							B10K		
