Aclastus	sp.A	Ichneumonidae	DTOL		
Aclastus	sp.B	Ichneumonidae	DTOL		
Agathis	montana	Braconidae	DTOL		
Allopauropus	cuenoti	Pauropodidae	DTOL		
Allopauropus	remyi	Pauropodidae	DTOL		
Aphis	picridicola	Aphididae	DTOL		
Aphis	striata	Aphididae	DTOL		
Aphodius	consputus	Aphodiidae	DTOL		
Aphodius	prodromus	Aphodiidae	DTOL		
Aphodius	sphacelatus	Aphodiidae	DTOL		
Archips	podana	Tortricidae	DTOL		
Asterodiaspis	sp.	Asterolecaniidae	DTOL		
Attheyella	wulmeri	Canthocamptidae	DTOL		
Baryscapus	sz�csi	Eulophidae	DTOL		
Bourletiella	pruinosa	Bourletiellidae	DTOL		
Brachycaudus	prunifex	Aphididae	DTOL		
Calocoris	sexguttatus	Miridae	DTOL		
Capsus	diaphanus	Miridae	DTOL		
Cavariella	aquatica	Aphididae	DTOL		
Chaetocladius	Pe1a	Chironomidae	DTOL		
Chaetophiloscia	sp.	Philosciidae	DTOL		
Chirona	hameri	Archaeobalanidae	DTOL		
Cladotanytarsus	Pe7	Chironomidae	DTOL		
Cladotanytarsus	Pe9	Chironomidae	DTOL		
Corynoneura	Pe2a	Chironomidae	DTOL		
Cricotopus	iso_spec2	Chironomidae	DTOL		
Cricotopus	other	Chironomidae	DTOL		
Cricotopus	Pe	Chironomidae	DTOL		
Cricotopus	Pe2	Chironomidae	DTOL		
Cricotopus	Pe4	Chironomidae	DTOL		
Cricotopus	Pe5	Chironomidae	DTOL		
Cricotopus	Pe9	Chironomidae	DTOL		
Cryptops	sp.	Cryptopidae	DTOL		
Drymus	ryei	Lygaeidae	DTOL		
Dysaphis	brevirostris	Aphididae	DTOL		
Dysaphis	gallica	Aphididae	DTOL		
Ectropis	sp.	Geometridae	DTOL		
Eriosoma	pyricola	Aphididae	DTOL		
Eriosoma	sorbiradicis	Aphididae	DTOL		
Euophrys	sulphurea�	Salticidae	DTOL		
Eutrichodesmus	sp.	Haplodesmidae	DTOL		
Gabunillo	sp.	Armadillidiidae	DTOL		
Gen.nov.1	sp.nov.1	Katiannidae	DTOL		
Hyperomyzus	thorsteinni	Aphididae	DTOL		
Hypoaspis	miles	Laelapidae	DTOL		
Isotomurus	balteatus'	Isotomidae	DTOL		
Limnophyes	PE1a	Chironomidae	DTOL		
Limonia	vectensis'	Limoniidae	DTOL		
Macrosiphum	amygdaloides	Aphididae	DTOL		
Macrotylus	paykulli	Miridae	DTOL		
Microdispus	obovatus	Microdispidae	DTOL		
Micropsectra	Pe1	Chironomidae	DTOL		
Micropsectra	Pe2	Chironomidae	DTOL		
Napomyza	lateralis	Agromyzidae	DTOL		
Neozavrelia	Pe1	Chironomidae	DTOL		
Niphargoides	quadrimanus	Pontogammaridae	DTOL		
Oecotelma	sp.indet	Ichneumonidae	DTOL		
Orchestina	sp.	Oonopidae	DTOL		
Ozirhincus	sp.	Cecidomyiidae	DTOL		
Parachironomus	Pe2	Chironomidae	DTOL		
Parachironomus	Pe3	Chironomidae	DTOL		
Parakiefferiella	Pe1	Chironomidae	DTOL		
Paramerina	Pe1	Chironomidae	DTOL		
Parasitellus	sp.	Parasitidae	DTOL		
Phylloxera	sp.	Phylloxeridae	DTOL		
Poecilochirus	sp.	Parasitidae	DTOL		
Potthastia	Pe1	Chironomidae	DTOL		
Potthastia	Pe2	Chironomidae	DTOL		
Procladius	Pe2	Chironomidae	DTOL		
Procladius	Pe4	Chironomidae	DTOL		
Pseudorthocladius	Pe3	Chironomidae	DTOL		
Pseudosmittia	Pe2	Chironomidae	DTOL		
Pseudotyphloscia	sp.	Philosciidae	DTOL		
Rhagidia	diversicolor	Rhagidiidae	DTOL		
Sergentia	pe1	Chironomidae	DTOL		
Siphona	abdominalis	Tachinidae	DTOL		
Siphona	tristella	Tachinidae	DTOL		
Siphona	verralli	Tachinidae	DTOL		
Siphonophorida	sp.	NBNORG0000108343_f_unspecified	DTOL		
Stenochironomus	Pe2	Chironomidae	DTOL		
Synendotendipes	Pe1	Chironomidae	DTOL		
Tanytarsus	Pe15	Chironomidae	DTOL		
Theridion	sp.	Theridiidae	DTOL		
Thienemanniella	Pe2a	Chironomidae	DTOL		
Thripsaphis	producta	Aphididae	DTOL		
Thripsaphis	verrucosa	Aphididae	DTOL		
Trachysiphonella	indet.	Chloropidae	DTOL		
Trichoplasta	sp.	Figitidae	DTOL		
Uroleucon	helenae	Aphididae	DTOL		
Virgatanytarsus	Pe1	Chironomidae	DTOL		
Xorides	filiformis	Ichneumonidae	DTOL		
