Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Endogemmaceae	Endogemma	caespiticia	dtol_family_representative							DTOL	DTOL
Hygrobiellaceae	Hygrobiella	laxifolia	dtol_family_representative							DTOL	DTOL
Jungermanniaceae	Jungermannia	eucordifolia	dtol_family_representative			yes		DTOL		DTOL	DTOL
Ptilidiaceae	Ptilidium	pulcherrimum	dtol_other_priority						DTOL		DTOL
Scapaniaceae	Schistochilopsis	opacifolia	dtol								DTOL
Amphidiaceae	Amphidium	lapponicum	dtol_other_priority			yes		DTOL	DTOL		DTOL
Amphidiaceae	Amphidium	mougeotii	dtol_family_representative	yes				DTOL		DTOL	DTOL
Antitrichiaceae	Antitrichia	curtipendula	dtol_family_representative			yes		DTOL		DTOL	DTOL
Dicranellaceae	Dicranella	cerviculata	dtol								DTOL
Dicranellaceae	Dicranella	crispa	dtol								DTOL
Dicranellaceae	Dicranella	grevilleana	dtol								DTOL
Dicranellaceae	Dicranella	heteromalla	dtol_family_representative	yes				DTOL		DTOL	DTOL
Dicranellaceae	Dicranella	howei	dtol								DTOL
Dicranellaceae	Dicranella	rufescens	dtol								DTOL
Dicranellaceae	Dicranella	schreberiana	dtol								DTOL
Dicranellaceae	Dicranella	staphylina	dtol								DTOL
Dicranellaceae	Dicranella	subulata	dtol_other_priority						DTOL		DTOL
Dicranellaceae	Dicranella	varia	dtol								DTOL
Distichiaceae	Distichium	capillaceum	dtol_family_representative			yes		DTOL		DTOL	DTOL
Distichiaceae	Distichium	inclinatum	dtol								DTOL
Ditrichaceae	Pseudephemerum	nitidum	dtol								DTOL
Heterocladiellaceae	Heterocladiella	dimorpha	dtol_family_representative							DTOL	DTOL
Hymenolomataceae	Hymenoloma	crispulum	dtol			yes		DTOL			DTOL
Pottiaceae	Weissia	wimmeriana	dtol								DTOL
Pottiaceae	Weissia	x mittenii	dtol								DTOL
Pseudoleskeaceae	Lescuraea	incurvata	dtol								DTOL
Pseudoleskeaceae	Lescuraea	patens	dtol_family_representative							DTOL	DTOL
Pseudoleskeaceae	Lescuraea	plicata	dtol_other_priority						DTOL		DTOL
Pseudoleskeaceae	Lescuraea	saxicola	dtol								DTOL
Pseudoleskeellaceae	Pseudoleskeella	catenulata	dtol_other_priority						DTOL		DTOL
Pseudoleskeellaceae	Pseudoleskeella	nervosa	dtol								DTOL
Pseudoleskeellaceae	Pseudoleskeella	rupestris	dtol_family_representative							DTOL	DTOL
