Gyalecta	flotovii	Gyalectaceae	DTOL	DTOL	DTOL	NA
Propolis	phacidioides	Marthamycetaceae	DTOL	DTOL	DTOL	NA
Xerotrema	megalosporum	Odontotremataceae	DTOL	DTOL	DTOL	NA
Lichenostigma	rugosum	Phaeococcomycetaceae	DTOL	DTOL	DTOL	NA
Rozellopsis	inflata	Rozellopsidaceae	DTOL	DTOL	DTOL	NA
Rozellopsis	septigena	Rozellopsidaceae	DTOL	DTOL	DTOL	NA
Lasiobelonium	nidulus	Solenopeziaceae	DTOL	DTOL	DTOL	NA
Trimmatothelopsis	smaragdula	Acarosporaceae	DTOL			NA
Cordana	boothii	Cordanaceae	DTOL			NA
Cordana	crassa	Cordanaceae	DTOL			NA
Cladoniicola	staurospora	Incertae sedis	DTOL			NA
Cornutispora	lichenicola	Incertae sedis	DTOL			NA
Cornutispora	triangularis	Incertae sedis	DTOL			NA
Endococcus	alpestris	Incertae sedis	DTOL			NA
Everniicola	flexispora	Incertae sedis	DTOL			NA
Flabellospora	acuminata	Incertae sedis	DTOL			NA
Hymenobia	aporea	Incertae sedis	DTOL			NA
Intralichen	lichenum	incertae sedis	DTOL			NA
Lauderlindsaya	borreri	Incertae sedis	DTOL			NA
Leightoniomyces	phillipsii	Incertae sedis	DTOL			NA
Libertiella	malmedyensis	Incertae sedis	DTOL			NA
Lichenopuccinia	poeltii	Incertae sedis	DTOL			NA
Minutoexcipula	tephromelae	Incertae sedis	DTOL			NA
Minutophoma	chrysophthalmae	Incertae sedis	DTOL			NA
Nigromacula	uniseptata	Incertae sedis	DTOL			NA
Refractohilum	achromaticum	Incertae sedis	DTOL			NA
Refractohilum	galligenum	Incertae sedis	DTOL			NA
Taeniolina	scripta	Incertae sedis	DTOL			NA
Vouauxiella	lichenicola	Incertae sedis	DTOL			NA
Vouauxiella	verrucosa	Incertae sedis	DTOL			NA
Spondylocladiopsis	cupulicola	Incertae sedis	DTOL			NA
Actinocladium	rhodosporum	Incertae sedis	DTOL			NA
Haplariopsis	fagicola	Incertae sedis	DTOL			NA
Neottiospora	caricina	Incertae sedis	DTOL			NA
Tricladiopsis	foliosa	Incertae sedis	DTOL			NA
Taeniolina	centaurii	Incertae sedis	DTOL			NA
Microdiscula	phragmitis	Incertae sedis	DTOL			NA
Sympodiocladium	frondosum	Incertae sedis	DTOL			NA
Kionocephala	catenulata	Incertae sedis	DTOL			NA
Belemnospora	epiphylla	Incertae sedis	DTOL			NA
Imimyces	densus	Incertae sedis	DTOL			NA
Ectostroma	iridis	Incertae sedis	DTOL			NA
Zygodesmus	fuscus	Incertae sedis	DTOL			NA
Monodictys	lepraria	Incertae sedis	DTOL			NA
Fujimyces	oodes	Incertae sedis	DTOL			NA
Fumago	vagans	Incertae sedis	DTOL			NA
Diplocladiella	scalaroides	Incertae sedis	DTOL			NA
Pirostoma	viridisporum	Incertae sedis	DTOL			NA
Zakatoshia	erikssonii	Incertae sedis	DTOL			NA
Neophoma	graminella	Incertae sedis	DTOL			NA
Septotrullula	bacilligera	Incertae sedis	DTOL			NA
Myxosporium	roumeguerei	Incertae sedis	DTOL			NA
Splanchospora	ampullacea	Incertae sedis	DTOL			NA
Anthina	flammea	Incertae sedis	DTOL			NA
Hapalosphaeria	deformans	Incertae sedis	DTOL			NA
Lobatopedis	foliicola	Incertae sedis	DTOL			NA
Caducirostrum	foliicola	Incertae sedis	DTOL			NA
Linodochium	hyalinum	Incertae sedis	DTOL			NA
Arachnophora	fagicola	Incertae sedis	DTOL			NA
Henicospora	minor	Incertae sedis	DTOL			NA
Lambdasporium	viridense	Incertae sedis	DTOL			NA
Ityorhoptrum	verruculosum	Incertae sedis	DTOL			NA
Bactrodesmiella	masonii	Incertae sedis	DTOL			NA
Paradendryphiopsis	cambrensis	Incertae sedis	DTOL			NA
Excipularia	fusispora	Incertae sedis	DTOL			NA
Pterygosporopsis	rhododendri	Incertae sedis	DTOL			NA
Stigmatea	ostruthii	Incertae sedis	DTOL			NA
Brachydesmiella	biseptata	Incertae sedis	DTOL			NA
Paradendryphiopsis	laxa	Incertae sedis	DTOL			NA
Endoconospora	cerastii	Incertae sedis	DTOL			NA
Endococcus	apicicola	Incertae sedis	DTOL			NA
Myxosporium	griseum	Incertae sedis	DTOL			NA
Polycladium	equiseti	Incertae sedis	DTOL			NA
Scythioria	phlogina	Incertae sedis	DTOL			NA
Balanium	stygium	Incertae sedis	DTOL			NA
Didymopsis	helvellae	Incertae sedis	DTOL			NA
Refractohilum	lichenicola	Incertae sedis	DTOL			NA
Neoalpakesa	poae	Incertae sedis	DTOL			NA
Macrodiplodia	ulmi	Incertae sedis	DTOL			NA
Micropera	spuria	Incertae sedis	DTOL			NA
Belemnospora	pinicola	Incertae sedis	DTOL			NA
Rhexoampullifera	fagi	Incertae sedis	DTOL			NA
Pirostoma	circinans	Incertae sedis	DTOL			NA
Cytoplacosphaeria	rimosa	Incertae sedis	DTOL			NA
Allonema	roseum	Incertae sedis	DTOL			NA
Enantioptera	tetra-alata	Incertae sedis	DTOL			NA
Hyphopolynema	ellisiorum	Incertae sedis	DTOL			NA
Chaetendophragmia	britannica	Incertae sedis	DTOL			NA
Leptostromella	juncina	Incertae sedis	DTOL			NA
Tetraposporium	ravenelii	Incertae sedis	DTOL			NA
Porocladium	aquaticum	Incertae sedis	DTOL			NA
Zygogloea	gemellipara	Incertae sedis	DTOL			NA
Pterygosporopsis	fragilis	Incertae sedis	DTOL			NA
Perisporium	princeps	Incertae sedis	DTOL			NA
Stigmatea	polygoni	Incertae sedis	DTOL			NA
Stenocephalopsis	subalutacea	Incertae sedis	DTOL			NA
Septosporium	bulbotrichum	Incertae sedis	DTOL			NA
Myxosporium	incarnatum	Incertae sedis	DTOL			NA
Bispora	fusca	Incertae sedis	DTOL			NA
Myxosporium	belludum	Incertae sedis	DTOL			NA
Myxothyrium	leptideum	Incertae sedis	DTOL			NA
Roscoepoundia	croceola	Incertae sedis	DTOL			NA
Sirozythiella	sydowiana	Incertae sedis	DTOL			NA
Magdalaenaea	monogramma	Incertae sedis	DTOL			NA
Chromosporium	lateritium	Incertae sedis	DTOL			NA
Fumago	salicina	Incertae sedis	DTOL			NA
Leptostromella	hysterioides	Incertae sedis	DTOL			NA
Dictyopolyschema	pirozynskii	Incertae sedis	DTOL			NA
Microperella	quercus	Incertae sedis	DTOL			NA
Blennoria	buxi	Incertae sedis	DTOL			NA
Botryosporium	madrasense	Incertae sedis	DTOL			NA
Hyphosoma	piceae	Incertae sedis	DTOL			NA
Catenuloxyphium	semiovatum	Incertae sedis	DTOL			NA
Stigmatea	sylvatica	Incertae sedis	DTOL			NA
Cornucopiella	mirabilis	Incertae sedis	DTOL			NA
Lentescospora	submarina	Incertae sedis	DTOL			NA
Nematographium	stilboideum	Incertae sedis	DTOL			NA
Myxosporium	platysporum	Incertae sedis	DTOL			NA
Myxosporium	rosae	Incertae sedis	DTOL			NA
Tridentaria	carnivora	Incertae sedis	DTOL			NA
Trullula	olivascens	Incertae sedis	DTOL			NA
Trisulcosporium	acerinum	Incertae sedis	DTOL			NA
Schizothyrella	quercina	Incertae sedis	DTOL			NA
Peltasterinostroma	rubi	Incertae sedis	DTOL			NA
Perisporium	kunzei	Incertae sedis	DTOL			NA
Diplodiella	brassicae	Incertae sedis	DTOL			NA
Diplodiella	fibricola	Incertae sedis	DTOL			NA
Discosporina	deplanata	Incertae sedis	DTOL			NA
Perisporium	arundinis	Incertae sedis	DTOL			NA
Oncospora	pinastri	Incertae sedis	DTOL			NA
Imimyces	hollowayensis	Incertae sedis	DTOL			NA
Leptostromella	septorioides	Incertae sedis	DTOL			NA
Leptostromella	pteridina	Incertae sedis	DTOL			NA
Flabellospora	amphibia	Incertae sedis	DTOL			NA
Macrodiplodia	libertiana	Incertae sedis	DTOL			NA
Junctospora	pulchra	Incertae sedis	DTOL			NA
Endostilbum	cerasi	Incertae sedis	DTOL			NA
Domingoella	arctostaphyli	Incertae sedis	DTOL			NA
Cleistophoma	dryina	Incertae sedis	DTOL			NA
Ampulliferina	lauri	Incertae sedis	DTOL			NA
Massalongina	aquilina	Incertae sedis	DTOL			NA
Acrodictyopsis	lauri	Incertae sedis	DTOL			NA
Avesicladiella	britannica	Incertae sedis	DTOL			NA
Cacumisporium	scopulae	Incertae sedis	DTOL			NA
Hendersoniella	trabicola	Incertae sedis	DTOL			NA
Mystrosporium	adustum	Incertae sedis	DTOL			NA
Mystrosporium	stemphylium	Incertae sedis	DTOL			NA
Amallospora	dacrydion	Incertae sedis	DTOL			NA
Frigidispora	colnensis	Incertae sedis	DTOL			NA
Articulophora	variispora	Incertae sedis	DTOL			NA
Fermentolunospora	polyblastis	Incertae sedis	DTOL			NA
Krispiromyces	discoides	Incertae sedis	DTOL			NA
Dwayabeeja	sundara	Incertae sedis	DTOL			NA
Miratio	nectrioides	Incertae sedis	DTOL			NA
Milleromyces	rhyniensis	Incertae sedis	DTOL			NA
Cytosporium	pittospori	Incertae sedis	DTOL			NA
Dasystictella	sphaerospora	Incertae sedis	DTOL			NA
Celatogloea	simplicibasidium	Incertae sedis	DTOL			NA
Capsicumyces	delicatus	Incertae sedis	DTOL			NA
Botryosporium	pyramidale	Incertae sedis	DTOL			NA
Microdiscula	rubicola	Incertae sedis	DTOL			NA
Didymosporium	macrospermum	Incertae sedis	DTOL			NA
Lyonomyces	pyriformis	Incertae sedis	DTOL			NA
Hypospila	immunda	Incertae sedis	DTOL			NA
Gemmulina	botryosa	Incertae sedis	DTOL			NA
Aegeritoidea	foliicola	Incertae sedis	DTOL			NA
Fusoma	biseptatum	Incertae sedis	DTOL			NA
Fusoma	triseptatum	Incertae sedis	DTOL			NA
Crustodiplodina	lichenoides	Incertae sedis	DTOL			NA
Crinigera	maritima	Incertae sedis	DTOL			NA
Leptodermella	incarnata	Incertae sedis	DTOL			NA
Cylindrophora	pulvinata	Incertae sedis	DTOL			NA
Rhodesiopsis	gelatinosa	Incertae sedis	DTOL			NA
Winfrenatia	reticulata	Incertae sedis	DTOL			NA
Tridentaria	glossopaga	Incertae sedis	DTOL			NA
Triposporina	aquilina	Incertae sedis	DTOL			NA
Pellionella	macrospora	Incertae sedis	DTOL			NA
Myxosporium	rosarum	Incertae sedis	DTOL			NA
Oncopodium	antoniae	Incertae sedis	DTOL			NA
Myxosporium	lanceola	Incertae sedis	DTOL			NA
Myxosporium	pubescens	Incertae sedis	DTOL			NA
Myxosporium	complanatum	Incertae sedis	DTOL			NA
