Rhodolia	rosea	Crassulaceae	DTOL			NA	NA
Ervilia	sylvatica	Fabaceae	DTOL			NA	NA
Cotoneaster	integrifolius	Rosaceae	DTOL			NA	NA
Sorbus	aria	Rosaceae	DTOL			NA	NA
Sorbus	scannelliana	Rosaceae	DTOL			NA	NA
Erodium	aethiopicum	Geraniaceae	DTOL			NA	NA
Sabulina	stricta	Caryophyllaceae	DTOL			NA	NA
Sagina	subulata	Caryophyllaceae	DTOL			NA	NA
Stellaria	aquatica	Caryophyllaceae	DTOL			NA	NA
Salicornia	disarticulata	Amaranthaceae	DTOL			NA	NA
Aegonychon	purpureocaeruleum	Boraginaceae	DTOL			NA	NA
Lamiastrum	galeobdolon subsp. argentatum	Lamiaceae	DTOL		
Mimulus	guttatus	Phrymaceae	DTOL	DTOL	DTOL	NA	NA
Artemisia	campestris	Asteraceae	DTOL			NA	NA
Aster	lanceolatus	Asteraceae	DTOL			NA	NA
Filago	germanica	Asteraceae	DTOL			NA	NA
Trocdaris	verticillata	Apiaceae	DTOL			NA	NA
Carex	simpliciusulca	Cyperaceae	DTOL			NA	NA
Ammophila	arenaria	Poaceae	DTOL			NA	NA
Schedonorus	arundinaceus	Poaceae	DTOL			NA	NA
Schedonorus	pratensis	Poaceae	DTOL			NA	NA
