Heterocaps	triquetra	Heterocasaceae	DTOL	DTOL	DTOL
Nutomonas	kenti	Nutomonadidae	DTOL	DTOL	DTOL
Allantion	tachyploon	Allapsidae	DTOL	DTOL	DTOL
Allas	oxoniensis	Thaumatomonadida	DTOL	DTOL	DTOL
Rhogostoma	micra	Rhogostomidae	DTOL	DTOL	DTOL
Rhogostoma	chuessleri	Rhogostomidae	DTOL	DTOL	DTOL
Pyramimonas	urceolata	Pyramimonadophyceae	DTOL	DTOL	DTOL
Chlorocystis	salina	Ultrichaceae	DTOL	DTOL	DTOL
Ruttnera	maritima	Isochrysidaceae	DTOL	DTOL	DTOL
Saprolegniaceae	Saprolegniaceae	Achlya radiosa	DTOL	DTOL	DTOL
Stauroneis	stimulans	Stauroneidaceae	DTOL	DTOL	DTOL
Thalassionema	nitzschiodes	Thalassionemataceae	DTOL	DTOL	DTOL
Odentella	mobiliensis	Eupodiscaceae	DTOL	DTOL	DTOL
Odentella	sinensis	Eupodiscaceae	DTOL	DTOL	DTOL
Euglena	anabaena var. minor	Euglenaceae	DTOL	DTOL	
Cosmarium	blytii	Desmidiaceae	DTOL	DTOL	
