"taxonID","parentNameUsageID","acceptedNameUsageID","datasetID","scientificName","scientificNameAuthorship","taxonRank","taxonConceptID","taxonomicStatus","nomenclaturalStatus","genus","family","order","class","phylum","kingdom","long_list"
"BMSSYS0000000161","BMSSYS0000000160","","UKSI","Acrodictyopsis lauri","P.M. Kirk","Species","NBNORG0000000086","accepted","","Acrodictyopsis","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000000192","BMSSYS0000000191","","UKSI","Actinocladium rhodosporum","Ehrenb.","Species","NBNORG0000000102","accepted","","Actinocladium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000001352","BMSSYS0000001351","","UKSI","Amallospora dacrydion","Penz.","Species","NBNORG0000000201","accepted","","Amallospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000001434","BMSSYS0000001432","","UKSI","Ampulliferina lauri","P.M. Kirk & C.M. Kirk","Species","NBNORG0000000232","accepted","","Ampulliferina","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000001496","BMSSYS0000001495","","UKSI","Anthina flammea","(Jungh.) Fr.","Species","NBNORG0000000260","accepted","","Anthina","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000001591","BMSSYS0000001590","","UKSI","Arachnophora fagicola","Hennebert","Species","NBNORG0000000311","accepted","","Arachnophora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000001781","BMSSYS0000001780","","UKSI","Articulophora variispora","C.J.K. Wang & B. Sutton","Species","NBNORG0000000369","accepted","","Articulophora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000002220","BMSSYS0000002219","","UKSI","Bactrodesmiella masonii","(S. Hughes) M.B. Ellis","Species","NBNORG0000000563","accepted","","Bactrodesmiella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000002256","BMSSYS0000002255","","UKSI","Balanium stygium","Wallr.","Species","NBNORG0000000587","accepted","","Balanium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000002293","BMSSYS0000002292","","UKSI","Belemnospora epiphylla","P.M. Kirk","Species","NBNORG0000000606","accepted","","Belemnospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000002294","BMSSYS0000002292","","UKSI","Belemnospora pinicola","P.M. Kirk","Species","NBNORG0000000607","accepted","","Belemnospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000002580","BMSSYS0000002576","","UKSI","Bispora fusca","Thüm.","Species","NBNORG0000000641","accepted","","Bispora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000002602","BMSSYS0000002600","","UKSI","Blennoria buxi","Fr.","Species","NBNORG0000000652","accepted","","Blennoria","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000002712","NHMSYS0020535084","","UKSI","Boletus luridiformis","Rostk.","Species","NBNORG0000000677","accepted","","Boletus","Boletaceae","Boletales","Agaricomycetes","Basidiomycota","Fungi","DTOL"
"BMSSYS0000002893","BMSSYS0000002892","","UKSI","Brachydesmiella biseptata","G. Arnaud ex S. Hughes","Species","NBNORG0000000733","accepted","","Brachydesmiella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000003143","NHMSYS0001476618","","UKSI","Caloplaca lithophila s. str.","H. Magn.","Species","NBNORG0000117731","accepted","","Caloplaca","Teloschistaceae","Teloschistales","Lecanoromycetes","Ascomycota","Fungi","DTOL"
"BMSSYS0000003620","BMSSYS0000003619","","UKSI","Chaetendophragmia britannica","P.M. Kirk","Species","NBNORG0000000955","accepted","","Chaetendophragmia","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000003770","BMSSYS0000003769","","UKSI","Chromosporium lateritium","Cooke & Harkn.","Species","NBNORG0000001036","accepted","","Chromosporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000003822","BMSSYS0000003821","","UKSI","Ciliospora albida","(Massee & Crossl.) Grove","Species","NBNORG0000001058","accepted","","Ciliospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000004738","BMSSYS0000004737","","UKSI","Cordana boothii","M.B. Ellis","Species","NBNORG0000001344","accepted","","Cordana","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000004739","BMSSYS0000004737","","UKSI","Cordana crassa","Tóth","Species","NBNORG0000001345","accepted","","Cordana","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000004778","BMSSYS0000004777","","UKSI","Cornutispora ciliata","Kalb","Species","NBNORG0000001353","accepted","","Cornutispora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000004779","BMSSYS0000004777","","UKSI","Cornutispora lichenicola","D. Hawksw. & B. Sutton","Species","NBNORG0000001354","accepted","","Cornutispora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000005910","BMSSYS0000005909","","UKSI","Dictyopolyschema pirozynskii","M.B. Ellis","Species","NBNORG0000001743","accepted","","Dictyopolyschema","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006030","BMSSYS0000006029","","UKSI","Diplocladiella scalaroides","G. Arnaud ex M.B. Ellis","Species","NBNORG0000001790","accepted","","Diplocladiella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006090","BMSSYS0000045028","","UKSI","Diplodiella brassicae","(Cooke) Grove","Species","NBNORG0000001838","accepted","","Diplodiella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006091","BMSSYS0000045028","","UKSI","Diplodiella fibricola","(Berk.) Sacc.","Species","NBNORG0000001839","accepted","","Diplodiella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006198","BMSSYS0000006197","","UKSI","Domingoella arctostaphyli","P.M. Kirk","Species","NBNORG0000001886","accepted","","Domingoella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006276","BMSSYS0000006275","","UKSI","Dwayabeeja sundara","Subram.","Species","NBNORG0000001913","accepted","","Dwayabeeja","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006314","BMSSYS0000006313","","UKSI","Ectostroma iridis","(Ehrenb.) Fr.","Species","NBNORG0000001923","accepted","","Ectostroma","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006348","BMSSYS0000006347","","UKSI","Enantioptera tetra-alata","Descals","Species","NBNORG0000001939","accepted","","Enantioptera","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006376","BMSSYS0000006375","","UKSI","Endoconospora cerastii","Gjaerum","Species","NBNORG0000001946","accepted","","Endoconospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006689","BMSSYS0000006688","","UKSI","Everniicola flexispora","D. Hawksw.","Species","NBNORG0000002095","accepted","","Everniicola","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006697","BMSSYS0000006696","","UKSI","Excipularia fusispora","(Berk. & Broome) Sacc.","Species","NBNORG0000002101","accepted","","Excipularia","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006788","BMSSYS0000006787","","UKSI","Flabellospora acuminata","Descals","Species","NBNORG0000002141","accepted","","Flabellospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006789","BMSSYS0000006787","","UKSI","Flabellospora amphibia","(I.P. Price & P.H.B. Talbot) Descals","Species","NBNORG0000002142","accepted","","Flabellospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000006902","BMSSYS0000006900","","UKSI","Fumago vagans","Pers.","Species","NBNORG0000002174","accepted","","Fumago","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000007029","BMSSYS0000007028","","UKSI","Fusoma biseptatum","Sacc.","Species","NBNORG0000002235","accepted","","Fusoma","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000007033","BMSSYS0000007028","","UKSI","Fusoma triseptatum","Sacc.","Species","NBNORG0000002236","accepted","","Fusoma","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000007629","BMSSYS0000007628","","UKSI","Hapalosphaeria deformans","(Syd. & P. Syd.) Syd.","Species","NBNORG0000002430","accepted","","Hapalosphaeria","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000008009","BMSSYS0000008008","","UKSI","Henicospora minor","P.M. Kirk & B. Sutton","Species","NBNORG0000002591","accepted","","Henicospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000008152","NHMSYS0001484253","","UKSI","Hyaloscypha britannica","Huhtinen","Species","NBNORG0000002642","accepted","","Hyaloscypha","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Fungi","DTOL"
"BMSSYS0000008189","BMSSYS0000008188","","UKSI","Hydnopsis farinacea","Rea","Species","NBNORG0000002657","accepted","","Hydnopsis","Thelephoraceae","Thelephorales","Agaricomycetes","Basidiomycota","Fungi","DTOL"
"BMSSYS0000008478","BMSSYS0000008477","","UKSI","Hymenobia aporea","(Nyl.) D. Hawksw. & O.E. Erikss.","Species","NBNORG0000002718","accepted","","Hymenobia","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000008759","BMSSYS0000008758","","UKSI","Hypospila immunda","(Cooke) Sacc.","Species","NBNORG0000002809","accepted","","Hypospila","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000008867","NHMSYS0001485242","","UKSI","Inocybe curreyi","(Berk.) Sacc.","Species","NBNORG0000002843","accepted","","Inocybe","Inocybaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi","DTOL"
"BMSSYS0000008876","NHMSYS0001485242","","UKSI","Inocybe erubescens","A. Blytt","Species","NBNORG0000002848","accepted","","Inocybe","Inocybaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi","DTOL"
"BMSSYS0000008882","NHMSYS0001485242","","UKSI","Inocybe fastigiella","G.F. Atk.","Species","NBNORG0000002850","accepted","","Inocybe","Inocybaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi","DTOL"
"BMSSYS0000008883","NHMSYS0001485242","","UKSI","Inocybe flavella","P. Karst.","Species","NBNORG0000002851","accepted","","Inocybe","Inocybaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi","DTOL"
"BMSSYS0000009025","BMSSYS0000009024","","UKSI","Ityorhoptrum verruculosum","(M.B. Ellis) P.M. Kirk","Species","NBNORG0000002906","accepted","","Ityorhoptrum","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000009046","BMSSYS0000009045","","UKSI","Junctospora pulchra","Minter & Hol.-Jech.","Species","NBNORG0000002917","accepted","","Junctospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000009087","BMSSYS0000009086","","UKSI","Kionocephala catenulata","(M.B. Ellis) P.M. Kirk","Species","NBNORG0000002935","accepted","","Kionocephala","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000009353","BMSSYS0000009352","","UKSI","Lambdasporium viridense","Nawawi","Species","NBNORG0000003016","accepted","","Lambdasporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000010300","NHMSYS0001487412","","UKSI","Leptodermella incarnata","(Bres.) Höhn.","Species","NBNORG0000003137","accepted","","Leptodermella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000010467","BMSSYS0000010466","","UKSI","Leptostromella juncina","(Fr.) Sacc.","Species","NBNORG0000003180","accepted","","Leptostromella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000010468","BMSSYS0000010466","","UKSI","Leptostromella septorioides","(Sacc. & Roum.) Sacc. & Roum.","Species","NBNORG0000003181","accepted","","Leptostromella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000010565","BMSSYS0000010564","","UKSI","Libertiella malmedyensis","Speg. & Roum.","Species","NBNORG0000003224","accepted","","Libertiella","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000010683","BMSSYS0000010682","","UKSI","Lichenopuccinia poeltii","D. Hawksw. & Hafellner","Species","NBNORG0000003253","accepted","","Lichenopuccinia","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000010727","BMSSYS0000010726","","UKSI","Lobatopedis foliicola","P.M. Kirk","Species","NBNORG0000003271","accepted","","Lobatopedis","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000010816","BMSSYS0000010815","","UKSI","Macrodiplodia ulmi","Sacc.","Species","NBNORG0000003307","accepted","","Macrodiplodia","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000011282","BMSSYS0000011278","","UKSI","Micropera spuria","(Fr.) Höhn.","Species","NBNORG0000003462","accepted","","Micropera","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000011362","BMSSYS0000011361","","UKSI","Minutophoma chrysophthalmae","D. Hawksw.","Species","NBNORG0000003487","accepted","","Minutophoma","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000011864","BMSSYS0000011863","","UKSI","Myxosporium belludum","(Preuss) Sacc.","Species","NBNORG0000003707","accepted","","Myxosporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000011865","BMSSYS0000011863","","UKSI","Myxosporium griseum","(Pers.) Sacc.","Species","NBNORG0000003708","accepted","","Myxosporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000011866","BMSSYS0000011863","","UKSI","Myxosporium incarnatum","Bonord.","Species","NBNORG0000003709","accepted","","Myxosporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000011868","BMSSYS0000011863","","UKSI","Myxosporium rosae","Fuckel","Species","NBNORG0000003710","accepted","","Myxosporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000011872","BMSSYS0000011871","","UKSI","Myxothyrium leptideum","(Fr.) Bubák & Kabát","Species","NBNORG0000003714","accepted","","Myxothyrium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000012021","BMSSYS0000012020","","UKSI","Neoalpakesa poae","Punith.","Species","NBNORG0000003780","accepted","","Neoalpakesa","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000012033","NHMSYS0001490799","","UKSI","Neophoma graminella","(Sacc.) Petr. & Syd.","Species","NBNORG0000003788","accepted","","Neophoma","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000012040","BMSSYS0000012039","","UKSI","Neottiospora caricina","(Desm.) Höhn.","Species","NBNORG0000003792","accepted","","Neottiospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000012373","BMSSYS0000012372","","UKSI","Oncospora pinastri","(Sacc.) Died.","Species","NBNORG0000003910","accepted","","Oncospora","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000012668","BMSSYS0000012667","","UKSI","Paradendryphiopsis cambrensis","M.B. Ellis","Species","NBNORG0000003992","accepted","","Paradendryphiopsis","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000012669","BMSSYS0000012667","","UKSI","Paradendryphiopsis laxa","(H.J. Huds.) S. Hughes","Species","NBNORG0000003993","accepted","","Paradendryphiopsis","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000012888","BMSSYS0000012887","","UKSI","Peltasterinostroma rubi","Punith.","Species","NBNORG0000004031","accepted","","Peltasterinostroma","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000013195","BMSSYS0000013194","","UKSI","Perisporium arundinis","Desm.","Species","NBNORG0000004159","accepted","","Perisporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000013196","BMSSYS0000013194","","UKSI","Perisporium kunzei","(Fuckel) Sacc.","Species","NBNORG0000004160","accepted","","Perisporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000013197","BMSSYS0000013194","","UKSI","Perisporium princeps","Berk.","Species","NBNORG0000004161","accepted","","Perisporium","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000013660","NHMSYS0001492993","","UKSI","Phaeoisaria clavulata","(Grove) E.W. Mason & S. Hughes","Species","NBNORG0000004275","accepted","","Phaeoisaria","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000014514","BMSSYS0000014513","","UKSI","Pirostoma circinans","(Fr.) Sacc.","Species","NBNORG0000004679","accepted","","Pirostoma","","","","Ascomycota","Fungi","DTOL"
"BMSSYS0000014515","BMSSYS0000014513","","UKSI","Pirostoma viridisporum","(Cooke) Grove","Species","NBNORG0000004680","accepted","","Pirostoma","","","","Ascomycota","Fungi","DTOL"
