taxon_id	input	rank	suggested
	Bispora fusca	species	biatora fusca
159720	Fumago vagans	species	Fuligo septica
566113	Pseudothis apophysata	species	Otidea apophysata
289990	Didymium verrucisporum	species	Didymium verrucosporum
298094	Trechus subnotatus	species	Callosobruchus subinnotatus
	Woodlouse	species	wood mouse
	Snails	species	sialis	snail
71834	Armeria pseudoarmeria	species	Armeria pseudarmeria
1913189	Sorbus decipiens	species	Enteromius trimaculatus
690321	Cotoneaster villosulus	species	Cotoneaster integerrimus
	Solanum sarachoides	species	solanum sarrachoides
1536483	Sorbaria tomentosa	species	Cladorrhinum tomentosum
1475168	Olios sanctivicentii	species	Olios sanctivincenti
	Fragilaria	species	gracilaria	fragaria
1400509	Ameliella grisea	species	Santessoniella grisea
1915149	Anthrenus flavidus	species	Anthrenus flavipes
354285	Plagiolepis allaudi	species	Plagiolepis alluaudi
	Lampranthus aureus	species	amaranthus aureus
	Geissleria	species	geissomeria
1008864	Ommatoiulus moreleti	species	Ommatoiulus moreletii
585889	Pithemera bictincta	species	Pithemera bicincta
644747	Typha martini	species	Typha laxmannii
33589	Leptoptilos crumenifer	species	Leptoptilos crumeniferus
	Prooppia	species	prosapia	prosopeia
377545	Chrysotus angulicornis	species	Chrysotus gramineus
1553025	Atheta parca	species	Acrotona parvula
1971291	Elodes pseudominutus	species	Elodes pseudominuta
1971862	Smicronyx reichii	species	Smicronyx reichi
207157	Calomosternus granarius	species	Aphodius granarius
71471	Duvaucelia plebeia	species	Duvaucelia plebia
	Cheletiella	species	heleniella
334610	Euzetes globosus	species	Euzetes globulus
1979932	Galumna tenuiclavus	species	Pilogalumna tenuiclava
708362	Labidostoma luteum	species	Labidostomma luteum
370843	Rhizoglyphus lucasi	species	Rhizoglyphus echinopus
1609195	Typhlodromus tineivorans	species	Blattisocius tarsalis
1929253	Erythraeus phalangioides	species	Erythraeus phalangoides
2796223	Eustigmaeus sphagneti	species	Stigmaeus sphagneti
2566981	Mesophelps ochracella	species	Mesophleps ochraceella
	Chazara	species	chalara
1586967	Bodilopsis sordida	species	Agrilinus sordidus
1133088	Congethes punctiferalis	species	Conogethes punctiferalis
1588620	Melicius gracilis	species	Pterostichus gracilis
337390	Erodium manescavii	species	Erodium manescavi
