taxon_id	input	rank	suggested
	Oxyporaceae	family	polyporaceae	oxytoxaceae
2982168	Clitocybaecae	family	Clitocybaceae
	Tricholomatceae	family	trichocomaceae	tricholomataceae	tricholomatineae
42302	Lasiosphaeridaceae	family	Lasiosphaeriaceae
5351	Tricholomatinaceae	family	Tricholomataceae
2832327	Hortiboletus engelli	species	Hortiboletus engelii
	Mycena tennerima	species	mycena tenerrima
29917	Cladosporium cladosporoides	species	Cladosporium cladosporioides
69783	Penicillium raistrikii	species	Penicillium raistrickii
1889048	Trochila cratereum	species	Trochila craterium
	Psilachnum	species	splachnum
goPerHari	Peronospora harriotii	species	Peronospora hariotii
386271	Phellodon confluans	species	Phellodon confluens
	Phellodon melalucas	species	phellodon melaleucus
	Hydenellum concresens	species	hydnellum concrescens
	Moristroma	species	monostroma
1499204	Pseudocamarosporium propinquuum	species	Pseudocamarosporium propinquum
