Prefix_TOLID	SPECIES	STRAIN_ID	STATUS	TAX_ID	PHYLUM	FAMILY	GENUS	TAXONOMIC NOTES	other_priority	goat_status
	Ectocarpoides piscinalis nom. prov.	1307-1	COLLECTED			Ectocarpaceae	Ectocarpoides		DTOL	sample_collected
	Caulonema contortum	312-1	COLLECTED		Chlorophyta		Caulonema	Caulonema contortum Uncertain ID	DTOL	sample_collected
	Nutomonas kenti	1953-1	DEAD		Apusozoa		Nutomonas		DTOL	
	Characium sp.	209-2	COLLECTED		Chlorophyta	Chlorococcaceae	Characium		DTOL	sample_collected
	Allantion tachyploon	1906-1	COLLECTED		Cercozoa		Allantion 		DTOL	sample_collected
	Developayella elegans	1917-1	DEAD		Stramenopiles	Developea	Developayella		DTOL	
	Rhogostoma micra	1966-2	GROWING		Cercozoa	Rhogostomidae	Rhogostoma		DTOL	sample_collected
	Keratococcus bicaudatus	202-21	COLLECTED		Chlorophyta	Selenastraceae	Keratococcus		DTOL	sample_collected
	Gloeocystis sp.	31-4	COLLECTED		Chlorophyta	Radiococcaceae	Gloeocystis		DTOL	sample_collected
	Pascherina tetras	159-2	COLLECTED		Chlorophyta	Spondylimoraceae	Pascherina		DTOL	sample_collected
	Allas oxoniensis	1903-2	GROWING		Cercozoa	Thaumatomonadida	Allas		DTOL	sample_collected
	Geminella sp.	384-3	GROWING		Chlorophyta	Chlorellaceae	Geminella		DTOL	sample_collected
	Raphidonema sp.	470-3	COLLECTED		Chlorophyta	Koliellaceae	Raphidonema		DTOL	sample_collected
