Species_name	Verified_name	Family	long_list	family_representative	other_priority
Astasia curvata 		Aphagea	EIN		
Astasia fritschii 		Aphagea	EIN		
Astasia hallii 		Aphagea	EIN		
Astasia solea 		Aphagea	EIN		
Cryptoglena pigra 	Cryptoglena pigra 	Euglenaceae	EIN		
Decastava edaphica 		Alistosa	EIN		
Distigma proteus	Type Specimen	Aphagea	EIN		
Distigma proteus		Aphagea	EIN		
Entosiphon sp. 		no higher taxon	EIN		
Entosiphon sulcatum		no higher taxon	EIN		
Entosiphon sulcatum 	Type Specimen	no higher taxon	EIN		
Euglena ascusformis		Euglenaceae	EIN		
Euglena baltica		Euglenaceae	EIN		
Euglena bituricensis		Euglenaceae	EIN		
Euglena bucharica		Euglenaceae	EIN		
Euglean carterae 	Euglena satelles	Euglenaceae	EIN		
Euglena interrupta		Euglenaceae	EIN		
Euglena limosa		Euglenaceae	EIN		
Euglena multiformis		Euglenaceae	EIN		
Euglena pisciformis 	Euglena agilis	Euglenaceae	EIN		
Euglena sabulorum		Euglenaceae	EIN		
Euglena tuba		Euglenaceae	EIN		
Euglena vermiformis		Euglenaceae	EIN		
Euglenaria archaeoplastidiata		Euglenaceae	EIN		
Eutreptia viridis 	Type Specimen	Eutreptiaceae	EIN		
Eutrepiella sp. CCMP3347		Eutreptiaceae	EIN		
Hyalophacus ocellatus 	Phacus ocellatus	Phacaceae	EIN		
Keelungia sp.		Alistosa	EIN		
Lepocinclis helicoideus	Lepocinclis oxyuris var. helicoidea	Phacaceae	EIN		
Menoidium bibacillatum 		Aphagea	EIN		
Monomorphina aenigmaticus 		Euglenaceae	EIN		
Notosolenus urceolatus		Alistosa	EIN		
Peranema trichophorum		Aphagea	EIN		
Petalomonas cantuscygni		Alistosa	EIN		
Petalomonas cantuscygni 		Alistosa	EIN		
Phacus costata		Phacaceae	EIN		
Phacus pusillus 		Phacaceae	EIN		
Ploeotia costata		Alistosa	EIN		
Rhabdomonas costata		Aphagea	EIN		
Rhabdomonas gibba		Aphagea	EIN		
Scytomonas saepesedens  		Alistosa	EIN		
Trachelomonas hispida 		Euglenaceae	EIN		
Trachelomonas oblonga var. punctata		Euglenaceae	EIN		
