	Species_name	Verified_name	Family	long_list	family_representative	other_priority
0	Astasia curvata 		Clade Aphagea	EIN		
1	Astasia fritschii 		Clade Aphagea	EIN		
2	Astasia hallii 		Clade Aphagea	EIN		
4	Astasia solea 		Clade Aphagea	EIN		
7	Cryptoglena pigra 	Cryptoglena pigra 	Euglenaceae	EIN		
8	Decastava edaphica 		Clade Alistosa	EIN		
12	Entosiphon sp. 		no higher taxon	EIN		
14	Entosiphon sulcatum 		no higher taxon	EIN		
17	Euglena ascusformis		Euglenaceae	EIN		
18	Euglena baltica		Euglenaceae	EIN		
19	Euglena bituricensis		Euglenaceae	EIN		
20	Euglena bucharica		Euglenaceae	EIN		
22	Euglena cantabrica 		Euglenaceae	EIN		
23	Euglean carterae 	Euglena satelles	Euglenaceae	EIN		
32	Euglena interrupta		Euglenaceae	EIN		
34	Euglena limosa		Euglenaceae	EIN		
37	Euglena multiformis		Euglenaceae	EIN		
40	Euglena obtusa 		Euglenaceae	EIN		
41	Euglena pisciformis 	Euglena agilis	Euglenaceae	EIN		
42	Euglena sabulorum		Euglenaceae	EIN		
48	Euglena tuba		Euglenaceae	EIN		
49	Euglena vermiformis		Euglenaceae	EIN		
50	Euglena virdis		Euglenaceae	EIN		
53	Euglenaria archaeoplastidiata		Euglenaceae	EIN		
57	Eutreptia viridis 		Eutreptiaceae	EIN		
60	Eutrepiella sp. CCMP3347		Eutreptiaceae	EIN		
61	Hyalophacus ocellatus 	Phacus ocellatus	Phacaceae	EIN		
62	Keelungia sp. 		Clade Alistosa	EIN		
65	Lepocinclis helicoideus	Lepocinclis oxyuris var. helicoidea	Phacaceae	EIN		
70	Menoidium bibacillatum 		Clade Aphagea	EIN		
71	Monomorphina aenigmaticus 		Euglenaceae	EIN		
74	Neometanema parovale 		no higher taxa	EIN		
75	Notosolenus urceolatus 		Clade Alistosa	EIN		
78	Petalomonas cantuscygni 		Clade Alistosa	EIN		
80	Phacus costata		Phacaceae	EIN		
84	Phacus pusillus 		Phacaceae	EIN		
90	Scytomonas saepesedens  		Clade Alistosa	EIN		
91	Trachelomonas hispida 		Euglenaceae	EIN		
92	Trachelomonas oblonga var. punctata		Euglenaceae	EIN		
