"lfd. Nr","Überfamilie","Familie","Unterfamilie","Tribus","Subtribus","Gattung","Art","Autoren","Trivialnamen (meist deutsche Namen)","KR-Nr.","GUID","Anmer-kung zum Artstatus","zu löschen!","Änderungs-Datum","Kommentar Änderung gegenüber Version 1 vom 4. Februar 2017","Anmerkung Faunistik Europa","Vorkommen in Europa sensu Fauna Europaea","Vorkommen in Europa i.w.S.","D","CH","A","Hinweis auf eingeschränkte Verbreitung","Anzahl Länder mit Nachweisen","Lebendbild","Diagnosebild"
"1","Micropterigoidea","Micropterigidae","","","","Micropterix","aglaella","(Duponchel, [1840])","","4","9eaf1ed4-f90a-4e42-80f1-91622f0a2d3c","","","22/12/2018","1838 ==> [1840] (Jahr angepasst und in eckige Klammern gesetzt)","D-CH-A","etabliert","etabliert","D","C","A","","6","Ja","Ja"
"3","Micropterigoidea","Micropterigidae","","","","Micropterix","amsella","Heath, 1975","","6","f2c9e5c1-4aa8-4ffe-a752-f3029477b2db","","","","","","etabliert","etabliert","","","","nur Balkan erweitert","3","Ja","Ja"
"8","Micropterigoidea","Micropterigidae","","","","Micropterix","completella","Staudinger, 1871","","11","0706df59-d91a-4bdf-98d0-8be207d60f45","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","","Ja"
"9","Micropterigoidea","Micropterigidae","","","","Micropterix","corcyrella","Walsingham, 1919","","12","308097ca-dc4f-463e-8ce6-af5b9cd3f512","","","","","","etabliert","etabliert","","","","","5","Ja","Ja"
"10","Micropterigoidea","Micropterigidae","","","","Micropterix","jeanneli","Viette, 1949","","00012a","ddf7ff55-8374-4d77-881e-4d72b3bfc461","","","","","","etabliert","etabliert","","","","nur Montenegro","1","Ja",""
"11","Micropterigoidea","Micropterigidae","","","","Micropterix","croatica","Heath & Kaltenbach, 1984","","13","659c0bf9-8144-4800-bb4a-32dfb9b95829","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","3","Ja","Ja"
"12","Micropterigoidea","Micropterigidae","","","","Micropterix","cypriensis","Heath, 1985","","[non-KR]","9ce2dd4c-46ed-47a9-82b2-34be5fe6d226","","","","","Zypern","etabliert: nur Zypern","etabliert: nur Zypern","","","","nur Zypern","1","Ja","Ja"
"13","Micropterigoidea","Micropterigidae","","","","Micropterix","emiliensis","Viette, 1950","","14","8c1eff93-20ff-46d1-a4d9-acc7cae693cb","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"16","Micropterigoidea","Micropterigidae","","","","Micropterix","fenestrellensis","Heath & Kaltenbach, 1984","","17","54a2dfa5-38bc-474d-a7d6-e3e3b9766b77","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","Ja","Ja"
"17","Micropterigoidea","Micropterigidae","","","","Micropterix","garganoensis","Heath, 1960","","18","551b2a98-b49e-45a2-b86f-80dc19f41f48","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
