species	family	phylum	kingdom	source	ncbi_taxon_id	proposed_sequencing_centre	target_list_status	sequencing_status	goat_stimated_genome_size_(gb)	phase	notes	comments	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Adelopsella bosnica	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		UNIFI	other_priority	sample_collected	0,802	1B	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Leonhardella angulicollis	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		UNIFI	other_priority	sample_collected	0,802	1B	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Bathyscidius tristiculus	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		UNIFI	other_priority	sample_collected	0,802	1B	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Octodriloides kamnensis	Lumbricidae	Annelida	Metazoa	SloveniaHSp		TBD	other_priority		0,724	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Karpatodinariona altimontana	Lumbricidae	Annelida	Metazoa	SloveniaHSp		TBD	other_priority		0,724	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Leiobunum rupestre	Sclerosomatidae	Arthropoda	Metazoa	SloveniaHSp		TBD	other_priority		1,1	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Sphaerobathyscia hoffmani	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		TBD	other_priority		0,802	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Spelaeobates novaki	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		TBD	other_priority		0,802	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Gyas annulatus	Sclerosomatidae	Arthropoda	Metazoa	SloveniaHSp		TBD	other_priority		1,1	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Leiobunum subalpinum	Phallangidae	Arthropoda	Metazoa	SloveniaHSp		TBD	other_priority	sample_collected	1,1	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
