	gen	sp	fam	family_representative	long_list	other_priority
12	Trimmatothelopsis	smaragdula	Acarosporaceae		DTOL	
34	Acrocephalus	schoenobaenus	Acrocephalidae	DTOL	DTOL	
35	Acrocephalus	scirpaceus	Acrocephalidae	DTOL	DTOL	
95	Leucogaster	liosporus	Albatrellaceae	DTOL	DTOL	
96	Leucogaster	nudus	Albatrellaceae	DTOL	DTOL	
145	Allantion	tachyploon	Allapsidae	DTOL	DTOL	
173	Salicornia	disarticulata	Amaranthaceae		DTOL	
196	Comatricha	nigra	Amaurochaetidae		DTOL	
197	Enerthenema	papillatum	Amaurochaetidae	DTOL	DTOL	
198	Stemonitopsis	typhina	Amaurochaetidae	DTOL	DTOL	
237	Anguillospora	rosea	Amniculicolaceae		DTOL	
245	Amphianthus	dohrnii	Amphianthidae	DTOL	DTOL	
246	Amphidium	lapponicum	Amphidiaceae	DTOL	DTOL	
247	Amphidium	mougeotii	Amphidiaceae	DTOL	DTOL	
253	Ceratosporium	fuscescens	Amphisphaeriaceae		DTOL	
320	Anatoma	crispata	Anatomidae	DTOL	DTOL	
347	Amphorula	sachalinensis	Annulatascaceae		DTOL	
348	Rhamphoria	bevanii	Annulatascaceae		DTOL	
349	Rhamphoria	pyriformis	Annulatascaceae		DTOL	
351	Rhamphoria	tympanidispora	Annulatascaceae	DTOL	DTOL	
372	Antitrichia	curtipendula	Antitrichiaceae	DTOL	DTOL	
381	Steinia	geophana	Aphanopsidaceae	DTOL	DTOL	
444	Trocdaris	verticillata	Apiaceae		DTOL	
601	Astata	boops	Astatidae	DTOL	DTOL	
610	Artemisia	campestris	Asteraceae		DTOL	
614	Aster	lanceolatus	Asteraceae		DTOL	
641	Filago	germanica	Asteraceae		DTOL	
727	Atractophora	hypnoides	Atractophoraceae	DTOL	DTOL	
804	Nysson	spinosus	Bembicidae	DTOL	DTOL	
856	Lentomitella	cirrhosa	Boliniaceae	DTOL	DTOL	
887	Borboropsis	puberula	Borboropsidae	DTOL	DTOL	
1103	Aldisa	zetlandica	Cadlinidae	DTOL	DTOL	
1104	Cadlina	laevis	Cadlinidae	DTOL	DTOL	
1111	Calcarius	lapponicus	Calcariidae	DTOL	DTOL	
1112	Plectrophenax	nivalis	Calcariidae	DTOL	DTOL	
1150	Diaphorodoris	alba	Calycidorididae	DTOL	DTOL	
1151	Diaphorodoris	luteocincta	Calycidorididae	DTOL	DTOL	
1196	Tripospermum	camelopardus	Capnodiaceae		DTOL	
1197	Tripospermum	myrti	Capnodiaceae		DTOL	
1198	Tripospermum	prolongatum	Capnodiaceae		DTOL	
1213	Carteria	incisa	Carteriaceae	DTOL	DTOL	
1241	Sabulina	stricta	Caryophyllaceae		DTOL	
1269	Stellaria	aquatica	Caryophyllaceae		DTOL	
1284	Caryospora	callicarpa	Caryosporaceae	DTOL	DTOL	
1385	Ceratosphaeria	lampadophora	Ceratosphaeriaceae	DTOL	DTOL	
1386	Ceratosphaeria	fragilis	Ceratosphaeriaceae	DTOL	DTOL	
1392	Agitata	tremulans	Cercomonadidae		DTOL	DTOL
1447	Chaetosphaeria	myriocarpa	Chaetosphaeriaceae		DTOL	
1458	Characium	marinum	Characiaceae	DTOL	DTOL	
1473	Danilia	otaviana	Chilodontaidae	DTOL	DTOL	
1474	Diurnea	fagella	Chimabachidae	DTOL	DTOL	
1482	Neossos	nidicola	Chiropteromyzidae	DTOL	DTOL	
1531	Zygorhizidium	cystogenum	Chytridiaceae		DTOL	
1547	Graphis	albida	Cimidae	DTOL	DTOL	
1590	Ramaria	abietina	Clavariaceae		DTOL	
1591	Ramaria	flaccida	Clavariaceae		DTOL	
1609	Sarcodictyon	catenatum	Clavulariidae	DTOL	DTOL	
1610	Sarcodictyon	roseum	Clavulariidae	DTOL	DTOL	
1616	Clypeosphaeria	mamillana	Clypeosphaeriaceae		DTOL	
1617	Apiorhynchostoma	curreyi	Clypeosphaeriaceae	DTOL	DTOL	
1618	Pseudovalsaria	foedans	Clypeosphaeriaceae	DTOL	DTOL	
1627	Semisalsa	stagnorum	Cochliopidae	DTOL	DTOL	
1648	Colpoda	steinii	Colepidae	DTOL	DTOL	
1656	Colpodaspis	pusilla	Colpodaspididae	DTOL	DTOL	
1689	Conocephalus	fuscus	Conocephalidae	DTOL	DTOL	
