	superorder	orders_latin_name	latin_name_1	latin_name_2	latin_name_3	species_id_1	species_id_2	species_id_3	status	phylum	phase1
0	Afrotheria	Proboscidea	Elephas maximus indicus	Loxodonta africanus					3	Chordata	VGP
37	Laurasiatheria	Perissodactyla (Rhinoceratidae)	Diceros bicornis minor	Ceratotherium simum		mDicBic1			4	Chordata	VGP
82	Core waterbirds	Phaethontiformes	"Phaethon	aethereus"						3	Chordata	VGP
85	Core waterbirds	Gruiformes	Balearica regulorum gibbericeps	Grus americana	Porphyrio hochstetteri	bBalReg1	bGruAme1	bPorHoc1	4	Chordata	VGP
105	Palaeognathae	Struthioniformes	Struthio camelus australis						3	Chordata	VGP
134	Squamata	Anguimorpha (Xenosuaridae)	Anguis anguis	Xenosaurus platyceps	Heloderma suspectum				2	Chordata	VGP
158	Anura	Neobatrachia > Myobatrachidae | Calyptocephalellidae	Platyplectrum (Limnodynastes) ornatum	Calyptocephalella gayi	Limnodynastes dumerilii		Helmeted Water Toad	Eastern Banjo Frog	3	Chordata	VGP
196	Actinopterygii (Ray-finned Fishes)	Stomiatiformes/Stomiiformes	Stomias boa boa	Stomias boa boa					3	Chordata	VGP
208	Actinopterygii (Ray-finned Fishes)	Ophidiiformes	Opidion barbatum	Barathrites iris	Brosmophyciops pautzkei				2	Chordata	VGP
210	Actinopterygii (Ray-finned Fishes)	Gobiiformes	Periophthalmodon magnuspinnatus	Periophthalmodon schlosseri		fPerMag1			4	Chordata	VGP
235	Actinopterygii (Ray-finned Fishes)	Lobotiformes	Pacificus surinamensis						2	Chordata	VGP
245	Actinopterygii (Ray-finned Fishes)	Scorpaeniformes (Sebastidae)	Sebastes umbosus			fSebUmb1			4	Chordata	VGP
253	Chondrichthyes (Cartilaginous Fishes)	Echinorhiniformes	Echinorhinus cookei 	Echinorhinus brucus					2	Chordata	VGP
259	Chondrichthyes (Cartilaginous Fishes)	Myliobatiformes	Potamotrygon marinae 	Dasyatis pastinaca	Dasyatis brevicaudata	sPotMar1			3	Chordata	VGP
266	Deuterostomes	Enteropneusta	Saccoglossus kowalewski						3	Chordata	VGP
