superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
Afrotheria	Proboscidea	Elephas maximus indicus	in_progress	VGP	Collosal	Chordata	VGP	VGP	VGP	VGP			
Xenarthra	Pilosa (Vermilingua)	Tamandua tetradactyla	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Xenarthra	Pilosa (Folivora)	Choloepus didactylus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Primates (Tarsiiformes)	Carlito syrichta				Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Lorisoidea)	Nycticebus coucang	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Primates (Lemuroidea)	Lemur catta	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Erethizontidae Porcupines)	Erethizon dorsatum	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Ctenodactylidae)	Ctenodactylus gundi	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Gliridae)	Glis glis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Sciuridae)	Sciurus vulgaris	in_progress	Sanger 25G		Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Sciuridae)	Sciurus carolinensis 		Sanger 25G		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Aplodontiidae)	Aplodontia rufa				Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Acomys)	Acomys russatus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Apodemus)	Apodemus sylvaticus		DToL		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Murinae)	Rattus norvegicus		DToL		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Cricetidae)	Onychomys torridus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Cricetidae)	Arvicola amphibius		Sanger 25G		Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Anomaluridae)	Anomalurus beecrofti	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Pedetidae)	Pedetes capensis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Geomyoidea)	Thomomys bottae	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Rodentia (Castoridae)	Castor canadensis				Chordata	VGP						
Supraprimates (Euarchontoglires)	Lagomorpha (Leporidae)	Oryctolagus cuniculus				Chordata	VGP						
Supraprimates (Euarchontoglires)	Lagomorpha (Ochotonidae)	Ochotona princeps	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Scandentia (Tupaiidae)	Tupaia tana	in_progress			Chordata	VGP	VGP	VGP	VGP			
Supraprimates (Euarchontoglires)	Scandentia (Ptilocercidae)	Ptilocercus lowii				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Phocoenidae)	Phocoena sinus	in_progress	VGP	Cetacean GP	Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Cetartiodactyla (Cetacea, Iniidae)	Inia geoffrensis				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Delphinidae)	Peponocephala electra				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenopteridae)	Balaenoptera musculus				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenopteridae)	Eschrichtius robustus				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenopteridae)	Balaenoptera ricei		Cetacean GP		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Delphinidae)	Orcinus orca		DToL	Cetacean GP	Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Ziphiidae)	Mesoplodon densirostris		Cetacean GP		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenidae)	Eubalaena glacialis				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Hippopotamidae)	Hippopotamus amphibius	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Cetartiodactyla (non Cetacea ungulates, Bovidae)	Bos taurus	in_progress	Cattle		Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Cetartiodactyla (non Cetacea ungulates, Bovidae)	Bos indicus		Cattle		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (non Cetacea ungulates, Cervidae)	Cervus elaphus		DToL		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Suidae)	Sus scrofa	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Cetartiodactyla (Camelidae)	Camelus dromedarius	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Perissodactyla (Equidae)	Equus caballus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Perissodactyla (Rhinoceratidae)	Diceros bicornis minor	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
		Diceros bicornis minor		VGP		Chordata	VGP						
Laurasiatheria	Perissodactyla (Tapiridae)	Tapirus indicus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Chiroptera (Yangochiroptera, Phyllostomidae)	Phyllostomus discolor	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Chiroptera (Yangochiroptera, Molossidae)	Molossus molossus		Bat1K		Chordata	VGP						
Laurasiatheria	Chiroptera (Yangochiroptera, Vespertilionidae)	Myotis myotis		Bat1K		Chordata	VGP						
Laurasiatheria	Chiroptera (Yangochiroptera, Vespertilionidae)	Pipistrellus kuhlii		Bat1K		Chordata	VGP						
Laurasiatheria	Chiroptera (Yangochiroptera, Vespertilionidae)	Pipistrellus pipistrellus		Sanger 25G		Chordata	VGP						
Laurasiatheria	Chiroptera (Yinpterochiroptera, Rhinolophidae)	Rhinolophus ferrumequinum	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Chiroptera (Yinpterochiroptera, Pteropodidae)	Rousettus aegyptiacus		Bat1K		Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Mustelidae)	Lutra lutra	in_progress	Sanger 25G		Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Carnivora (Caniformia, Mustelidae)	Mustela erminea		VGP		Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Canidae)	Canis lupus orion		DToL		Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Otariidae)	Zalophus californianus				Chordata	VGP						
Laurasiatheria	Carnivora (Feliformia)	Lynx canadensis	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Carnivora (Feliformia)	Neofelis nebulosa				Chordata	VGP						
Laurasiatheria	Eulipotyphla (Soricidae)	Suncus etruscus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Eulipotyphla (Soricidae)	Sorex araneus				Chordata	VGP						
Laurasiatheria	Eulipotyphla (Talpidae)	Talpa europaea				Chordata	VGP						
Laurasiatheria	Eulipotyphla (Erinaceidae)	Erinaceus europaeus				Chordata	VGP						
Laurasiatheria	Eulipotyphla (Solenodontidae)	Solenodon paradoxus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Marsupials	Diprotodontia (Phalangeriformes)	Trichosurus vulpecula	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Marsupials	Diprotodontia (Hypsiprymnodontidae/Macropodidae)	Macropus eugenii	in_progress			Chordata	VGP	VGP	VGP	VGP			
Marsupials	Diprotodontia (Phascolarctidae/Vombatiformes)	Phascolarctos cinereus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Passeriformes Oscines (Viduidae)	Vidua chalybeata		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Fringillidae)	Haemorhous mexicanus				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Passerellidae)	Melospiza georgiana				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Passerellidae)	Ammodramus caudacutus				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Passerellidae)	Ammospiza nelsoni				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Sylviidae)	Sylvia borin		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Sylviidae)	Sylvia atricapilla		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Hirundinidae)	Hirundo rustica		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Parulidae)	Geothlypis trichas		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Turdidae)	Erithacus rubecula		Sanger 25G		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Turdidae)	Catharus ustulatus		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Turdidae)	Poecile atricapillus		Vocal learning		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Sturnidae)	Acridotheres tristis				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Covidae)	Corvus hawaiiensis		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Covidae)	Corvus moneduloides		VGP		Chordata	VGP						
Core landbirds	Passeriformes Suboscines	Chiroxiphia lanceolata	in_progress	VGP	RCN Manakin	Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Passeriformes Suboscines	Dixiphia pipra				Chordata	VGP						
Core landbirds	Passeriformes Acanthisitti	Acanthisitta chloris	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Psittaciformes (Strigopidae)	Strigops habroptilus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Psittaciformes (Psittaculidae)	Melopsittacus undulatus				Chordata	VGP						
Core landbirds	Psittaciformes (Psittaculidae)	Melopsittacus undulatus				Chordata	VGP						
Core landbirds	Psittaciformes (Psittacidae)	Ara ararauna				Chordata	VGP						
Core landbirds	Falconiformes (Falconidae)	Falco peregrinus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Falconiformes (Falconidae)	Falco rusticolus		Falcon		Chordata	VGP						
Core landbirds	Falconiformes (Falconidae)	Falco biarmicus		Falcon		Chordata	VGP						
Core landbirds	Falconiformes (Falconidae)	Falco cherrug		Falcon		Chordata	VGP						
Core landbirds	Piciformes (Picidae)	Picoides pubescens	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Piciformes (Lybiidae)	Pogoniulus pusillus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Leptosomiiformes	Leptosomus discolor				Chordata	VGP						
Core landbirds	Accipitriformes (Accipitridae)	Aquila chrysaetos	in_progress	Sanger 25G		Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Accipitriformes (Accipitridae)	Haliaeetus albicilla		ERGA		Chordata	VGP						
Core landbirds	Accipitriformes (Accipitridae)	Harpia harpyja		DToL		Chordata	VGP						
Core landbirds	Accipitriformes (Accipitridae)	Accipiter gentilis		DToL		Chordata	VGP						
Core landbirds	Accipitriformes (Accipitridae)	Gypaetus barbatus				Chordata	VGP						
Core landbirds	Cathartiformes	Sarcoramphus papa				Chordata	VGP						
Core waterbirds	Pelecaniformes (Pelecanidae)	Pelecanus crispus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Pelicaniformes (Ardeidae)	Egretta garzetta	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Pelicaniformes (Threskiornithidae)	Theristicus caerulescens	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Pelicaniformes (Phalacrocoracidae)	Phalacrocorax carbo	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Pelicaniformes (Phalacrocoracidae)	Gulosus aristotelis				Chordata	VGP						
Core waterbirds	Suliformes	Morus bassanus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Phaethontiformes	"Phaethon	aethereus"	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Eurypgiformes	Rhynochetos jubatus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Charadriiformes (Charadriidae)	Pluvialis apricaria	in_progress	VGP	DToL	Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Charadriiformes (Alcidae)	Alca Torda				Chordata	VGP						
Core waterbirds	Charadriiformes (Laridae)	Sterna hirundo		VGP		Chordata	VGP						
Core waterbirds	Gruiformes (Gruidae)	Balearica regulorum gibbericeps	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Gruiformes (Gruidae)	Grus americana		VGP		Chordata	VGP						
Core waterbirds	Cranes	Porphyrio hochstetteri		VGP		Chordata	VGP						
Caprimulgimorphae	Apodiformes (Hemiprocnidae)	Hemiprocne comata	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Caprimulgimorphae	Caprimulgiformes (Caprimulgidae)	Caprimulgus europaeus	in_progress	DToL	VGP	Chordata	VGP	VGP	VGP	VGP			
Caprimulgimorphae	Caprimulgiformes (Aegothelidae)	Aegotheles insignis				Chordata	VGP						
